Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position,Team
Trae Young,76,76,36,24.2,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,2.5,7.4,18.1,41.1,2.9,8.4,34,6.5,7.4,87.5,4.6,9.7,47.4,1.338,0.49,FALSE,G,ATL
De'Andre Hunter,37,4,28.8,19,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,1,6.1,13.3,46.1,2.6,6.7,39.3,4.1,4.8,85.8,3.5,6.6,53.1,1.427,0.56,TRUE,F,ATL
Jalen Johnson,36,36,35.7,18.9,1.7,8.3,10,5,1.6,1,2.9,1.9,1.7,7.5,15.1,50,1.2,3.9,31.2,2.6,3.5,74.6,6.3,11.1,56.6,1.255,0.54,FALSE,F,ATL
Jacob Toppin,1,0,27,17,1,3,4,2,0,0,1,0,2,6,12,50,5,8,62.5,0,0,0,1,4,25,1.417,0.71,TRUE,F,ATL
Caris LeVert,26,0,26.6,14.9,0.7,3,3.7,2.9,0.9,0.5,1,2,3,5.6,11.6,48.2,1.8,5.2,33.8,2,2.8,72.2,3.8,6.3,60,1.289,0.56,TRUE,G,ATL
Dyson Daniels,76,76,33.8,14.1,1.6,4.3,5.9,4.4,3,0.7,2,2.3,2.1,6,12.1,49.3,1.1,3.1,34,1.1,1.8,59.3,4.9,9.1,54.5,1.163,0.54,FALSE,G,ATL
Onyeka Okongwu,74,40,27.9,13.4,3,5.9,8.9,2.3,0.9,0.9,1.2,2.6,1.9,5.2,9.2,56.7,0.6,2,32.4,2.2,2.9,75.9,4.6,7.2,63.4,1.444,0.6,FALSE,F,ATL
Zaccharie Risacher,75,73,24.6,12.6,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2,1,4.8,10.4,45.8,1.6,4.6,35.5,1.4,2,71.1,3.1,5.8,54,1.209,0.54,FALSE,F,ATL
Georges Niang,28,2,23,12.1,0.5,2.5,3,1.6,0.4,0.3,1.2,2.6,1.3,4.3,9.7,44.1,2.7,6.6,41.3,0.8,1,79.3,1.6,3.1,50,1.246,0.58,TRUE,F,ATL
Bogdan Bogdanovic,24,0,24.9,10,0.5,2.3,2.8,2,0.8,0.3,1.5,2.4,1.3,3.5,9.3,37.1,1.8,6.1,30.1,1.3,1.4,88.2,1.6,3.3,50,1.071,0.47,TRUE,G,ATL
Terance Mann,30,1,22.7,9.8,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2,2.8,3.9,7.3,54.1,1.1,2.9,38.6,0.8,1.2,66.7,2.8,4.3,64.6,1.349,0.62,TRUE,G,ATL
Clint Capela,55,41,21.4,8.9,3.2,5.4,8.5,1.1,0.6,1,0.9,1.9,1.3,4,7.1,55.9,0,0,0,0.9,1.8,53.6,4,7.1,56,1.251,0.56,FALSE,C,ATL
Larry Nance Jr.,24,3,19.3,8.5,1,3.3,4.3,1.6,0.8,0.5,0.7,1.5,2.4,3.3,6.5,51.6,1.4,3.2,44.7,0.4,0.5,69.2,1.9,3.3,58.2,1.31,0.63,FALSE,F,ATL
Garrison Mathews,47,2,17.7,7.5,0.3,1.6,1.9,1.3,0.6,0.3,0.7,1.7,1.9,2.2,5.5,39.7,1.8,4.6,39,1.4,1.7,82.1,0.4,0.8,43.6,1.374,0.56,FALSE,G,ATL
Vit Krejci,57,16,20.2,7.2,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,2.9,2.5,5.1,49.7,1.6,3.6,43.7,0.6,0.8,71.1,1,1.5,64,1.411,0.65,FALSE,G,ATL
Daeqwon Plowden,6,0,12,7.2,0.7,1.2,1.8,0.3,0,0,0.7,1.7,0.5,2.7,4.2,64,1.5,2.8,52.9,0.3,0.3,100,1.2,1.3,87.5,1.72,0.82,FALSE,G,ATL
Mouhamed Gueye,33,28,16.2,6,1.3,2.9,4.2,0.8,0.8,1,0.5,1.7,1.8,2.2,5.2,42.1,0.6,2.5,25.9,1,1.3,76.2,1.5,2.7,56.7,1.152,0.48,FALSE,F,ATL
Keaton Wallace,31,5,16.2,5.4,0.2,1.4,1.6,2.6,0.9,0.3,1.1,1.3,2.5,2.1,5.2,40.1,0.9,2.6,32.9,0.4,0.4,100,1.2,2.6,47.5,1.037,0.48,FALSE,G,ATL
Kobe Bufkin,10,0,12.4,5.3,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,2.1,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,1.4,2.8,50,1.128,0.43,FALSE,G,ATL
David Roddy,27,3,12.8,4.5,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,1.5,1.6,3.4,47.3,0.6,1.6,37.2,0.7,0.8,81.8,1,1.9,56,1.312,0.56,TRUE,F,ATL
Dominick Barlow,35,4,10.7,4.2,1,1.4,2.4,0.5,0.3,0.5,0.1,1.3,3.8,1.7,3.2,53.1,0.2,0.8,25.9,0.6,0.9,63.6,1.5,2.5,61.6,1.31,0.56,FALSE,F,ATL
Total,82,,,118.2,11.9,32.6,44.5,29.6,9.7,5.1,14.7,19.1,2,43.4,91.8,47.2,13.5,37.7,35.8,18,23.2,77.5,29.9,54.1,55.2,1.287,0.55,FALSE,Total,ATL
Cam Thomas,25,23,31.2,24,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,1.5,8,18.2,43.8,2.7,7.8,34.9,5.3,6,88.1,5.2,10.4,50.6,1.319,0.51,FALSE,G,BKN
Cameron Johnson,57,57,31.6,18.8,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,2,6.2,13.1,47.5,2.8,7.2,39,3.5,3.9,89.3,3.4,5.9,57.8,1.432,0.58,FALSE,F,BKN
Dennis Schroder,23,23,33.6,18.4,0.2,2.8,3,6.6,1.1,0.2,2.6,2.4,2.6,6.4,14.1,45.2,2.5,6.5,38.7,3.1,3.5,88.9,3.9,7.6,50.9,1.305,0.54,TRUE,G,BKN
D'Angelo Russell,29,26,24.7,12.9,0.4,2.4,2.8,5.6,1.1,0.7,2,2.1,2.8,4.1,11.3,36.7,2,6.6,29.7,2.6,3.2,82.6,2.2,4.7,46.7,1.141,0.45,TRUE,G,BKN
Drew Timme,9,2,28.2,12.1,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,1.3,5,11.3,44.1,1,3.9,25.7,1.1,1.8,62.5,4,7.4,53.7,1.069,0.49,FALSE,F,BKN
Keon Johnson,79,56,24.4,10.6,0.8,3,3.8,2.2,1,0.4,1.5,2.6,1.5,3.8,9.9,38.9,1.6,5.1,31.4,1.4,1.8,77,2.2,4.8,46.8,1.077,0.47,FALSE,G,BKN
Dorian Finney-Smith,20,20,29,10.4,1.6,3,4.6,1.6,0.9,0.6,0.9,2.7,1.7,3.7,8,45.9,2.4,5.4,43.5,0.8,1.2,62.5,1.3,2.6,51,1.308,0.61,TRUE,F,BKN
Nic Claxton,70,62,26.9,10.3,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,1.8,4.6,8.1,56.3,0.1,0.3,23.8,1.1,2.2,51.3,4.5,7.8,57.6,1.275,0.57,FALSE,C,BKN
Trendon Watford,44,6,20.8,10.2,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,1.4,3.7,8,46.9,0.7,2,33,2.1,2.8,76.2,3.1,6,51.5,1.286,0.51,FALSE,F,BKN
Ziaire Williams,63,45,24.5,10,1,3.6,4.6,1.3,1,0.4,1.1,2.4,1.3,3.4,8.3,41.2,1.6,4.8,34.1,1.6,2,82.1,1.8,3.5,50.9,1.215,0.51,FALSE,F,BKN
Tosan Evbuomwan,28,0,23.8,9.5,1.1,3.1,4.3,2,0.9,0.4,1.4,2,1.4,3.4,7.9,42.7,0.9,2.8,31.2,2,2.6,75.3,2.5,5.1,49,1.214,0.48,FALSE,F,BKN
Jalen Wilson,79,22,25.7,9.5,0.9,2.5,3.4,1.8,0.5,0.1,1,2.1,1.8,3.1,7.8,39.7,1.5,4.6,33.7,1.7,2.1,81.8,1.6,3.3,48.1,1.208,0.5,FALSE,F,BKN
Noah Clowney,46,20,22.7,9.1,0.9,3,3.9,0.9,0.5,0.5,1,2.3,0.9,2.9,8.1,35.8,1.9,5.7,33.3,1.5,1.7,83.8,1,2.4,41.4,1.129,0.47,FALSE,F,BKN
Killian Hayes,6,5,27,9,0.8,2.2,3,5.2,0.7,0.7,1.5,2.2,3.4,3,7.2,41.9,1.3,3.5,38.1,1.7,2,83.3,1.7,3.7,45.5,1.256,0.51,FALSE,G,BKN
Tyrese Martin,60,11,21.9,8.7,1,2.7,3.7,2,0.6,0.2,1.2,1.3,1.6,3.2,7.8,40.6,1.7,4.7,35.1,0.8,1,79.3,1.5,3.1,49.2,1.125,0.51,FALSE,G,BKN
Day'Ron Sharpe,50,2,18.1,7.9,3,3.6,6.6,1.8,0.8,0.8,1.3,2.3,1.4,3.3,6.3,52,0.2,0.9,24.4,1.1,1.5,75.7,3.1,5.4,56.6,1.252,0.54,FALSE,C,BKN
Tyson Etienne,7,0,21.6,7.9,0.4,0.9,1.3,1.7,0.4,0.1,1.1,2.4,1.5,2.4,7.4,32.7,1.9,6.3,29.5,1.1,1.4,80,0.6,1.1,50,1.058,0.45,FALSE,G,BKN
Shake Milton,27,1,18.2,7.4,0.6,1.3,1.9,2.4,0.6,0,0.7,1.6,3.2,2.7,5.8,46.5,1,2.7,38.9,0.9,1.2,75.8,1.7,3.1,52.9,1.268,0.55,TRUE,SG,BKN
Ben Simmons,33,24,25,6.2,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,2.6,2.8,5.2,54.7,0,0,0,0.5,0.8,69.2,2.8,5.2,54.7,1.2,0.55,TRUE,PG,BKN
Dariq Whitehead,20,0,12.3,5.7,0.2,1.3,1.5,0.6,0.3,0.1,0.8,1.1,0.8,2,4.8,40.6,1.7,3.7,44.6,0.2,0.3,60,0.3,1.1,27.3,1.188,0.58,FALSE,F,BKN
Maxwell Lewis,21,1,14.2,5.3,0.8,1.8,2.5,0.8,0.4,0.3,0.6,1.3,1.4,2,4.9,42.2,0.9,2.4,38,0.3,0.5,70,1.1,2.5,46.2,1.098,0.51,TRUE,F,BKN
Reece Beekman,34,4,13.7,2.7,0.4,0.8,1.1,1.8,0.9,0.1,0.6,1,3,1,3.1,32.1,0.2,1.2,17.5,0.5,0.6,76.2,0.8,1.9,40.9,0.858,0.35,TRUE,G,BKN
Jaylen Martin,3,0,1.7,1,0,0,0,0,0,0,0,0.3,0,0.3,0.7,50,0.3,0.3,100,0,0,0,0,0.3,0,1.5,0.75,TRUE,G,BKN
Yongxi Cui,5,0,2,0.6,0,0.4,0.4,0,0,0,0,0,0,0.2,1.4,14.3,0,0.6,0,0.2,0.4,50,0.2,0.8,25,0.429,0.14,FALSE,G,BKN
Total,82,,,105.1,10.9,30.4,41.3,25.2,7.8,4.3,13.9,20.7,1.8,37.6,86.1,43.7,13.6,39.4,34.4,16.3,20.7,78.7,24.1,46.7,51.5,1.221,0.52,FALSE,Total,BKN
Jayson Tatum,72,72,36.4,26.8,0.7,8,8.7,6,1.1,0.5,2.9,2.2,2.1,9.2,20.3,45.2,3.5,10.1,34.3,5,6.1,81.4,5.7,10.2,55.9,1.319,0.54,FALSE,F,BOS
Jaylen Brown,63,63,34.3,22.2,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,1.8,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,6.4,12.1,52.9,1.25,0.52,FALSE,G,BOS
Kristaps Porzingis,42,42,28.8,19.5,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,1.6,6.6,13.7,48.3,2.5,6,41.2,3.8,4.7,80.9,4.1,7.7,53.7,1.425,0.57,FALSE,C,BOS
Derrick White,76,76,33.9,16.4,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,2.8,5.6,12.6,44.2,3.5,9.1,38.3,1.8,2.1,83.9,2.1,3.5,59.3,1.301,0.58,FALSE,G,BOS
Payton Pritchard,80,3,28.4,14.3,1.3,2.6,3.8,3.5,0.9,0.2,1,1.5,3.4,5.1,10.8,47.2,3.2,7.8,40.7,0.9,1.1,84.5,1.9,3,64.2,1.321,0.62,FALSE,G,BOS
Jrue Holiday,62,62,30.6,11.1,1.2,3,4.3,3.9,1.1,0.4,1.2,1.6,3.1,4.1,9.2,44.3,1.7,4.9,35.3,1.1,1.2,90.9,2.4,4.3,54.7,1.197,0.54,FALSE,G,BOS
Al Horford,60,42,27.7,9,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,2.8,3.3,7.7,42.3,1.9,5.2,36.3,0.6,0.6,89.5,1.4,2.5,55.1,1.167,0.55,FALSE,C,BOS
Sam Hauser,71,19,21.7,8.5,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,2.8,3,6.7,45.1,2.3,5.6,41.6,0.2,0.2,100,0.7,1.1,64,1.276,0.63,FALSE,F,BOS
Luke Kornet,73,16,18.6,6,2.6,2.7,5.3,1.6,0.5,1,0.4,1.6,3.8,2.6,3.8,66.8,0,0,0,0.9,1.3,69.1,2.6,3.8,67.5,1.575,0.67,FALSE,C,BOS
Neemias Queta,62,6,13.9,5,1.4,2.4,3.8,0.7,0.3,0.7,0.6,1.7,1.1,2.1,3.3,65,0,0,0,0.7,1,75.4,2.1,3.2,66,1.527,0.65,FALSE,C,BOS
Baylor Scheierman,31,2,12.4,3.6,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,2.8,1.3,3.5,35.5,0.8,2.6,31.7,0.3,0.4,75,0.4,0.9,46.4,1.027,0.47,FALSE,G,BOS
Torrey Craig,17,3,11.8,2.7,1.1,1.7,2.8,0.7,0.4,0.6,0.5,1.1,1.5,0.9,2.6,35.6,0.5,1.8,29,0.3,0.5,62.5,0.4,0.8,50,1.022,0.46,TRUE,SF,BOS
Miles Norris,3,0,11.7,2.3,0.7,2.3,3,0,0.7,0.3,0,0,0,0.7,3,22.2,0.7,2.3,28.6,0.3,0.7,50,0,0.7,0,0.778,0.33,FALSE,F,BOS
Drew Peterson,25,1,7.4,2.2,0.4,1.2,1.6,0.5,0.2,0.1,0.3,0.7,1.6,0.7,1.6,41.5,0.5,1.3,39.4,0.3,0.4,77.8,0.2,0.3,50,1.317,0.57,FALSE,F,BOS
JD Davison,16,0,5.8,2.1,0.1,0.7,0.8,0.8,0.3,0.1,0.8,0.1,1,0.8,2.1,35.3,0.3,1.1,22.2,0.3,0.4,71.4,0.5,1,50,0.971,0.41,FALSE,G,BOS
Jaden Springer,26,0,5.4,1.7,0.2,0.8,0.9,0.4,0.5,0,0.2,0.7,2.5,0.5,1.3,35.3,0.2,0.7,31.6,0.6,0.8,71.4,0.2,0.6,40,1.324,0.44,TRUE,G,BOS
Jordan Walsh,52,1,7.8,1.6,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.1,0.6,1.6,36.1,0.3,1.1,27.3,0.1,0.2,58.3,0.3,0.5,53.6,0.988,0.45,FALSE,G,BOS
Xavier Tillman,33,2,7,1,0.3,1,1.3,0.2,0.3,0.2,0.4,0.5,0.5,0.4,1.6,24.5,0.2,1,15.6,0.1,0.1,75,0.2,0.6,38.1,0.642,0.29,FALSE,F,BOS
Total,82,,,116.3,11.4,33.9,45.3,26.1,7.2,5.5,11.4,15.9,2.3,41.6,90,46.2,17.8,48.2,36.8,15.3,19.1,79.9,23.9,41.8,57.1,1.292,0.56,FALSE,Total,BOS
LaMelo Ball,47,47,32,25.2,1,3.9,4.9,7.4,1.1,0.3,3.6,3.3,2.1,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,4.8,10.1,47.8,1.18,0.49,FALSE,G,CHA
Brandon Miller,27,27,34.2,21,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,1.3,7.3,18.2,40.3,3.9,10.9,35.5,2.5,2.9,86.1,3.5,7.3,47.5,1.157,0.51,FALSE,F,CHA
Miles Bridges,64,64,31.7,20.3,1.1,6.4,7.5,3.9,0.7,0.7,2.1,1.5,1.8,7.3,17,43.1,2.2,7,31.3,3.5,4,87,5.1,10,51.3,1.194,0.5,FALSE,F,CHA
Mark Williams,44,41,26.6,15.3,3,7.2,10.2,2.5,0.7,1.2,1.6,2.4,1.5,6.1,10.2,60.4,0,0.1,0,3,3.7,80.4,6.1,10.1,60.9,1.501,0.6,FALSE,C,CHA
Tre Mann,13,0,24.5,14.1,0.9,2,2.9,3,0.5,0.3,1.9,1.8,1.6,5.4,12.4,43.5,1.8,4.6,40,1.5,1.6,90.5,3.5,7.8,45.5,1.137,0.51,FALSE,G,CHA
Grant Williams,16,7,29.9,10.4,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,1.3,3.4,7.7,43.9,1.7,4.6,36.5,1.9,2.3,83.8,1.7,3.1,55.1,1.35,0.55,FALSE,F,CHA
Nick Smith Jr.,60,27,22.8,9.9,0.2,1.9,2.1,2.4,0.3,0.1,1.4,1.3,1.8,3.7,9.5,39.1,1.7,5.1,34,0.7,0.8,93.5,2,4.4,45,1.04,0.48,FALSE,G,CHA
Jusuf Nurkic,26,9,18.1,9.2,1.5,5,6.5,2.6,0.7,0.7,1.5,2,1.7,3.6,7.3,49.7,0.5,1.8,28.3,1.4,2.3,62.7,3.1,5.5,56.6,1.259,0.53,TRUE,C,CHA
Nick Richards,21,9,21,8.9,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,0.8,3,5.4,56.1,0,0,0,2.8,4.1,67.8,3,5.4,56.6,1.64,0.56,TRUE,C,CHA
Josh Okogie,15,6,18.3,8.9,0.9,1.9,2.7,1.3,1.8,0.5,1,1.3,1.3,2.5,6.5,38.8,1.1,3.3,32,2.7,3.5,77.4,1.5,3.2,45.8,1.357,0.47,TRUE,G,CHA
Cody Martin,39,8,24.8,7.8,1,3.5,4.5,2.3,1.1,0.7,1.1,1.8,2.1,3,6.9,43.3,1,3.2,32.3,0.9,1.3,69.4,1.9,3.7,52.8,1.142,0.51,TRUE,SF,CHA
KJ Simpson,36,15,23.4,7.8,1.1,1.9,3,3.1,0.9,0.2,1.6,1.6,2,2.9,8.4,34.6,0.9,3.6,25.4,1.1,1.4,82,2,4.8,41.5,0.937,0.4,FALSE,G,CHA
Vasilije Micic,36,16,21.2,7.5,0.6,1.9,2.4,3.5,0.4,0,2.1,1.2,1.7,2.6,7.6,34.8,1.3,3.5,36,0.9,1.1,82.9,1.4,4.1,33.8,0.985,0.43,TRUE,G,CHA
Josh Green,68,67,27.8,7.4,0.8,1.7,2.5,1.6,1.1,0.2,1,2.4,1.5,2.6,6.2,42.8,1.4,3.6,39.1,0.7,1.1,68.1,1.2,2.5,48,1.202,0.54,FALSE,G,CHA
Damion Baugh,15,2,24.7,7.3,0.9,2.4,3.3,3.7,1,0.1,2.1,1.5,1.8,2.8,8.7,32.3,0.8,3.7,21.4,0.9,1,86.7,2,4.9,40.5,0.838,0.37,FALSE,G,CHA
Marcus Garrett,4,0,19.8,7,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,2.2,2.8,6.8,40.7,0.8,2,37.5,0.8,1,75,2,4.8,42.1,1.037,0.46,FALSE,G,CHA
Jaylen Sims,6,0,18.7,7,0.5,0.5,1,2,0.5,0.2,1.3,1.7,1.5,2,4.7,42.9,1,2.5,40,2,2.5,80,1,2.2,46.2,1.5,0.54,FALSE,G,CHA
DaQuan Jeffries,47,20,22.8,6.7,0.8,2.1,2.9,1.1,0.6,0.5,0.7,2.1,1.5,2.5,6.2,40.5,1.2,3.5,33.5,0.5,0.6,80,1.3,2.7,49.6,1.082,0.5,FALSE,SG,CHA
Seth Curry,68,14,15.6,6.5,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,1.9,2.4,5,47.8,1.2,2.7,45.6,0.5,0.6,84.6,1.2,2.4,50.3,1.294,0.6,FALSE,SG,CHA
Isaiah Wong,20,0,13.3,6,0.7,0.9,1.6,1.4,0.6,0,0.9,1.1,1.6,2.1,5.3,39,0.7,1.7,39.4,1.3,1.7,73.5,1.4,3.6,38.9,1.143,0.45,FALSE,G,CHA
Tidjane Salaun,60,10,20.7,5.9,1.2,3.5,4.7,1.2,0.5,0.2,1,1.4,1.3,1.9,5.8,33,1,3.4,28.3,1.1,1.6,71.3,0.9,2.3,40,1.023,0.41,FALSE,F,CHA
Moussa Diabate,71,8,17.5,5.7,2.6,3.5,6.2,0.8,0.6,0.6,0.9,1.5,0.9,2.4,3.9,59.6,0,0.1,0,1,1.6,59.5,2.4,3.9,60.9,1.439,0.6,FALSE,F,CHA
Wendell Moore Jr.,16,0,17.5,5.4,1.2,2,3.2,1.2,0.6,0.1,1.1,1,1.1,2.3,4.8,47.4,0.6,1.7,37,0.3,0.5,62.5,1.6,3.1,53.1,1.145,0.54,TRUE,F,CHA
Malachi Flynn,4,0,11,4,0.8,1,1.8,1.8,0.8,0,1,1,1.8,1.3,3.3,38.5,0.3,1,25,1.3,1.5,83.3,1,2.3,44.4,1.231,0.42,FALSE,PG,CHA
Taj Gibson,37,11,11.1,2.9,1.4,1.9,3.2,0.6,0.2,0.5,0.7,1.5,0.8,1.3,2.6,49.5,0,0.1,50,0.3,0.5,60,1.2,2.5,49.5,1.126,0.5,FALSE,F,CHA
Elfrid Payton,6,2,20.5,1,0.2,2,2.2,3.3,1,0.5,1.2,2,2.9,0.5,3.5,14.3,0,0,0,0,0,0,0.5,3.5,14.3,0.286,0.14,TRUE,G,CHA
Jared Rhoden,4,0,3,1,0.5,0.5,1,0.5,0.3,0,0.3,0.3,2,0.5,2,25,0,0.5,0,0,0,0,0.5,1.5,33.3,0.5,0.25,TRUE,G,CHA
Total,82,,,105.1,12.2,33,45.2,24.3,7.4,4.5,14.9,18.7,1.6,38.3,89.1,43,13,38.3,33.9,15.5,19.8,78.3,25.3,50.8,49.9,1.179,0.5,FALSE,Total,CHA
Zach LaVine,42,42,34.1,24,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,1.6,8.6,16.9,51.1,3.2,7.3,44.6,3.5,4.3,79.7,5.4,9.6,56,1.418,0.61,TRUE,G,CHI
Coby White,74,73,33.1,20.4,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,1.9,6.9,15.1,45.3,2.9,7.9,37,3.7,4.1,90.2,3.9,7.3,54.4,1.346,0.55,FALSE,G,CHI
Nikola Vucevic,73,72,31.2,18.5,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,2.2,7.5,14.2,53,1.8,4.4,40.2,1.6,2,80.5,5.8,9.8,58.7,1.3,0.59,FALSE,C,CHI
Josh Giddey,70,69,30.2,14.6,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,2.5,5.3,11.4,46.5,1.5,4,37.8,2.5,3.2,78.1,3.8,7.4,51.2,1.281,0.53,FALSE,G,CHI
Kevin Huerter,26,16,30,13.2,0.4,2.8,3.3,3.2,1.2,0.3,1.2,2,2.7,5,11.3,43.9,2.7,7.2,37.6,0.6,0.8,71.4,2.3,4.2,54.6,1.167,0.56,TRUE,G,CHI
Ayo Dosunmu,46,26,30.3,12.3,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,3,4.8,9.8,49.2,1.3,4.1,32.8,1.3,1.7,78.5,3.5,5.7,61.2,1.261,0.56,FALSE,G,CHI
Tre Jones,18,9,25.3,11.5,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,6.3,4.6,8.1,57.2,0.6,1.2,50,1.7,1.9,88.2,4,6.8,58.5,1.428,0.61,TRUE,G,CHI
Patrick Williams,63,36,25,9,0.7,3.1,3.8,2,0.8,0.5,1.4,1.4,1.4,3.3,8.2,39.7,1.5,4.3,35.3,1,1.3,72.3,1.7,3.9,44.7,1.097,0.49,FALSE,F,CHI
Matas Buzelis,80,31,18.9,8.6,0.7,2.8,3.5,1,0.4,0.9,0.9,1.6,1.1,3.2,6.9,45.4,1.2,3.3,36.1,1.1,1.4,81.5,2,3.6,54,1.24,0.54,FALSE,F,CHI
Zach Collins,28,8,19.7,8.6,2.3,4.4,6.7,2.1,0.5,0.5,1.3,2.2,1.6,3.3,6.1,54.1,0.6,2.1,30,1.4,1.5,88.4,2.6,3.9,67.3,1.412,0.59,TRUE,F,CHI
Jalen Smith,64,2,15,8.2,1.4,4.2,5.6,1,0.3,0.7,0.6,1.5,1.8,3,6.4,46.6,1.1,3.5,32.4,1.1,1.4,80.9,1.8,2.9,63.4,1.284,0.55,FALSE,F,CHI
Lonzo Ball,35,14,22.2,7.6,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,2.8,2.5,6.9,36.6,1.9,5.6,34.4,0.6,0.8,81.5,0.6,1.4,45.8,1.099,0.5,FALSE,G,CHI
Torrey Craig,9,1,12.6,6.9,0.9,1.9,2.8,0.6,0.2,0.1,0,1.7,inf,2.4,5,48.9,1.7,3.9,42.9,0.3,0.4,75,0.8,1.1,70,1.378,0.66,TRUE,SF,CHI
Talen Horton-Tucker,58,0,12.5,6.5,0.3,1.4,1.7,1.4,0.4,0.2,0.7,1,2.1,2.3,5,45.7,0.7,2.1,33.6,1.2,1.7,73.5,1.6,2.9,54.4,1.302,0.53,FALSE,SF,CHI
Julian Phillips,79,5,14.2,4.6,0.8,1.3,2.1,0.5,0.5,0.3,0.3,1.4,1.4,1.6,3.6,44.6,0.6,1.9,32.7,0.8,1,78.9,1,1.7,58.2,1.275,0.53,FALSE,F,CHI
Dalen Terry,73,5,13.5,4.5,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,1.8,1.6,3.7,44.8,0.5,1.4,35.6,0.7,0.9,71,1.1,2.2,50.6,1.216,0.52,FALSE,F,CHI
Jevon Carter,36,1,8.9,4.3,0.1,1,1.1,1.1,0.4,0.1,0.3,0.4,3.6,1.5,4.1,37.7,1,2.9,33.3,0.2,0.3,80,0.6,1.1,48.8,1.048,0.5,FALSE,G,CHI
Chris Duarte,17,0,4.4,2.1,0.3,0.9,1.2,0.5,0,0,0.1,0.4,9,0.7,1.5,46.2,0.4,0.9,40,0.4,0.5,75,0.4,0.6,54.5,1.385,0.58,FALSE,SG,CHI
Adama Sanogo,4,0,5.3,2,1.3,0.3,1.5,0.3,0,0,0.3,0.3,1,1,1.8,57.1,0,0,0,0,0,0,1,1.8,57.1,1.143,0.57,FALSE,C,CHI
Jahmir Young,6,0,5,1.8,0.2,0.3,0.5,1,0,0,0.2,0.3,6,0.7,0.8,80,0.2,0.3,50,0.3,0.3,100,0.5,0.5,100,2.2,0.9,FALSE,G,CHI
E.J. Liddell,12,0,4.4,1.8,0.3,0.5,0.8,0.3,0.1,0.1,0.2,0.9,1.5,0.7,1.3,53.3,0.3,0.8,30,0.2,0.2,100,0.4,0.4,100,1.4,0.63,FALSE,F,CHI
Emanuel Miller,6,0,4.2,1.7,0.7,0.7,1.3,0.3,0.2,0,0,0.5,inf,0.7,1.3,50,0,0.2,0,0.3,0.3,100,0.7,1.2,57.1,1.25,0.5,FALSE,F,CHI
Total,82,,,117.8,10.1,35.8,45.9,29.1,7.6,4.7,13.9,17.6,2.1,43.2,92,47,15.4,42,36.7,16,19.7,80.9,27.8,50,55.6,1.28,0.55,FALSE,Total,CHI
Donovan Mitchell,71,71,31.4,24,0.8,3.7,4.5,5,1.3,0.2,2.1,2,2.4,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,5,9.7,51.2,1.289,0.53,FALSE,G,CLE
Darius Garland,75,75,30.7,20.6,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,2.7,7.4,15.7,47.2,2.8,7.1,40.1,3,3.4,87.8,4.6,8.6,53,1.315,0.56,FALSE,G,CLE
