Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,Traded,Position,Team
Sandro Mamukelashvili,61,0,11.2,6.3,1,2,3.1,0.8,0.3,0.3,0.4,1,1.8,2.3,4.6,50.2,1,2.6,37.3,0.7,1,74.1,1.3,2,67.5,1.37,0.61,FALSE,F,SA
Bismack Biyombo,28,26,18.8,5.1,1.5,4.1,5.6,1.1,0.6,0.8,1,1.9,1.1,2.4,4.1,58.8,0,0,0,0.4,0.9,40,2.4,4.1,58.8,1.263,0.59,FALSE,C,SA
Malaki Branham,47,0,9.1,5,0.1,0.9,1.1,0.8,0.2,0,0.7,0.6,1.1,1.9,4,45.8,0.7,1.8,40.5,0.6,0.7,81.8,1.1,2.3,50,1.237,0.55,FALSE,G,SA
Zach Collins,36,4,11.8,4.6,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,2.3,1.7,3.7,46.2,0.4,1.3,30.4,0.9,1,88.6,1.3,2.4,54.7,1.265,0.52,TRUE,F,SA
Tre Jones,28,0,16.1,4.4,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,5,1.6,3.3,48.4,0.3,0.9,30.8,0.9,1.2,75.8,1.3,2.4,55.2,1.323,0.53,TRUE,G,SA
Charles Bassey,36,1,10.4,4.4,1.6,2.7,4.2,0.5,0.4,0.8,0.6,1.4,0.7,1.9,3.3,58.1,0,0,0,0.6,0.9,63.6,1.9,3.3,58.1,1.342,0.58,FALSE,C,SA
Blake Wesley,58,0,11.8,3.7,0.3,0.8,1.1,2,0.6,0.1,0.9,0.8,2.1,1.4,3.2,43.5,0.3,1,29.3,0.7,1.1,62.3,1.1,2.2,50,1.167,0.48,FALSE,G,SA
David Duke Jr.,6,0,5.7,2.7,0.2,0.7,0.8,0.7,0.2,0,0.3,0.2,2,1,2.3,42.9,0.5,1,50,0.2,0.3,50,0.5,1.3,37.5,1.143,0.54,FALSE,G,SA
Jordan McLaughlin,18,0,6.9,2.5,0.1,0.4,0.5,1.5,0.3,0.1,0.3,0.3,5.4,0.8,1.6,53.6,0.5,1.1,45,0.3,0.3,100,0.3,0.4,75,1.607,0.7,TRUE,G,SA
Sidy Cissoko,17,0,3.2,1.3,0.2,0.4,0.6,0.4,0.1,0,0.1,0.4,3,0.5,1.1,50,0.2,0.4,42.9,0.1,0.4,16.7,0.4,0.6,54.5,1.222,0.58,TRUE,G,SA
Harrison Ingram,5,0,7,0.8,0.4,1.4,1.8,0.6,0.6,0,0.2,0.4,3,0.4,0.8,50,0,0.2,0,0,0,0,0.4,0.6,66.7,1,0.5,FALSE,F,SA
Riley Minix,1,0,7,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,F,SA
Total,82,,,113.9,10.9,32.7,43.7,28.6,8.2,5.5,13.3,16.6,2.2,41.8,89.8,46.5,14.1,39.6,35.7,16.2,21,77.4,27.7,50.2,55.1,1.269,0.54,FALSE,Total,SA
RJ Barrett,58,58,32.2,21.1,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,1.9,7.9,16.9,46.8,1.8,5.3,35,3.4,5.4,63,6.1,11.7,52.2,1.245,0.52,FALSE,F,TOR
Scottie Barnes,65,65,32.8,19.3,1.7,6,7.7,5.8,1.4,1,2.8,1.7,2,7.3,16.4,44.6,1.2,4.3,27.1,3.5,4.6,75.5,6.1,12,50.8,1.178,0.48,FALSE,F,TOR
Immanuel Quickley,33,33,27.8,17.1,0.5,3.1,3.5,5.8,0.7,0.1,1.8,1.8,3.3,5.6,13.3,42,2.6,6.8,37.8,3.4,3.9,86.7,3,6.5,46.5,1.288,0.52,FALSE,G,TOR
