Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Lindsay Allen,2025,G,31,14.5,2.4,0.8,2.1,40.0,0.1,0.6,16.7,0.6,0.7,82.6,1.0,2.0,0.3,0.2,1.0
Lucy Olsen,2025,G,41,12.4,4.0,1.6,3.9,41.5,0.5,1.7,27.1,0.3,0.4,82.4,1.2,1.2,0.4,0.1,0.5
Makayla Timpson,2025,F,31,7.1,2.6,1.0,1.8,56.1,0.0,0.0,0.0,0.6,0.9,66.7,1.8,0.0,0.4,0.3,0.3
Maria Kliundikova,2025,F,34,11.0,4.4,1.9,3.8,50.0,0.2,0.7,32.0,0.4,0.6,57.1,3.0,0.6,0.7,0.8,0.7
Marina Mabrey,2025,G,35,31.5,14.4,5.1,13.9,36.7,1.9,7.0,27.0,2.3,2.6,87.0,4.2,4.0,0.7,0.3,2.8
Marine Johannes,2025,G,44,18.3,6.4,2.3,5.7,39.7,1.5,4.3,34.4,0.4,0.4,84.2,1.9,1.6,0.6,0.3,1.2
Maya Caldwell,2025,G,41,18.5,5.4,2.0,4.8,42.6,1.0,2.7,35.5,0.4,0.5,80.0,3.1,1.8,0.9,0.2,1.0
Michaela Onyenwere,2025,F,42,16.9,5.8,2.1,5.0,42.2,0.6,1.6,35.3,1.0,1.2,84.3,1.6,1.1,0.4,0.1,1.3
Monique Akoa Makani,2025,G,41,21.5,7.7,2.8,6.5,43.0,1.2,3.0,39.8,0.9,1.0,92.7,2.2,2.7,0.8,0.1,1.3
Myisha Hines-Allen,2025,F,40,22.1,7.6,2.8,6.2,45.0,0.4,1.5,26.7,1.6,2.1,74.7,6.0,2.9,0.8,0.5,2.2
NaLyssa Smith,2025,F,45,21.2,7.6,3.0,5.9,50.2,0.2,0.6,29.6,1.5,2.4,61.1,5.1,0.7,0.6,0.6,1.1
Napheesa Collier,2025,F,33,32.3,22.9,8.3,15.7,53.1,1.5,3.8,40.3,4.7,5.2,90.6,7.3,3.2,1.6,1.5,2.1
Natasha Cloud,2025,G,41,29.0,10.1,3.7,8.5,43.3,1.3,3.8,33.8,1.5,1.7,87.0,3.7,5.1,1.2,0.3,1.9
Natasha Howard,2025,F,44,24.1,11.4,4.5,8.2,55.2,0.1,0.8,18.2,2.1,3.0,71.2,6.6,1.5,1.2,0.6,1.9
Natasha Mack,2025,F,34,18.3,4.7,2.1,3.6,57.3,0.0,0.1,0.0,0.5,1.1,47.2,5.8,0.9,0.9,1.5,0.4
Natisha Hiedeman,2025,G,44,18.9,9.1,3.4,7.0,49.2,1.0,2.8,37.1,1.2,1.5,76.1,1.9,2.8,0.7,0.2,1.2
Naz Hillmon,2025,F,44,25.5,8.6,3.2,6.8,46.3,1.2,3.8,32.1,1.1,1.3,83.1,6.2,2.4,0.5,0.4,1.1
Nia Coffey,2025,F,44,10.3,3.9,1.3,3.3,37.4,0.5,1.9,29.3,0.8,1.1,72.0,2.6,1.0,0.2,0.4,0.7
Nneka Ogwumike,2025,F,44,30.9,18.3,7.3,14.0,51.9,1.5,4.1,36.7,2.2,2.7,82.2,7.0,2.3,1.1,0.4,1.9
