Team,Year,P,yc,rc,PTS
Wigan Athletic,2009,38,65,3,74
Wolverhampton Wanderers,2009,38,63,4,75
Arsenal,2008,38,58,3,67
Aston Villa,2008,38,54,2,60
Blackburn Rovers,2008,38,75,4,87
Bolton Wanderers,2008,38,53,1,56
Chelsea,2008,38,50,3,59
Everton,2008,38,49,1,52
Fulham,2008,38,39,1,42
Hull City,2008,38,70,3,79
Liverpool,2008,38,48,0,48
Manchester City,2008,38,54,4,66
Manchester United,2008,38,60,5,75
Middlesbrough,2008,38,53,3,62
Newcastle United,2008,38,63,8,87
Portsmouth,2008,38,55,5,70
Stoke City,2008,38,74,5,89
Sunderland,2008,38,71,1,74
Tottenham Hotspur,2008,38,72,5,87
West Bromwich Albion,2008,38,67,1,70
West Ham United,2008,38,58,4,70
Wigan Athletic,2008,38,53,4,65
Arsenal,2007,38,40,2,46
Aston Villa,2007,38,44,3,53
Birmingham City,2007,38,50,0,50
Blackburn Rovers,2007,38,51,5,66
Bolton Wanderers,2007,38,51,0,51
Chelsea,2007,38,48,5,63
Derby County,2007,38,45,1,48
Everton,2007,38,27,3,36
Fulham,2007,38,42,5,57
Liverpool,2007,38,33,0,33
Manchester City,2007,38,42,2,48
Manchester United,2007,38,37,1,40
Middlesbrough,2007,38,55,0,55
Newcastle United,2007,38,45,1,48
Portsmouth,2007,38,46,1,49
Reading,2007,38,36,4,48
Sunderland,2007,38,44,4,56
Tottenham Hotspur,2007,38,45,1,48
West Ham United,2007,38,49,1,52
Wigan Athletic,2007,38,40,2,46
Arsenal,2006,38,232,12,268
Aston Villa,2006,38,200,4,212
Blackburn Rovers,2006,38,296,24,368
Bolton Wanderers,2006,38,344,16,392
Charlton Athletic,2006,38,248,12,284
Chelsea,2006,38,256,16,304
Everton,2006,38,260,4,272
Fulham,2006,38,228,12,264
Liverpool,2006,38,172,0,172
Manchester City,2006,38,220,16,268
Manchester United,2006,38,232,4,244
Middlesbrough,2006,38,260,8,284
Newcastle United,2006,38,268,4,280
Portsmouth,2006,38,192,8,216
Reading,2006,38,160,12,196
Sheffield United,2006,38,268,8,292
Tottenham Hotspur,2006,38,180,12,216
Watford,2006,38,184,8,208
West Ham United,2006,38,384,16,432
Wigan Athletic,2006,38,312,16,360
Arsenal,2005,38,55,2,61
Aston Villa,2005,38,62,1,65
Birmingham City,2005,38,53,7,74
Blackburn Rovers,2005,38,76,6,94
Bolton Wanderers,2005,38,64,3,73
Charlton Athletic,2005,38,41,1,44
Chelsea,2005,38,63,5,78
Everton,2005,38,65,7,86
Fulham,2005,38,66,2,72
Liverpool,2005,38,50,5,65
Manchester City,2005,38,69,4,81
Manchester United,2005,38,60,2,66
Middlesbrough,2005,38,54,3,63
Newcastle United,2005,38,65,7,86
Portsmouth,2005,38,56,1,59
Sunderland,2005,38,69,4,81
Tottenham Hotspur,2005,38,53,7,74
West Bromwich Albion,2005,38,46,2,52
West Ham United,2005,38,50,2,56
Wigan Athletic,2005,38,55,4,67
Arsenal,2004,38,46,1,49
Aston Villa,2004,38,56,2,62
Birmingham City,2004,38,58,3,67
Blackburn Rovers,2004,38,80,5,95
Bolton Wanderers,2004,38,57,2,63
Charlton Athletic,2004,38,35,3,44
Chelsea,2004,38,52,0,52
Crystal Palace,2004,38,58,3,67
Everton,2004,38,55,4,67
Fulham,2004,38,57,7,78
Liverpool,2004,38,43,2,49
Manchester City,2004,38,44,3,53
Manchester United,2004,38,49,5,64
Middlesbrough,2004,38,53,2,59
Newcastle United,2004,38,62,6,80
Norwich City,2004,38,38,2,44
Portsmouth,2004,38,46,1,49
Southampton,2004,38,55,2,61
Tottenham Hotspur,2004,38,51,1,54
West Bromwich Albion,2004,38,41,5,56
Arsenal,2003,38,52,3,61
Aston Villa,2003,38,52,3,61
Birmingham City,2003,38,45,5,60
Blackburn Rovers,2003,38,61,3,70
Bolton Wanderers,2003,38,69,0,69
Charlton Athletic,2003,38,35,2,41
Chelsea,2003,38,50,4,62
Everton,2003,38,53,3,62
Fulham,2003,38,61,3,70
Leeds United,2003,38,70,5,85
Leicester City,2003,38,57,7,78
Liverpool,2003,38,46,1,49
Manchester City,2003,38,47,3,56
Manchester United,2003,38,44,3,53
Middlesbrough,2003,38,56,1,59
Newcastle United,2003,38,48,3,57
Portsmouth,2003,38,62,3,71
Southampton,2003,38,53,3,62
Tottenham Hotspur,2003,38,57,1,60
Wolverhampton Wanderers,2003,38,66,2,72
Arsenal,2002,38,55,3,64
Aston Villa,2002,38,64,4,76
Birmingham City,2002,38,72,4,84
Blackburn Rovers,2002,38,63,4,75
Bolton Wanderers,2002,38,69,3,78
Charlton Athletic,2002,38,56,2,62
Chelsea,2002,38,64,1,67
Everton,2002,38,53,7,74
