Rank,Year,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
4,2005,Seattle Storm,20,14,0.588,6,14-3,6-11,13-9,73.5,70.8,2.7,W3,6-4
5,2005,Houston Comets,19,15,0.559,7,11-6,8-9,11-11,67.9,66.6,1.3,W2,5-5
6,2005,New York Liberty,18,16,0.529,8,10-7,8-9,9-11,68.1,67.2,0.9,L3,6-4
7,2005,Los Angeles Sparks,17,17,0.5,9,11-6,6-11,12-10,68.4,69.0,-0.6,L1,5-5
8,2005,Detroit Shock,16,18,0.471,10,12-5,4-13,11-9,66.1,67.3,-1.2,L1,6-4
9,2005,Phoenix Mercury,16,18,0.471,10,11-6,5-12,12-10,69.4,69.2,0.2,L3,5-5
10,2005,Washington Mystics,16,18,0.471,10,10-7,6-11,9-11,66.6,67.8,-1.2,W1,4-6
11,2005,Minnesota Lynx,14,20,0.412,12,11-6,3-14,9-13,65.0,67.3,-2.3,L4,3-7
12,2005,San Antonio Silver Stars,7,27,0.206,19,5-12,2-15,3-19,62.9,70.6,-7.7,L9,1-9
13,2005,Charlotte Sting,6,28,0.176,20,5-12,1-16,4-16,61.6,68.7,-7.1,L1,3-7
1,2004,Los Angeles Sparks,25,9,0.735,-,15-2,10-7,16-6,73.4,69.4,4.0,W1,8-2
2,2004,Seattle Storm,20,14,0.588,5,13-4,7-10,13-9,71.7,66.6,5.1,L1,4-6
3,2004,Connecticut Sun,18,16,0.529,7,10-7,8-9,14-6,68.7,67.8,0.9,W1,6-4
4,2004,New York Liberty,18,16,0.529,7,11-6,7-10,10-10,66.2,67.6,-1.4,W3,6-4
5,2004,Sacramento Monarchs,18,16,0.529,7,10-7,8-9,12-10,68.0,65.9,2.1,W3,7-3
6,2004,Minnesota Lynx,18,16,0.529,7,11-6,7-10,12-10,63.7,64.4,-0.7,L1,4-6
7,2004,Detroit Shock,17,17,0.5,8,8-9,9-8,11-9,69.6,70.0,-0.4,W3,6-4
8,2004,Washington Mystics,17,17,0.5,8,11-6,6-11,9-11,68.4,70.1,-1.7,L1,7-3
9,2004,Phoenix Mercury,17,17,0.5,8,10-7,7-10,11-11,67.6,65.7,1.9,W1,5-5
10,2004,Charlotte Sting,16,18,0.471,9,10-7,6-11,8-12,61.5,63.8,-2.3,L3,4-6
11,2004,Indiana Fever,15,19,0.441,10,10-7,5-12,8-12,64.6,66.0,-1.4,L4,3-7
12,2004,Houston Comets,13,21,0.382,12,9-8,4-13,7-15,64.0,65.0,-1.0,L3,3-7
13,2004,San Antonio Silver Stars,9,25,0.265,16,6-11,3-14,6-16,64.4,69.5,-5.1,W1,3-7
1,2003,Detroit Shock,25,9,0.735,-,13-4,12-5,18-6,75.1,70.4,4.7,W4,7-3
2,2003,Los Angeles Sparks,24,10,0.706,1,11-6,13-4,17-7,73.5,71.5,2.0,W5,6-4
3,2003,Houston Comets,20,14,0.588,5,14-3,6-11,14-10,66.0,63.0,3.0,L3,5-5
4,2003,Sacramento Monarchs,19,15,0.559,6,12-5,7-10,13-11,67.6,65.2,2.4,L1,7-3
5,2003,Charlotte Sting,18,16,0.529,7,13-4,5-12,12-12,65.2,64.6,0.6,L1,5-5
6,2003,Connecticut Sun,18,16,0.529,7,10-7,8-9,11-13,70.1,70.9,-0.8,W3,5-5
7,2003,Minnesota Lynx,18,16,0.529,7,11-6,7-10,14-10,70.0,69.7,0.3,L2,5-5
8,2003,Seattle Storm,18,16,0.529,7,13-4,5-12,11-13,70.2,66.9,3.3,W2,4-6
9,2003,Cleveland Rockers,17,17,0.5,8,11-6,6-11,13-11,65.6,65.0,0.6,W1,6-4
10,2003,Indiana Fever,16,18,0.471,9,11-6,5-12,12-12,68.7,68.3,0.4,L1,3-7
11,2003,New York Liberty,16,18,0.471,9,11-6,5-12,11-13,66.0,66.4,-0.4,L2,5-5
12,2003,San Antonio Silver Stars,12,22,0.353,13,9-8,3-14,10-14,65.1,71.4,-6.3,L2,4-6
13,2003,Washington Mystics,9,25,0.265,16,3-14,6-11,7-17,68.5,73.5,-5.0,L4,4-6
14,2003,Phoenix Mercury,8,26,0.235,17,6-11,2-15,5-19,61.7,66.8,-5.1,L1,3-7
1,2002,Charlotte Sting,18,14,0.0,-,11-5,7-9,12-5,0.0,0.0,0.0,W4,
2,2002,New York Liberty,18,14,0.0,-,10-6,8-8,11-4,0.0,0.0,0.0,L2,
3,2002,Los Angeles Sparks,2,0,0.0,1,12-4,13-3,17-3,0.0,0.0,0.0,W2,
4,2002,Seattle Storm,17,15,0.0,1,10-6,7-9,10-4,0.0,0.0,0.0,L1,
5,2002,Washington Mystics,17,15,0.0,1,9-7,8-8,12-6,0.0,0.0,0.0,L1,
6,2002,Indiana Fever,16,16,0.0,2,10-6,6-10,12-7,0.0,0.0,0.0,W2,
7,2002,Portland Fire,16,16,0.0,2,9-7,7-9,8-3,0.0,0.0,0.0,L4,
8,2002,Houston Comets,0,1,0.0,2.5,14-2,10-6,16-3,0.0,0.0,0.0,L1,
9,2002,Miami Sol,15,17,0.0,3,9-7,6-10,11-7,0.0,0.0,0.0,W1,
10,2002,Sacramento Monarchs,14,18,0.0,4,10-6,4-12,8-5,0.0,0.0,0.0,W1,
11,2002,Phoenix Mercury,11,21,0.0,7,10-6,1-15,7-7,0.0,0.0,0.0,L1,
12,2002,Cleveland Rockers,10,22,0.0,8,4-12,6-10,7-8,0.0,0.0,0.0,L6,
13,2002,Minnesota Lynx,10,22,0.0,8,7-9,3-13,6-7,0.0,0.0,0.0,L3,
14,2002,Detroit Shock,9,23,0.0,9,7-9,2-14,6-8,0.0,0.0,0.0,L2,
1,2001,Portland Fire,4,1,0.0,-,2-1,2-0,2-1,0.0,0.0,0.0,L9,
2,2001,Seattle Storm,2,0,0.0,0.5,1-0,1-0,0-0,0.0,0.0,0.0,W24,
3,2001,Cleveland Rockers,1,0,0.0,1,1-0,0-0,1-0,0.0,0.0,0.0,W23,
4,2001,Houston Comets,1,0,0.0,1,1-0,0-0,1-0,0.0,0.0,0.0,W31,
5,2001,Los Angeles Sparks,2,1,0.0,1,1-0,1-1,1-0,0.0,0.0,0.0,L14,
6,2001,Detroit Shock,2,2,0.0,1.5,0-1,2-1,1-2,0.0,0.0,0.0,L1,
7,2001,Indiana Fever,1,1,0.0,1.5,1-1,0-1,0-1,0.0,0.0,0.0,W10,
8,2001,New York Liberty,0,0,0.0,1.5,0-0,0-0,0-0,0.0,0.0,0.0,-,
9,2001,Washington Mystics,0,0,0.0,1.5,0-0,0-0,0-0,0.0,0.0,0.0,-,
10,2001,Miami Sol,3,4,0.0,2,2-3,1-1,3-2,0.0,0.0,0.0,W7,
11,2001,Sacramento Monarchs,1,2,0.0,2,0-1,1-1,0-0,0.0,0.0,0.0,L16,
12,2001,Minnesota Lynx,1,3,0.0,2.5,1-0,0-3,1-0,0.0,0.0,0.0,L5,
13,2001,Charlotte Sting,0,2,0.0,2.5,0-1,0-1,0-2,0.0,0.0,0.0,L11,
14,2001,Phoenix Mercury,0,2,0.0,2.5,0-0,0-2,0-1,0.0,0.0,0.0,L13,
