Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
16,2024,Metropolitan,8,Philadelphia Flyers,82.0,33.0,39.0,10.0,76.0,21.0,27.0,6.0,3.0,20-20-1,13-19-9,238.0,286.0,-48.0,5-4-1,L3
17,2024,Central,1,Winnipeg Jets,82.0,56.0,22.0,4.0,116.0,43.0,54.0,2.0,1.0,30-7-4,26-15-0,277.0,191.0,86.0,7-3-0,W1
18,2024,Central,2,Dallas Stars,82.0,50.0,26.0,6.0,106.0,41.0,48.0,2.0,2.0,28-10-3,22-16-3,277.0,224.0,53.0,3-5-2,L7
19,2024,Central,3,Colorado Avalanche,82.0,49.0,29.0,4.0,102.0,40.0,45.0,4.0,3.0,26-12-3,23-17-1,277.0,234.0,43.0,5-4-1,W1
20,2024,Central,4,Minnesota Wild,82.0,45.0,30.0,7.0,97.0,33.0,42.0,3.0,3.0,22-17-2,23-13-5,228.0,239.0,-11.0,5-3-2,W2
21,2024,Central,5,St. Louis Blues,82.0,44.0,30.0,8.0,96.0,32.0,40.0,4.0,2.0,24-14-3,20-16-5,254.0,233.0,21.0,7-2-1,W1
22,2024,Central,6,Utah Mammoth,82.0,38.0,31.0,13.0,89.0,30.0,37.0,1.0,4.0,18-15-8,20-16-5,241.0,251.0,-10.0,6-2-2,L1
23,2024,Central,7,Nashville Predators,82.0,30.0,44.0,8.0,68.0,24.0,28.0,2.0,0.0,20-18-3,10-26-5,214.0,274.0,-60.0,3-7-0,W1
24,2024,Central,8,Chicago Blackhawks,82.0,25.0,46.0,11.0,61.0,20.0,23.0,2.0,4.0,15-20-6,10-26-5,226.0,296.0,-70.0,4-4-2,W2
25,2024,Pacific,1,Vegas Golden Knights,82.0,50.0,22.0,10.0,110.0,46.0,49.0,1.0,5.0,29-9-3,21-13-7,275.0,219.0,56.0,6-2-2,W1
26,2024,Pacific,2,Los Angeles Kings,82.0,48.0,25.0,9.0,105.0,43.0,47.0,1.0,3.0,31-6-4,17-19-5,250.0,206.0,44.0,8-2-0,L1
27,2024,Pacific,3,Edmonton Oilers,82.0,48.0,29.0,5.0,101.0,36.0,48.0,0.0,1.0,25-13-3,23-16-2,259.0,236.0,23.0,7-3-0,W1
28,2024,Pacific,4,Calgary Flames,82.0,41.0,27.0,14.0,96.0,31.0,36.0,5.0,2.0,23-12-6,18-15-8,225.0,238.0,-13.0,7-1-2,W4
29,2024,Pacific,5,Vancouver Canucks,82.0,38.0,30.0,14.0,90.0,28.0,35.0,3.0,2.0,17-16-8,21-14-6,236.0,253.0,-17.0,4-4-2,L1
30,2024,Pacific,6,Anaheim Ducks,82.0,35.0,37.0,10.0,80.0,24.0,31.0,4.0,2.0,21-18-2,14-19-8,221.0,263.0,-42.0,3-5-2,L4
31,2024,Pacific,7,Seattle Kraken,82.0,35.0,41.0,6.0,76.0,28.0,33.0,2.0,3.0,18-18-5,17-23-1,247.0,265.0,-18.0,5-5-0,L1
32,2024,Pacific,8,San Jose Sharks,82.0,20.0,50.0,12.0,52.0,14.0,18.0,2.0,5.0,12-27-2,8-23-10,210.0,315.0,-105.0,0-7-3,L11
1,2023,Atlantic,1,Florida Panthers,82.0,52.0,24.0,6.0,110.0,42.0,49.0,3.0,2.0,26-13-2,26-11-4,268.0,200.0,68.0,6-3-1,W4
2,2023,Atlantic,2,Boston Bruins,82.0,47.0,20.0,15.0,109.0,36.0,43.0,4.0,3.0,24-11-6,23-9-9,267.0,224.0,43.0,6-4-0,L2
3,2023,Atlantic,3,Toronto Maple Leafs,82.0,46.0,26.0,10.0,102.0,33.0,41.0,5.0,2.0,22-15-4,24-11-6,303.0,263.0,40.0,5-4-1,L4
4,2023,Atlantic,4,Tampa Bay Lightning,82.0,45.0,29.0,8.0,98.0,37.0,42.0,3.0,1.0,25-11-5,20-18-3,291.0,268.0,23.0,5-4-1,W1
5,2023,Atlantic,5,Detroit Red Wings,82.0,41.0,32.0,9.0,91.0,27.0,38.0,3.0,1.0,23-13-5,18-19-4,278.0,274.0,4.0,5-3-2,W3
6,2023,Atlantic,6,Buffalo Sabres,82.0,39.0,37.0,6.0,84.0,33.0,37.0,2.0,1.0,21-19-1,18-18-5,246.0,244.0,2.0,5-4-1,W1
7,2023,Atlantic,7,Ottawa Senators,82.0,37.0,41.0,4.0,78.0,25.0,32.0,5.0,0.0,21-18-2,16-23-2,255.0,281.0,-26.0,5-5-0,W1
8,2023,Atlantic,8,Montreal Canadiens,82.0,30.0,36.0,16.0,76.0,20.0,26.0,4.0,8.0,16-20-5,14-16-11,236.0,289.0,-53.0,2-4-4,L4
9,2023,Metropolitan,1,New York Rangers,82.0,55.0,23.0,4.0,114.0,43.0,51.0,4.0,3.0,30-11-0,25-12-4,282.0,229.0,53.0,7-3-0,W2
10,2023,Metropolitan,2,Carolina Hurricanes,82.0,52.0,23.0,7.0,111.0,44.0,50.0,2.0,5.0,27-10-4,25-13-3,279.0,216.0,63.0,7-3-0,L1
11,2023,Metropolitan,3,New York Islanders,82.0,39.0,27.0,16.0,94.0,29.0,38.0,1.0,5.0,21-10-10,18-17-6,246.0,263.0,-17.0,8-1-1,W2
12,2023,Metropolitan,4,Washington Capitals,82.0,40.0,31.0,11.0,91.0,32.0,36.0,4.0,5.0,22-12-7,18-19-4,220.0,257.0,-37.0,4-4-2,W3
13,2023,Metropolitan,5,Pittsburgh Penguins,82.0,38.0,32.0,12.0,88.0,32.0,36.0,2.0,3.0,23-14-4,15-18-8,255.0,251.0,4.0,6-2-2,L1
14,2023,Metropolitan,6,Philadelphia Flyers,82.0,38.0,33.0,11.0,87.0,30.0,34.0,4.0,3.0,20-17-4,18-16-7,235.0,261.0,-26.0,2-6-2,L1
15,2023,Metropolitan,7,New Jersey Devils,82.0,38.0,39.0,5.0,81.0,33.0,38.0,0.0,2.0,17-21-3,21-18-2,264.0,283.0,-19.0,3-6-1,L2
16,2023,Metropolitan,8,Columbus Blue Jackets,82.0,27.0,43.0,12.0,66.0,21.0,24.0,3.0,2.0,17-19-5,10-24-7,237.0,300.0,-63.0,4-6-0,W1
17,2023,Central,1,Dallas Stars,82.0,52.0,21.0,9.0,113.0,40.0,48.0,4.0,2.0,26-11-4,26-10-5,298.0,234.0,64.0,8-2-0,W2
18,2023,Central,2,Winnipeg Jets,82.0,52.0,24.0,6.0,110.0,46.0,52.0,0.0,1.0,27-11-3,25-13-3,259.0,199.0,60.0,8-2-0,W8
19,2023,Central,3,Colorado Avalanche,82.0,50.0,25.0,7.0,107.0,42.0,48.0,2.0,2.0,31-9-1,19-16-6,304.0,254.0,50.0,4-4-2,W1
20,2023,Central,4,Nashville Predators,82.0,47.0,30.0,5.0,99.0,38.0,44.0,3.0,0.0,23-16-2,24-14-3,269.0,248.0,21.0,4-5-1,L1
21,2023,Central,5,St. Louis Blues,82.0,43.0,33.0,6.0,92.0,31.0,38.0,5.0,2.0,25-14-2,18-19-4,239.0,250.0,-11.0,5-3-2,L1
22,2023,Central,6,Minnesota Wild,82.0,39.0,33.0,10.0,87.0,32.0,36.0,3.0,3.0,20-15-6,19-18-4,251.0,263.0,-12.0,4-5-1,L1
23,2023,Central,7,Arizona Coyotes,82.0,36.0,41.0,5.0,77.0,28.0,34.0,2.0,0.0,22-19-0,14-22-5,256.0,274.0,-18.0,6-4-0,W1
24,2023,Central,8,Chicago Blackhawks,82.0,23.0,53.0,6.0,52.0,17.0,22.0,1.0,1.0,16-21-4,7-32-2,179.0,290.0,-111.0,2-7-1,L6
25,2023,Pacific,1,Vancouver Canucks,82.0,50.0,23.0,9.0,109.0,44.0,50.0,0.0,2.0,27-9-5,23-14-4,279.0,223.0,56.0,5-4-1,L1
26,2023,Pacific,2,Edmonton Oilers,82.0,49.0,27.0,6.0,104.0,39.0,47.0,2.0,1.0,28-9-4,21-18-2,294.0,237.0,57.0,4-4-2,L2
27,2023,Pacific,3,Los Angeles Kings,82.0,44.0,27.0,11.0,99.0,37.0,42.0,2.0,5.0,22-12-7,22-15-4,256.0,215.0,41.0,6-4-0,W1
28,2023,Pacific,4,Vegas Golden Knights,82.0,45.0,29.0,8.0,98.0,34.0,41.0,4.0,2.0,27-12-2,18-17-6,267.0,245.0,22.0,6-4-0,L1
29,2023,Pacific,5,Calgary Flames,82.0,38.0,39.0,5.0,81.0,32.0,38.0,0.0,4.0,21-19-1,17-20-4,253.0,271.0,-18.0,5-5-0,W1
30,2023,Pacific,6,Seattle Kraken,82.0,34.0,35.0,13.0,81.0,28.0,31.0,3.0,4.0,17-18-6,17-17-7,217.0,236.0,-19.0,4-6-0,W1
31,2023,Pacific,7,Anaheim Ducks,82.0,27.0,50.0,5.0,59.0,21.0,26.0,1.0,2.0,12-26-3,15-24-2,204.0,295.0,-91.0,3-6-1,W1
32,2023,Pacific,8,San Jose Sharks,82.0,19.0,54.0,9.0,47.0,14.0,18.0,1.0,5.0,11-25-5,8-29-4,181.0,331.0,-150.0,3-6-1,L3
1,2022,Atlantic,1,Boston Bruins,82.0,65.0,12.0,5.0,135.0,54.0,61.0,4.0,3.0,34-4-3,31-8-2,305.0,177.0,128.0,9-1-0,W8
2,2022,Atlantic,2,Toronto Maple Leafs,82.0,50.0,21.0,11.0,111.0,42.0,49.0,1.0,2.0,27-8-6,23-13-5,279.0,222.0,57.0,7-1-2,W4
3,2022,Atlantic,3,Tampa Bay Lightning,82.0,46.0,30.0,6.0,98.0,38.0,43.0,3.0,2.0,28-8-5,18-22-1,283.0,254.0,29.0,4-6-0,W1
4,2022,Atlantic,4,Florida Panthers,82.0,42.0,32.0,8.0,92.0,36.0,40.0,2.0,1.0,23-13-5,19-19-3,290.0,273.0,17.0,6-3-1,L2
5,2022,Atlantic,5,Buffalo Sabres,82.0,42.0,33.0,7.0,91.0,30.0,39.0,3.0,3.0,17-20-4,25-13-3,296.0,300.0,-4.0,7-2-1,W2
6,2022,Atlantic,6,Ottawa Senators,82.0,39.0,35.0,8.0,86.0,31.0,37.0,2.0,1.0,24-14-3,15-21-5,261.0,271.0,-10.0,4-3-3,L1
7,2022,Atlantic,7,Detroit Red Wings,82.0,35.0,37.0,10.0,80.0,28.0,32.0,3.0,4.0,19-17-5,16-20-5,240.0,279.0,-39.0,4-5-1,L5
8,2022,Atlantic,8,Montreal Canadiens,82.0,31.0,45.0,6.0,68.0,21.0,26.0,5.0,2.0,17-21-3,14-24-3,232.0,307.0,-75.0,3-7-0,L3
9,2022,Metropolitan,1,Carolina Hurricanes,82.0,52.0,21.0,9.0,113.0,39.0,48.0,4.0,3.0,28-10-3,24-11-6,266.0,213.0,53.0,5-5-0,W2
