Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
8,2015,Atlantic,8,Toronto Maple Leafs,82.0,29.0,42.0,11.0,69.0,,23.0,6.0,6.0,14-18-9,15-24-2,198.0,246.0,-48.0,3-7-0,L1
9,2015,Metropolitan,1,Washington Capitals,82.0,56.0,18.0,8.0,120.0,,52.0,4.0,2.0,29-8-4,27-10-4,252.0,193.0,59.0,4-3-3,L1
10,2015,Metropolitan,2,Pittsburgh Penguins,82.0,48.0,26.0,8.0,104.0,,44.0,4.0,4.0,26-11-4,22-15-4,245.0,203.0,42.0,8-2-0,L1
11,2015,Metropolitan,3,New York Rangers,82.0,46.0,27.0,9.0,101.0,,43.0,3.0,2.0,27-10-4,19-17-5,236.0,217.0,19.0,6-3-1,W1
12,2015,Metropolitan,4,New York Islanders,82.0,45.0,27.0,10.0,100.0,,40.0,5.0,5.0,25-11-5,20-16-5,232.0,216.0,16.0,6-3-1,L2
13,2015,Metropolitan,5,Philadelphia Flyers,82.0,41.0,27.0,14.0,96.0,,38.0,3.0,8.0,23-10-8,18-17-6,214.0,218.0,-4.0,6-3-1,W2
14,2015,Metropolitan,6,Carolina Hurricanes,82.0,35.0,31.0,16.0,86.0,,33.0,2.0,5.0,19-15-7,16-16-9,198.0,226.0,-28.0,4-4-2,L2
15,2015,Metropolitan,7,New Jersey Devils,82.0,38.0,36.0,8.0,84.0,,36.0,2.0,6.0,19-17-5,19-19-3,184.0,208.0,-24.0,4-5-1,W1
16,2015,Metropolitan,8,Columbus Blue Jackets,82.0,34.0,40.0,8.0,76.0,,28.0,6.0,4.0,18-17-6,16-23-2,219.0,252.0,-33.0,5-5-0,W3
17,2015,Central,1,Dallas Stars,82.0,50.0,23.0,9.0,109.0,,48.0,2.0,2.0,28-11-2,22-12-7,267.0,230.0,37.0,8-2-0,W2
18,2015,Central,2,St. Louis Blues,82.0,49.0,24.0,9.0,107.0,,44.0,5.0,4.0,24-13-4,25-11-5,224.0,201.0,23.0,8-2-0,L1
19,2015,Central,3,Chicago Blackhawks,82.0,47.0,26.0,9.0,103.0,,46.0,1.0,2.0,26-11-4,21-15-5,235.0,209.0,26.0,5-2-3,L2
20,2015,Central,4,Nashville Predators,82.0,41.0,27.0,14.0,96.0,,37.0,4.0,2.0,23-11-7,18-16-7,228.0,215.0,13.0,5-4-1,L1
21,2015,Central,5,Minnesota Wild,82.0,38.0,33.0,11.0,87.0,,35.0,3.0,2.0,21-16-4,17-17-7,216.0,206.0,10.0,5-5-0,L5
22,2015,Central,6,Colorado Avalanche,82.0,39.0,39.0,4.0,82.0,,35.0,4.0,0.0,17-20-4,22-19-0,216.0,240.0,-24.0,2-8-0,L6
23,2015,Central,7,Winnipeg Jets,82.0,35.0,39.0,8.0,78.0,,32.0,3.0,3.0,18-19-4,17-20-4,215.0,239.0,-24.0,6-2-2,W4
24,2015,Pacific,1,Anaheim Ducks,82.0,46.0,25.0,11.0,103.0,,43.0,3.0,4.0,25-10-6,21-15-5,218.0,192.0,26.0,6-2-2,W2
25,2015,Pacific,2,Los Angeles Kings,82.0,48.0,28.0,6.0,102.0,,46.0,2.0,3.0,26-12-3,22-16-3,225.0,195.0,30.0,4-5-1,L1
26,2015,Pacific,3,San Jose Sharks,82.0,46.0,30.0,6.0,98.0,,42.0,4.0,3.0,18-20-3,28-10-3,241.0,210.0,31.0,5-5-0,W1
27,2015,Pacific,4,Arizona Coyotes,82.0,35.0,39.0,8.0,78.0,,34.0,1.0,1.0,22-15-4,13-24-4,209.0,245.0,-36.0,4-5-1,L4
28,2015,Pacific,5,Calgary Flames,82.0,35.0,40.0,7.0,77.0,,33.0,2.0,3.0,21-16-4,14-24-3,231.0,260.0,-29.0,4-5-1,W2
29,2015,Pacific,6,Vancouver Canucks,82.0,31.0,38.0,13.0,75.0,,26.0,5.0,4.0,15-21-5,16-17-8,191.0,243.0,-52.0,4-5-1,W1
30,2015,Pacific,7,Edmonton Oilers,82.0,31.0,43.0,8.0,70.0,,27.0,4.0,3.0,19-20-2,12-23-6,203.0,245.0,-42.0,4-5-1,L1
1,2014,Atlantic,1,Montreal Canadiens,82.0,50.0,32.0,10.0,110.0,,43.0,7.0,5.0,26-15-6,24-17-4,221.0,189.0,32.0,5-2-3,W3
2,2014,Atlantic,2,Tampa Bay Lightning,82.0,50.0,32.0,8.0,108.0,,47.0,3.0,5.0,32-9-1,18-23-7,262.0,211.0,51.0,6-3-1,W3
3,2014,Atlantic,3,Detroit Red Wings,82.0,43.0,39.0,14.0,100.0,,39.0,4.0,10.0,22-19-9,21-20-5,235.0,221.0,14.0,4-4-2,W1
4,2014,Atlantic,4,Ottawa Senators,82.0,43.0,39.0,13.0,99.0,,37.0,6.0,7.0,23-18-5,20-21-8,238.0,215.0,23.0,6-2-2,W3
5,2014,Atlantic,5,Boston Bruins,82.0,41.0,41.0,14.0,96.0,,37.0,4.0,10.0,24-17-7,17-24-7,213.0,211.0,2.0,5-3-2,L3
6,2014,Atlantic,6,Florida Panthers,82.0,38.0,44.0,15.0,91.0,,30.0,8.0,10.0,21-20-7,17-24-8,206.0,223.0,-17.0,5-4-1,W2
7,2014,Atlantic,7,Toronto Maple Leafs,82.0,30.0,52.0,8.0,68.0,,25.0,5.0,5.0,22-19-2,8-33-6,211.0,262.0,-51.0,3-5-2,L2
8,2014,Atlantic,8,Buffalo Sabres,82.0,23.0,59.0,8.0,54.0,,15.0,8.0,5.0,14-27-5,9-32-3,161.0,274.0,-113.0,3-6-1,L2
9,2014,Metropolitan,1,New York Rangers,82.0,53.0,29.0,7.0,113.0,,49.0,4.0,5.0,25-16-5,28-13-2,252.0,192.0,60.0,7-3-0,W1
10,2014,Metropolitan,2,Washington Capitals,82.0,45.0,37.0,11.0,101.0,,40.0,5.0,4.0,23-18-5,22-19-6,242.0,203.0,39.0,6-3-1,L1
11,2014,Metropolitan,3,New York Islanders,82.0,47.0,35.0,7.0,101.0,,40.0,7.0,6.0,25-16-2,22-19-5,252.0,230.0,22.0,4-3-3,L1
12,2014,Metropolitan,4,Pittsburgh Penguins,82.0,43.0,39.0,12.0,98.0,,39.0,4.0,6.0,23-18-4,20-21-8,221.0,210.0,11.0,3-5-2,W1
13,2014,Metropolitan,5,Columbus Blue Jackets,82.0,42.0,40.0,5.0,89.0,,33.0,9.0,2.0,19-22-2,23-18-3,236.0,250.0,-14.0,9-0-1,W3
14,2014,Metropolitan,6,Philadelphia Flyers,82.0,33.0,49.0,18.0,84.0,,30.0,3.0,11.0,23-18-7,10-31-11,215.0,234.0,-19.0,4-3-3,L2
15,2014,Metropolitan,7,New Jersey Devils,82.0,32.0,50.0,14.0,78.0,,27.0,5.0,7.0,19-22-8,13-28-6,181.0,216.0,-35.0,1-6-3,L4
16,2014,Metropolitan,8,Carolina Hurricanes,82.0,30.0,52.0,11.0,71.0,,25.0,5.0,7.0,18-23-7,12-29-4,188.0,226.0,-38.0,4-5-1,L1
17,2014,Central,1,St. Louis Blues,82.0,51.0,31.0,7.0,109.0,,42.0,9.0,4.0,27-14-2,24-17-5,248.0,201.0,47.0,6-3-1,W2
18,2014,Central,2,Nashville Predators,82.0,47.0,35.0,10.0,104.0,,41.0,6.0,6.0,28-13-4,19-22-6,232.0,208.0,24.0,4-4-2,L6
19,2014,Central,3,Chicago Blackhawks,82.0,48.0,34.0,6.0,102.0,,39.0,9.0,3.0,24-17-5,24-17-1,229.0,189.0,40.0,4-6-0,L4
20,2014,Central,4,Minnesota Wild,82.0,46.0,36.0,8.0,100.0,,42.0,4.0,3.0,22-19-6,24-17-2,231.0,201.0,30.0,6-3-1,L1
21,2014,Central,5,Winnipeg Jets,82.0,43.0,39.0,13.0,99.0,,36.0,7.0,6.0,23-18-5,20-21-8,230.0,210.0,20.0,6-3-1,W1
22,2014,Central,6,Dallas Stars,82.0,41.0,41.0,10.0,92.0,,37.0,4.0,3.0,17-24-8,24-17-2,261.0,260.0,1.0,7-3-0,W4
23,2014,Central,7,Colorado Avalanche,82.0,39.0,43.0,12.0,90.0,,29.0,10.0,4.0,23-18-3,16-25-9,219.0,227.0,-8.0,6-4-0,W3
24,2014,Pacific,1,Anaheim Ducks,82.0,51.0,31.0,7.0,109.0,,43.0,8.0,5.0,26-15-3,25-16-4,236.0,226.0,10.0,6-4-0,W1
25,2014,Pacific,2,Vancouver Canucks,82.0,48.0,34.0,5.0,101.0,,42.0,6.0,2.0,24-17-2,24-17-3,242.0,222.0,20.0,6-4-1,W3
26,2014,Pacific,3,Calgary Flames,82.0,45.0,37.0,7.0,97.0,,41.0,4.0,3.0,23-18-5,22-19-2,241.0,216.0,25.0,6-3-1,L1
27,2014,Pacific,4,Los Angeles Kings,82.0,40.0,42.0,15.0,95.0,,38.0,2.0,8.0,25-16-7,15-26-8,220.0,205.0,15.0,5-4-1,W1
28,2014,Pacific,5,San Jose Sharks,82.0,40.0,42.0,9.0,89.0,,36.0,4.0,6.0,19-22-5,21-20-4,228.0,232.0,-4.0,5-4-1,L1
29,2014,Pacific,6,Edmonton Oilers,82.0,24.0,58.0,14.0,62.0,,19.0,5.0,7.0,15-26-3,9-32-11,198.0,283.0,-85.0,4-6-1,L2
30,2014,Pacific,7,Arizona Coyotes,82.0,24.0,58.0,8.0,56.0,,19.0,5.0,5.0,11-30-5,13-28-3,170.0,272.0,-102.0,3-7-0,L3
1,2013,Atlantic,1,Boston Bruins,82.0,54.0,19.0,9.0,117.0,,51.0,3.0,6.0,31-7-3,23-12-6,261.0,177.0,84.0,5-2-3,L1
2,2013,Atlantic,2,Tampa Bay Lightning,82.0,46.0,27.0,9.0,101.0,,38.0,8.0,6.0,25-10-6,21-17-3,240.0,215.0,25.0,7-3-0,W4
3,2013,Atlantic,3,Montreal Canadiens,82.0,46.0,28.0,8.0,100.0,,40.0,6.0,3.0,23-13-5,23-15-3,215.0,204.0,11.0,7-2-1,W1
4,2013,Atlantic,4,Detroit Red Wings,82.0,39.0,28.0,15.0,93.0,,34.0,5.0,9.0,18-13-10,21-15-5,222.0,230.0,-8.0,6-3-1,W1
5,2013,Atlantic,5,Ottawa Senators,82.0,37.0,31.0,14.0,88.0,,30.0,7.0,7.0,18-17-6,19-14-8,236.0,265.0,-29.0,8-2-0,W5
6,2013,Atlantic,6,Toronto Maple Leafs,82.0,38.0,36.0,8.0,84.0,,29.0,9.0,4.0,24-16-1,14-20-7,231.0,256.0,-25.0,2-8-0,L4
7,2013,Atlantic,7,Florida Panthers,82.0,29.0,45.0,8.0,66.0,,21.0,8.0,6.0,16-20-5,13-25-3,196.0,268.0,-72.0,3-7-0,L1
8,2013,Atlantic,8,Buffalo Sabres,82.0,21.0,51.0,10.0,52.0,,14.0,7.0,5.0,13-21-7,8-30-3,157.0,248.0,-91.0,1-7-2,L7
9,2013,Metropolitan,1,Pittsburgh Penguins,82.0,51.0,24.0,7.0,109.0,,44.0,7.0,3.0,28-9-4,23-15-3,249.0,207.0,42.0,5-3-2,L2
10,2013,Metropolitan,2,New York Rangers,82.0,45.0,31.0,6.0,96.0,,41.0,4.0,3.0,20-17-4,25-14-2,218.0,193.0,25.0,6-2-2,L1
11,2013,Metropolitan,3,Philadelphia Flyers,82.0,42.0,30.0,10.0,94.0,,39.0,3.0,8.0,24-14-3,18-16-7,236.0,235.0,1.0,4-3-3,L1
12,2013,Metropolitan,4,Columbus Blue Jackets,82.0,43.0,32.0,7.0,93.0,,38.0,5.0,2.0,22-15-4,21-17-3,231.0,216.0,15.0,6-3-1,W1
13,2013,Metropolitan,5,Washington Capitals,82.0,38.0,30.0,14.0,90.0,,28.0,10.0,11.0,21-13-7,17-17-7,235.0,240.0,-5.0,4-3-3,L1
14,2013,Metropolitan,6,New Jersey Devils,82.0,35.0,29.0,18.0,88.0,,35.0,0.0,13.0,21-11-9,14-18-9,197.0,208.0,-11.0,4-1-5,W1
15,2013,Metropolitan,7,Carolina Hurricanes,82.0,36.0,35.0,11.0,83.0,,34.0,2.0,4.0,18-17-6,18-18-5,207.0,230.0,-23.0,5-3-2,W2
16,2013,Metropolitan,8,New York Islanders,82.0,34.0,37.0,11.0,79.0,,25.0,9.0,6.0,13-19-9,21-18-2,225.0,267.0,-42.0,6-2-2,W3
17,2013,Central,1,Colorado Avalanche,82.0,52.0,22.0,8.0,112.0,,47.0,5.0,4.0,26-11-4,26-11-4,250.0,220.0,30.0,7-1-2,L2
18,2013,Central,2,St. Louis Blues,82.0,52.0,23.0,7.0,111.0,,43.0,9.0,3.0,28-9-4,24-14-3,248.0,191.0,57.0,3-7-0,L6
19,2013,Central,3,Chicago Blackhawks,82.0,46.0,21.0,15.0,107.0,,40.0,6.0,8.0,27-7-7,19-14-8,267.0,220.0,47.0,5-5-0,L2
20,2013,Central,4,Minnesota Wild,82.0,43.0,27.0,12.0,98.0,,35.0,8.0,8.0,26-10-5,17-17-7,207.0,206.0,1.0,6-3-1,L1
21,2013,Central,5,Dallas Stars,82.0,40.0,31.0,11.0,91.0,,36.0,4.0,5.0,23-11-7,17-20-4,235.0,228.0,7.0,6-4-0,L1
22,2013,Central,6,Nashville Predators,82.0,38.0,32.0,12.0,88.0,,36.0,2.0,9.0,19-17-5,19-15-7,216.0,242.0,-26.0,7-1-2,W3
23,2013,Central,7,Winnipeg Jets,82.0,37.0,35.0,10.0,84.0,,29.0,8.0,6.0,18-17-6,19-18-4,227.0,237.0,-10.0,5-4-1,W2
24,2013,Pacific,1,Anaheim Ducks,82.0,54.0,20.0,8.0,116.0,,51.0,3.0,6.0,29-8-4,25-12-4,266.0,209.0,57.0,7-2-1,W4
25,2013,Pacific,2,San Jose Sharks,82.0,51.0,22.0,9.0,111.0,,41.0,10.0,7.0,29-7-5,22-15-4,249.0,200.0,49.0,5-4-1,W2
26,2013,Pacific,3,Los Angeles Kings,82.0,46.0,28.0,8.0,100.0,,38.0,8.0,6.0,23-14-4,23-14-4,206.0,174.0,32.0,5-3-2,L1
27,2013,Pacific,4,Phoenix Coyotes,82.0,37.0,30.0,15.0,89.0,,31.0,6.0,7.0,22-14-5,15-16-10,216.0,231.0,-15.0,3-4-3,W1
28,2013,Pacific,5,Vancouver Canucks,82.0,36.0,35.0,11.0,83.0,,31.0,5.0,7.0,20-15-6,16-20-5,196.0,223.0,-27.0,4-5-1,W1
29,2013,Pacific,6,Calgary Flames,82.0,35.0,40.0,7.0,77.0,,28.0,7.0,3.0,19-19-3,16-21-4,209.0,241.0,-32.0,5-5-0,L2
30,2013,Pacific,7,Edmonton Oilers,82.0,29.0,44.0,9.0,67.0,,25.0,4.0,3.0,16-22-3,13-22-6,203.0,270.0,-67.0,4-6-0,W1
1,2012,Atlantic,1,Pittsburgh Penguins,48.0,36.0,12.0,0.0,72.0,,33.0,3.0,0.0,18-6-0,18-6-0,165.0,119.0,46.0,8-2-0,W1
2,2012,Atlantic,2,New York Rangers,48.0,26.0,18.0,4.0,56.0,,22.0,4.0,4.0,16-6-2,10-12-2,130.0,112.0,18.0,7-3-0,W2
3,2012,Atlantic,3,New York Islanders,48.0,24.0,17.0,7.0,55.0,,20.0,4.0,3.0,10-11-3,14-6-4,139.0,139.0,0.0,6-1-3,L3
4,2012,Atlantic,4,Philadelphia Flyers,48.0,23.0,22.0,3.0,49.0,,22.0,1.0,2.0,15-7-2,8-15-1,133.0,141.0,-8.0,6-4-0,W4
5,2012,Atlantic,5,New Jersey Devils,48.0,19.0,19.0,10.0,48.0,,17.0,2.0,7.0,13-9-2,6-10-8,112.0,129.0,-17.0,4-5-1,L1
6,2012,Northeast,1,Montreal Canadiens,48.0,29.0,14.0,5.0,63.0,,26.0,3.0,2.0,14-7-3,15-7-2,149.0,126.0,23.0,4-6-0,W2
7,2012,Northeast,2,Boston Bruins,48.0,28.0,14.0,6.0,62.0,,24.0,4.0,3.0,16-5-3,12-9-3,131.0,109.0,22.0,3-5-2,L2
8,2012,Northeast,3,Toronto Maple Leafs,48.0,26.0,17.0,5.0,57.0,,26.0,0.0,5.0,13-9-2,13-8-3,145.0,133.0,12.0,5-4-1,L1
9,2012,Northeast,4,Ottawa Senators,48.0,25.0,17.0,6.0,56.0,,21.0,4.0,4.0,15-6-3,10-11-3,116.0,104.0,12.0,6-4-0,W1
10,2012,Northeast,5,Buffalo Sabres,48.0,21.0,21.0,6.0,48.0,,14.0,7.0,4.0,11-10-3,10-11-3,125.0,143.0,-18.0,6-4-0,W2
11,2012,Southeast,1,Washington Capitals,48.0,27.0,18.0,3.0,57.0,,24.0,3.0,0.0,15-8-1,12-10-2,149.0,130.0,19.0,8-1-1,W1
12,2012,Southeast,2,Winnipeg Jets,48.0,24.0,21.0,3.0,51.0,,22.0,2.0,3.0,13-10-1,11-11-2,128.0,144.0,-16.0,6-3-1,L2
13,2012,Southeast,3,Carolina Hurricanes,48.0,19.0,25.0,4.0,42.0,,18.0,1.0,1.0,9-14-1,10-11-3,128.0,160.0,-32.0,3-5-2,L2
14,2012,Southeast,4,Tampa Bay Lightning,48.0,18.0,26.0,4.0,40.0,,17.0,1.0,3.0,12-10-2,6-16-2,148.0,150.0,-2.0,2-6-2,L2
15,2012,Southeast,5,Florida Panthers,48.0,15.0,27.0,6.0,36.0,,12.0,3.0,1.0,8-11-5,7-16-1,112.0,171.0,-59.0,3-7-0,W1
16,2012,Central,1,Chicago Blackhawks,48.0,36.0,7.0,5.0,77.0,,30.0,6.0,5.0,18-3-3,18-4-2,155.0,102.0,53.0,7-2-1,L1
17,2012,Central,2,St. Louis Blues,48.0,29.0,17.0,2.0,60.0,,24.0,5.0,1.0,15-8-1,14-9-1,129.0,115.0,14.0,7-3-0,W3
18,2012,Central,3,Detroit Red Wings,48.0,24.0,16.0,8.0,56.0,,22.0,2.0,5.0,13-7-4,11-9-4,124.0,115.0,9.0,5-2-3,W4
19,2012,Central,4,Columbus Blue Jackets,48.0,24.0,17.0,7.0,55.0,,19.0,5.0,4.0,14-5-5,10-12-2,120.0,119.0,1.0,8-2-0,W3
20,2012,Central,5,Nashville Predators,48.0,16.0,23.0,9.0,41.0,,14.0,2.0,6.0,11-9-4,5-14-5,111.0,139.0,-28.0,1-8-1,L2
21,2012,Northwest,1,Vancouver Canucks,48.0,26.0,15.0,7.0,59.0,,21.0,5.0,6.0,15-6-3,11-9-4,127.0,121.0,6.0,5-4-1,L2
22,2012,Northwest,2,Minnesota Wild,48.0,26.0,19.0,3.0,55.0,,22.0,4.0,2.0,14-8-2,12-11-1,122.0,127.0,-5.0,4-5-1,W1
23,2012,Northwest,3,Edmonton Oilers,48.0,19.0,22.0,7.0,45.0,,17.0,2.0,3.0,9-11-4,10-11-3,125.0,134.0,-9.0,3-7-0,W2
24,2012,Northwest,4,Calgary Flames,48.0,19.0,25.0,4.0,42.0,,19.0,0.0,3.0,13-9-2,6-16-2,128.0,160.0,-32.0,5-5-0,L3
25,2012,Northwest,5,Colorado Avalanche,48.0,16.0,25.0,7.0,39.0,,14.0,2.0,2.0,12-9-3,4-16-4,116.0,152.0,-36.0,4-4-2,L1
26,2012,Pacific,1,Anaheim Ducks,48.0,30.0,12.0,6.0,66.0,,24.0,6.0,3.0,16-7-1,14-5-5,140.0,118.0,22.0,5-4-1,L1
27,2012,Pacific,2,Los Angeles Kings,48.0,27.0,16.0,5.0,59.0,,25.0,2.0,4.0,19-4-1,8-12-4,133.0,118.0,15.0,5-3-2,W1
28,2012,Pacific,3,San Jose Sharks,48.0,25.0,16.0,7.0,57.0,,17.0,8.0,4.0,17-2-5,8-14-2,124.0,116.0,8.0,5-5-0,L2
29,2012,Pacific,4,Phoenix Coyotes,48.0,21.0,18.0,9.0,51.0,,17.0,4.0,6.0,14-8-2,7-10-7,125.0,131.0,-6.0,4-3-3,W1
30,2012,Pacific,5,Dallas Stars,48.0,22.0,22.0,4.0,48.0,,20.0,2.0,1.0,11-11-2,11-11-2,130.0,142.0,-12.0,4-5-1,L5
1,2011,Atlantic,1,New York Rangers,82.0,51.0,24.0,7.0,109.0,,47.0,4.0,5.0,27-12-2,24-12-5,226.0,187.0,39.0,6-4-0,L2
2,2011,Atlantic,2,Pittsburgh Penguins,82.0,51.0,25.0,6.0,108.0,,42.0,9.0,3.0,29-10-2,22-15-4,282.0,221.0,61.0,6-4-0,W3
3,2011,Atlantic,3,Philadelphia Flyers,82.0,47.0,26.0,9.0,103.0,,43.0,4.0,7.0,22-13-6,25-13-3,264.0,232.0,32.0,5-4-1,L1
4,2011,Atlantic,4,New Jersey Devils,82.0,48.0,28.0,6.0,102.0,,36.0,12.0,4.0,24-13-4,24-15-2,228.0,209.0,19.0,7-2-1,W6
5,2011,Atlantic,5,New York Islanders,82.0,34.0,37.0,11.0,79.0,,27.0,7.0,4.0,17-18-6,17-19-5,203.0,255.0,-52.0,5-5-0,L1
6,2011,Northeast,1,Boston Bruins,82.0,49.0,29.0,4.0,102.0,,40.0,9.0,3.0,24-14-3,25-15-1,269.0,202.0,67.0,7-2-1,W2
7,2011,Northeast,2,Ottawa Senators,82.0,41.0,31.0,10.0,92.0,,35.0,6.0,4.0,20-17-4,21-14-6,249.0,240.0,9.0,4-6-0,L3
8,2011,Northeast,3,Buffalo Sabres,82.0,39.0,32.0,11.0,89.0,,32.0,7.0,7.0,21-12-8,18-20-3,218.0,230.0,-12.0,6-3-1,L2
9,2011,Northeast,4,Toronto Maple Leafs,82.0,35.0,37.0,10.0,80.0,,31.0,4.0,5.0,18-16-7,17-21-3,231.0,264.0,-33.0,3-5-2,L1
10,2011,Northeast,5,Montreal Canadiens,82.0,31.0,35.0,16.0,78.0,,26.0,5.0,12.0,16-15-10,15-20-6,212.0,226.0,-14.0,3-3-4,W1
11,2011,Southeast,1,Florida Panthers,82.0,38.0,26.0,18.0,94.0,,32.0,6.0,11.0,21-9-11,17-17-7,203.0,227.0,-24.0,2-3-5,W1
12,2011,Southeast,2,Washington Capitals,82.0,42.0,32.0,8.0,92.0,,38.0,4.0,4.0,26-11-4,16-21-4,222.0,230.0,-8.0,6-2-2,W2
13,2011,Southeast,3,Tampa Bay Lightning,82.0,38.0,36.0,8.0,84.0,,35.0,3.0,3.0,25-14-2,13-22-6,235.0,281.0,-46.0,6-3-1,W1
14,2011,Southeast,4,Winnipeg Jets,82.0,37.0,35.0,10.0,84.0,,33.0,4.0,4.0,23-13-5,14-22-5,225.0,246.0,-21.0,3-5-2,L2
15,2011,Southeast,5,Carolina Hurricanes,82.0,33.0,33.0,16.0,82.0,,32.0,1.0,6.0,20-14-7,13-19-9,213.0,243.0,-30.0,5-4-1,L1
16,2011,Central,1,St. Louis Blues,82.0,49.0,22.0,11.0,109.0,,45.0,4.0,10.0,30-6-5,19-16-6,210.0,165.0,45.0,4-3-3,W1
17,2011,Central,2,Nashville Predators,82.0,48.0,26.0,8.0,104.0,,43.0,5.0,5.0,26-10-5,22-16-3,237.0,210.0,27.0,6-4-0,W3
18,2011,Central,3,Detroit Red Wings,82.0,48.0,28.0,6.0,102.0,,39.0,9.0,3.0,31-7-3,17-21-3,248.0,203.0,45.0,4-4-2,L2
19,2011,Central,4,Chicago Blackhawks,82.0,45.0,26.0,11.0,101.0,,38.0,7.0,7.0,27-8-6,18-18-5,248.0,238.0,10.0,6-1-3,W1
20,2011,Central,5,Columbus Blue Jackets,82.0,29.0,46.0,7.0,65.0,,25.0,4.0,5.0,17-21-3,12-25-4,202.0,262.0,-60.0,6-4-0,W2
21,2011,Northwest,1,Vancouver Canucks,82.0,51.0,22.0,9.0,111.0,,43.0,8.0,7.0,27-10-4,24-12-5,249.0,198.0,51.0,8-1-1,W1
22,2011,Northwest,2,Calgary Flames,82.0,37.0,29.0,16.0,90.0,,34.0,3.0,9.0,23-12-6,14-17-10,202.0,226.0,-24.0,3-3-4,W2
23,2011,Northwest,3,Colorado Avalanche,82.0,41.0,35.0,6.0,88.0,,32.0,9.0,2.0,22-17-2,19-18-4,208.0,220.0,-12.0,3-5-2,L2
24,2011,Northwest,4,Minnesota Wild,82.0,35.0,36.0,11.0,81.0,,24.0,11.0,9.0,20-17-4,15-19-7,177.0,226.0,-49.0,5-4-1,L1
25,2011,Northwest,5,Edmonton Oilers,82.0,32.0,40.0,10.0,74.0,,27.0,5.0,7.0,18-17-6,14-23-4,212.0,239.0,-27.0,4-4-2,L3
26,2011,Pacific,1,Phoenix Coyotes,82.0,42.0,27.0,13.0,97.0,,36.0,6.0,10.0,22-13-6,20-14-7,216.0,204.0,12.0,7-1-2,W5
27,2011,Pacific,2,San Jose Sharks,82.0,43.0,29.0,10.0,96.0,,34.0,9.0,5.0,26-12-3,17-17-7,228.0,210.0,18.0,7-3-0,W4
28,2011,Pacific,3,Los Angeles Kings,82.0,40.0,27.0,15.0,95.0,,34.0,6.0,9.0,22-14-5,18-13-10,194.0,179.0,15.0,5-2-3,L2
29,2011,Pacific,4,Dallas Stars,82.0,42.0,35.0,5.0,89.0,,35.0,7.0,4.0,22-16-3,20-19-2,211.0,222.0,-11.0,3-7-0,L5
30,2011,Pacific,5,Anaheim Ducks,82.0,34.0,36.0,12.0,80.0,,31.0,3.0,7.0,21-18-2,13-18-10,204.0,231.0,-27.0,4-5-1,L1
1,2010,Atlantic,1,Philadelphia Flyers,82.0,47.0,23.0,12.0,106.0,,44.0,3.0,7.0,22-12-7,25-11-5,259.0,223.0,36.0,3-4-3,W1
2,2010,Atlantic,2,Pittsburgh Penguins,82.0,49.0,25.0,8.0,106.0,,39.0,10.0,3.0,25-14-2,24-11-6,238.0,199.0,39.0,8-2-0,W4
3,2010,Atlantic,3,New York Rangers,82.0,44.0,33.0,5.0,93.0,,35.0,9.0,3.0,20-17-4,24-16-1,233.0,198.0,35.0,6-3-1,W1
4,2010,Atlantic,4,New Jersey Devils,82.0,38.0,39.0,5.0,81.0,,35.0,3.0,2.0,22-16-3,16-23-2,174.0,209.0,-35.0,4-5-1,W1
5,2010,Atlantic,5,New York Islanders,82.0,30.0,39.0,13.0,73.0,,26.0,4.0,6.0,17-18-6,13-21-7,229.0,264.0,-35.0,3-6-1,L4
6,2010,Northeast,1,Boston Bruins,82.0,46.0,25.0,11.0,103.0,,44.0,2.0,6.0,22-13-6,24-12-5,246.0,195.0,51.0,6-3-1,L1
7,2010,Northeast,2,Montreal Canadiens,82.0,44.0,30.0,8.0,96.0,,41.0,3.0,3.0,24-11-6,20-19-2,216.0,209.0,7.0,5-4-1,W1
8,2010,Northeast,3,Buffalo Sabres,82.0,43.0,29.0,10.0,96.0,,38.0,5.0,1.0,21-16-4,22-13-6,245.0,229.0,16.0,8-1-1,W4
9,2010,Northeast,4,Toronto Maple Leafs,82.0,37.0,34.0,11.0,85.0,,32.0,5.0,6.0,18-15-8,19-19-3,218.0,251.0,-33.0,6-3-1,L3
10,2010,Northeast,5,Ottawa Senators,82.0,32.0,40.0,10.0,74.0,,30.0,2.0,5.0,16-20-5,16-20-5,192.0,250.0,-58.0,5-4-1,L1
11,2010,Southeast,1,Washington Capitals,82.0,48.0,23.0,11.0,107.0,,43.0,5.0,6.0,25-8-8,23-15-3,224.0,197.0,27.0,7-2-1,L1
12,2010,Southeast,2,Tampa Bay Lightning,82.0,46.0,25.0,11.0,103.0,,40.0,6.0,6.0,25-11-5,21-14-6,247.0,240.0,7.0,7-3-0,W2
13,2010,Southeast,3,Carolina Hurricanes,82.0,40.0,31.0,11.0,91.0,,35.0,5.0,5.0,22-14-5,18-17-6,236.0,239.0,-3.0,7-2-1,L1
14,2010,Southeast,4,Atlanta Thrashers,82.0,34.0,36.0,12.0,80.0,,29.0,5.0,7.0,17-17-7,17-19-5,223.0,269.0,-46.0,4-6-0,L2
