Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Joel Embiid,C,66,34.6,33.1,11.0,20.1,54.8,1.0,3.0,33.0,10.0,11.7,85.7,10.2,4.2,1.0,1.7,3.4,39,1
John Butler Jr.,F,19,11.6,2.4,0.9,2.8,32.1,0.4,1.8,22.9,0.2,0.2,75.0,0.9,0.6,0.4,0.5,0.1,0,0
John Collins,F,71,30.0,13.1,5.1,10.0,50.8,1.0,3.4,29.2,2.0,2.5,80.3,6.5,1.2,0.6,1.0,1.1,11,0
John Konchar,G,72,20.8,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,4.3,1.4,1.1,0.3,0.5,2,0
John Wall,PG,34,22.2,11.4,4.1,10.0,40.7,1.0,3.2,30.3,2.3,3.3,68.1,2.7,5.2,0.8,0.4,2.4,1,0
Johnny Davis,G,28,15.1,5.8,2.4,6.1,38.6,0.6,2.5,24.3,0.5,1.0,51.9,2.3,1.0,0.4,0.3,0.6,0,0
Johnny Juzang,G,18,12.9,4.8,1.9,5.8,33.7,0.8,3.5,23.8,0.1,0.2,50.0,2.2,0.4,0.2,0.2,0.2,0,0
Jonas Valanciunas,C,79,24.9,14.1,5.6,10.3,54.7,0.5,1.4,34.9,2.3,2.8,82.6,10.2,1.8,0.3,0.7,2.0,43,0
Jonathan Isaac,F,11,11.3,5.0,2.0,4.8,41.5,0.5,1.4,40.0,0.5,0.8,55.6,4.0,0.5,1.3,0.4,0.4,0,0
Jonathan Kuminga,F,67,20.8,9.9,3.9,7.4,52.5,0.8,2.2,37.0,1.3,2.1,65.2,3.4,1.9,0.6,0.5,1.4,1,0
Jordan Clarkson,G,61,32.6,20.8,7.5,16.9,44.4,2.5,7.5,33.8,3.3,4.0,81.6,4.0,4.4,0.5,0.2,3.0,3,0
Jordan Goodwin,G,62,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,3.3,2.7,0.9,0.4,0.9,0,0
Jordan Hall,G,9,9.2,3.1,1.0,3.1,32.1,0.3,1.7,20.0,0.8,1.0,77.8,1.3,1.2,0.1,0.0,0.8,0,0
Jordan McLaughlin,G,43,15.8,3.7,1.4,3.4,42.1,0.6,1.8,30.8,0.3,0.4,83.3,1.4,3.4,0.7,0.1,0.8,0,0
Jordan Nwora,SF,62,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,3.7,1.4,0.4,0.2,1.1,1,0
Jordan Poole,G,82,30.0,20.4,6.7,15.6,43.0,2.6,7.8,33.6,4.4,5.1,87.0,2.7,4.5,0.8,0.3,3.1,1,0
Jordan Schakel,G,2,3.0,1.5,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0,0
Jose Alvarado,G,61,21.5,9.0,3.3,8.0,41.1,1.4,4.0,33.6,1.1,1.3,81.3,2.3,3.0,1.1,0.2,1.3,0,0
Josh Christopher,SG,64,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75.0,1.1,1.1,0.5,0.2,0.9,0,0
Josh Giddey,G,76,31.1,16.6,7.1,14.7,48.2,1.0,3.1,32.5,1.4,1.9,73.1,7.9,6.2,0.8,0.4,2.8,28,4
Josh Green,G,60,25.7,9.1,3.4,6.4,53.7,1.1,2.8,40.2,1.1,1.6,72.3,3.0,1.7,0.7,0.1,1.2,1,0
Josh Hart,G,76,32.3,9.8,3.6,6.8,52.9,0.8,2.2,37.2,1.7,2.3,75.0,7.8,3.8,1.2,0.3,1.5,10,0
Josh Minott,F,15,6.4,3.1,1.2,2.4,50.0,0.1,0.4,33.3,0.5,0.5,100.0,1.7,0.3,0.3,0.4,0.2,1,0
Josh Okogie,G,72,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,3.5,1.5,0.8,0.5,0.9,2,0
