Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Anthony Edwards,G,60,35.2,28.9,9.9,20.3,48.9,3.4,8.5,39.8,5.7,7.2,79.6,5.0,3.7,1.4,0.8,2.8,2,0
Anthony Gill,F,51,16.3,5.4,2.3,3.7,62.3,0.3,0.8,31.7,0.5,0.6,77.4,2.8,1.3,0.5,0.4,0.7,0,0
Ariel Hukporti,C,52,8.8,1.9,0.7,1.3,54.4,0.0,0.1,25.0,0.5,0.6,78.8,2.8,0.5,0.2,0.5,0.6,0,0
Ausar Thompson,G,69,26.0,9.9,4.2,8.0,51.8,0.1,0.3,26.1,1.5,2.7,56.5,5.8,3.0,2.0,0.9,1.5,3,0
Austin Reaves,G,51,34.5,23.3,7.3,14.9,49.0,2.3,6.4,36.0,6.3,7.3,87.1,4.7,5.5,1.1,0.4,3.0,6,0
Ayo Dosunmu,G,67,27.2,14.7,5.5,10.7,51.4,1.8,4.1,44.3,1.8,2.1,87.1,3.5,3.6,0.8,0.3,1.3,2,1
Bam Adebayo,C,69,32.2,20.2,6.9,15.7,43.9,1.7,5.5,31.7,4.6,5.9,77.8,10.0,3.0,1.2,0.7,1.7,32,0
Baylor Scheierman,G,73,18.2,5.0,1.8,4.1,44.4,1.1,2.9,38.1,0.3,0.3,86.4,3.5,1.5,0.5,0.1,0.6,4,0
Ben Sheppard,G,65,21.4,7.1,2.6,6.0,43.4,1.3,3.6,36.2,0.6,0.8,76.5,3.0,1.8,0.6,0.1,0.6,0,0
Bennedict Mathurin,G,50,30.6,18.2,5.6,12.8,43.6,1.5,4.5,32.2,5.5,6.4,87.1,5.5,2.3,0.8,0.2,2.2,3,0
Bilal Coulibaly,G,54,26.3,11.4,4.0,9.5,41.6,1.1,3.7,30.8,2.3,3.1,74.7,4.4,2.6,1.4,0.9,1.5,0,0
Bobby Portis,F,67,24.2,13.7,5.5,11.2,48.8,2.0,4.4,45.6,0.7,1.0,70.6,6.4,1.6,0.6,0.2,1.0,11,0
Bones Hyland,G,69,16.4,8.3,3.0,6.5,45.2,1.6,4.1,38.2,0.9,1.1,77.6,1.8,2.6,0.6,0.2,0.9,0,0
Brandin Podziemski,G,78,28.5,13.5,4.7,10.4,45.4,1.8,5.0,36.9,2.2,2.8,78.3,5.3,3.8,1.1,0.2,1.6,5,0
Brandon Ingram,F,73,33.8,21.3,7.9,16.8,47.1,1.7,4.6,37.6,3.7,4.5,82.2,5.5,3.6,0.7,0.7,2.5,2,0
Brandon Miller,F,62,30.3,20.2,7.0,16.1,43.4,3.2,8.2,38.7,3.0,3.4,89.2,5.0,3.4,1.0,0.7,2.6,3,0
Brandon Williams,G,65,22.1,13.0,4.4,9.4,47.0,0.6,2.4,23.4,3.6,4.6,79.5,2.9,3.9,0.9,0.3,1.9,1,0
Brice Sensabaugh,F,73,23.6,14.8,5.3,11.4,46.3,2.2,5.8,36.9,2.2,2.6,82.7,3.1,1.9,0.7,0.2,1.6,0,0
Brook Lopez,C,71,21.4,8.2,3.0,7.0,42.3,1.5,4.1,35.4,0.8,1.0,78.6,3.4,1.3,0.6,1.2,0.8,1,0
Bruce Brown,G,78,24.3,7.8,3.0,6.3,47.0,0.7,1.8,39.0,1.1,1.5,76.1,3.8,2.0,1.0,0.2,1.1,1,0
Bub Carrington,G,78,27.5,10.3,3.7,8.8,41.8,2.0,4.9,39.6,1.0,1.3,72.1,3.4,4.6,0.6,0.2,2.3,0,0
Buddy Hield,G,50,16.0,7.2,2.6,6.2,42.4,1.3,4.0,33.3,0.6,0.7,81.1,2.3,1.4,0.8,0.2,0.9,0,0
Cade Cunningham,G,61,34.4,24.5,8.7,18.9,46.1,2.0,5.8,34.6,5.1,6.2,81.4,5.6,9.9,1.5,0.9,3.7,37,3
Caleb Love,G,47,21.5,10.8,4.0,10.4,38.9,2.0,6.2,32.0,0.8,1.0,73.5,2.4,2.6,0.6,0.1,1.3,0,0
Caleb Martin,F,58,14.8,3.9,1.5,3.3,45.0,0.3,1.0,35.1,0.6,1.1,60.7,2.5,1.4,0.7,0.3,0.7,0,0
Cam Christie,G,52,9.0,3.0,1.0,2.6,38.2,0.2,0.9,24.5,0.7,1.0,76.0,1.5,0.6,0.3,0.1,0.4,0,0
Cam Spencer,G,71,23.9,11.1,3.7,7.8,47.2,2.0,4.5,44.7,1.8,1.9,94.0,2.6,5.5,0.7,0.2,1.3,6,0
Cameron Johnson,F,52,30.4,12.0,4.1,8.7,47.1,2.1,4.8,43.0,1.7,2.1,84.1,3.8,2.4,0.8,0.4,0.8,1,0
Caris LeVert,G,57,19.4,7.4,2.8,6.6,41.9,1.0,3.1,33.0,0.9,1.3,65.8,2.0,2.7,0.8,0.7,1.4,0,0
Carter Bryant,F,67,10.8,3.7,1.4,3.5,38.6,0.6,2.0,30.7,0.4,0.6,71.1,2.4,0.5,0.2,0.3,0.4,0,0
Cason Wallace,G,75,26.7,8.7,3.3,7.7,43.6,1.3,3.7,35.2,0.7,0.9,80.3,3.1,2.6,2.0,0.4,0.9,1,0
Cedric Coward,F,60,26.0,13.4,4.8,10.4,46.4,1.5,4.4,33.2,2.3,2.7,84.5,5.9,2.8,0.6,0.4,1.8,7,0
Chet Holmgren,C,67,29.0,17.0,6.2,11.3,55.3,1.3,3.5,35.6,3.2,4.0,79.7,8.8,1.6,0.6,1.9,1.5,22,0
CJ McCollum,G,73,29.8,18.7,6.9,15.1,45.4,2.5,6.7,37.1,2.5,3.2,77.4,3.3,3.8,0.8,0.4,1.8,0,0
Clint Capela,C,71,12.3,3.5,1.5,2.9,51.2,0.0,0.0,0.0,0.6,0.9,59.7,4.6,0.7,0.5,0.8,0.6,0,0
Coby White,G,48,25.4,17.5,5.6,12.6,44.4,2.3,6.4,35.6,4.0,4.8,82.3,3.5,4.1,0.5,0.1,2.6,1,0
Cody Williams,F,64,23.8,8.5,3.4,7.2,47.5,0.4,1.8,22.0,1.2,1.7,70.6,2.9,1.9,0.8,0.4,1.0,2,0
Collin Gillespie,G,77,28.8,12.9,4.5,10.7,42.0,3.0,7.3,40.7,1.0,1.1,87.1,4.1,4.8,1.2,0.2,1.6,3,0
Collin Murray-Boyles,F,54,22.0,8.5,3.5,6.1,57.3,0.3,0.9,34.0,1.2,1.9,64.1,4.9,1.9,0.9,0.9,1.1,4,0
Collin Sexton,G,64,23.3,15.3,5.2,10.6,48.7,1.7,4.2,41.0,3.3,3.8,85.9,2.2,3.3,1.0,0.2,2.1,1,0
Cooper Flagg,F,65,33.8,20.8,7.9,16.8,47.2,1.0,3.5,29.3,3.9,4.8,81.6,6.6,4.5,1.2,0.9,2.4,12,0
Corey Kispert,F,55,18.8,9.1,3.2,6.9,46.4,1.5,4.1,35.7,1.3,1.6,82.0,2.3,1.6,0.3,0.2,0.8,0,0
Craig Porter Jr.,G,61,17.7,4.3,1.8,4.0,44.0,0.5,1.5,34.8,0.3,0.6,55.6,3.3,3.1,0.9,0.6,0.9,0,0
Dalen Terry,F,47,11.6,3.7,1.4,3.3,43.5,0.5,1.4,36.4,0.3,0.6,55.2,1.8,1.4,0.6,0.3,0.6,0,0
Dalton Knecht,F,50,10.3,4.0,1.6,3.5,44.6,0.6,2.0,30.4,0.3,0.4,70.0,1.4,0.3,0.2,0.2,0.4,0,0
Daniel Gafford,F,54,21.8,9.6,3.8,5.8,65.7,0.0,0.0,0.0,2.0,2.9,68.2,6.9,1.1,0.7,1.2,1.2,10,0
Daniss Jenkins,G,68,20.1,9.4,3.3,7.9,41.5,1.0,2.7,38.4,1.8,2.2,81.8,2.3,3.8,0.9,0.2,1.5,3,0
Danny Wolf,F,57,20.8,8.9,3.1,7.7,40.5,1.2,3.7,32.2,1.5,1.9,77.1,4.9,2.2,0.5,0.6,1.3,2,0
Davion Mitchell,G,67,28.6,9.2,3.7,7.6,48.3,1.3,3.3,39.5,0.6,0.9,67.2,2.7,6.5,1.0,0.2,1.5,4,0
Day'Ron Sharpe,C,62,18.7,8.7,3.5,5.7,60.1,0.1,0.6,23.1,1.7,2.5,67.8,6.7,2.3,1.1,0.4,1.7,5,0
De'Aaron Fox,G,68,31.0,18.5,7.0,14.4,48.8,1.8,5.4,33.1,2.6,3.5,76.2,3.8,6.2,1.2,0.3,2.3,7,0
Dean Wade,F,57,22.4,5.8,2.1,4.8,43.2,1.2,3.4,35.4,0.5,0.7,71.1,4.2,1.5,0.8,0.4,0.3,1,0
Deandre Ayton,C,67,27.3,12.4,5.6,8.3,67.4,0.0,0.0,0.0,1.2,1.9,63.0,8.2,0.8,0.6,0.9,1.2,21,0
DeMar DeRozan,G,77,31.2,18.4,6.5,13.1,49.7,0.6,1.9,32.0,4.9,5.6,86.8,2.9,4.1,1.0,0.3,1.2,2,0
Deni Avdija,F,62,33.1,23.9,7.3,16.0,45.8,1.9,6.0,31.7,7.4,9.3,79.9,7.0,6.7,0.8,0.6,3.8,18,3
Dennis Schroder,G,67,24.4,10.8,3.6,9.0,40.2,1.1,3.3,32.7,2.4,2.9,83.2,2.7,4.8,0.8,0.2,1.8,2,0
Derik Queen,C,78,24.4,11.2,4.2,8.9,47.1,0.3,1.1,26.2,2.5,3.2,79.2,6.8,3.6,1.0,0.9,2.3,11,2
Derrick White,G,74,34.3,16.7,5.8,14.6,39.5,2.7,8.4,32.6,2.4,2.7,90.0,4.5,5.5,1.1,1.3,1.8,1,0
Desmond Bane,G,78,34.1,20.4,7.2,14.9,48.4,2.1,5.3,39.1,3.9,4.3,91.4,4.2,4.2,1.0,0.4,2.0,1,0
Devin Booker,G,62,33.4,25.8,8.5,18.6,45.5,1.9,5.8,33.0,6.9,8.0,86.9,3.9,6.0,0.8,0.3,3.1,6,0
Devin Vassell,G,63,30.5,14.0,5.0,11.3,43.8,2.5,6.5,38.9,1.6,2.0,81.6,4.0,2.5,0.8,0.4,0.9,1,0
Dillon Brooks,F,53,30.5,20.4,7.5,17.2,43.7,2.3,6.7,34.6,3.1,3.6,85.8,3.6,1.8,1.0,0.2,1.8,0,0
Dominick Barlow,F,67,24.0,7.9,3.1,5.7,54.4,0.3,1.2,25.9,1.3,1.9,71.2,4.7,1.3,0.8,0.7,0.8,2,0
Donovan Clingan,C,73,27.2,12.0,4.6,8.8,52.0,1.0,3.1,32.7,1.8,2.7,67.3,11.6,2.1,0.6,1.7,1.3,33,0
Donovan Mitchell,G,69,33.4,27.8,9.7,20.1,48.1,3.2,8.9,36.4,5.3,6.1,86.3,4.5,5.7,1.5,0.3,2.8,5,0
Donte DiVincenzo,G,78,30.8,12.3,4.2,10.2,40.6,3.0,7.9,37.9,1.0,1.3,75.8,4.2,3.9,1.3,0.4,1.5,1,0
Drake Powell,G,60,20.6,6.5,2.3,5.4,41.8,0.8,2.8,29.8,1.1,1.2,91.5,1.7,1.5,0.6,0.2,0.9,0,0
Draymond Green,F,65,27.6,8.6,3.1,7.4,41.9,1.5,4.7,32.9,0.8,1.2,69.2,5.5,5.5,0.9,0.6,2.6,2,0
Dru Smith,G,70,16.3,5.6,1.9,4.6,41.5,0.5,1.8,29.5,1.2,1.5,82.9,2.5,2.6,1.4,0.3,0.8,0,0
Duncan Robinson,F,74,27.6,12.0,4.1,9.0,44.8,2.9,7.0,40.8,1.1,1.4,76.0,2.7,2.1,0.6,0.3,0.7,0,0
Dwight Powell,F,58,14.0,3.3,1.0,1.5,66.7,0.0,0.1,33.3,1.3,1.9,68.5,3.8,0.9,0.5,0.3,0.6,3,0
Dylan Harper,G,65,22.4,11.7,4.8,9.4,50.6,0.9,2.6,33.3,1.3,1.7,74.3,3.4,3.9,0.8,0.3,1.4,0,0
Dyson Daniels,G,73,33.1,11.8,5.3,10.2,51.9,0.3,1.5,18.2,1.0,1.6,62.3,6.7,5.9,2.0,0.4,1.8,13,1
Egor Demin,G,52,25.2,10.3,3.4,8.6,39.9,2.4,6.2,38.5,1.0,1.3,83.1,3.2,3.3,0.8,0.3,1.7,1,0
Evan Mobley,C,62,32.1,18.1,7.2,13.2,54.4,1.0,3.3,29.9,2.7,4.5,60.6,9.0,3.6,0.8,1.8,1.8,26,0
Gabe Vincent,G,50,16.8,4.4,1.4,4.2,34.5,1.1,3.3,33.1,0.4,0.4,95.0,1.0,1.4,0.5,0.1,0.5,0,0
Gary Payton II,G,69,15.6,7.4,3.3,5.7,57.3,0.5,1.8,29.6,0.3,0.5,61.1,3.7,1.7,0.9,0.3,0.9,2,0
Gary Trent Jr.,G,64,21.2,8.2,2.8,7.2,39.0,1.9,5.2,36.8,0.6,0.8,76.5,1.0,1.2,0.5,0.0,0.6,0,0
GG Jackson,F,54,21.5,12.5,4.7,9.4,49.9,1.2,3.5,33.2,2.0,2.7,73.5,4.3,1.4,0.6,0.8,1.6,1,0
Goga Bitadze,C,60,14.9,5.5,2.2,3.3,67.3,0.0,0.2,18.2,1.0,1.5,70.5,4.7,1.3,0.6,0.9,0.7,1,0
Gradey Dick,G,72,14.5,6.1,2.2,5.2,41.7,0.8,2.6,29.7,1.0,1.2,87.1,2.0,0.7,0.6,0.1,0.6,1,0
Grayson Allen,G,49,29.2,16.8,5.4,13.4,40.5,3.2,9.1,35.3,2.8,3.2,84.9,3.0,3.9,1.4,0.2,1.6,0,0
Guerschon Yabusele,F,65,14.8,5.5,1.8,4.6,40.1,1.0,2.9,35.6,0.8,1.1,74.3,3.4,0.9,0.4,0.2,0.6,4,0
Gui Santos,F,66,20.5,9.3,3.4,6.7,50.5,1.2,3.3,35.2,1.3,1.8,72.9,3.9,2.3,0.9,0.3,1.5,3,0
Harrison Barnes,F,73,25.9,10.0,3.4,7.5,45.3,1.8,4.7,39.1,1.3,1.6,82.8,2.8,2.0,0.7,0.2,0.8,0,0
Herbert Jones,F,56,28.4,8.9,3.3,8.5,38.3,1.4,4.6,30.9,0.9,1.1,80.6,3.4,2.8,1.6,0.5,1.3,0,0
Hugo Gonzalez,G,73,14.5,3.8,1.5,3.3,47.3,0.5,1.5,35.7,0.2,0.4,50.0,3.3,0.5,0.5,0.3,0.5,2,0
Immanuel Quickley,G,67,32.4,16.9,5.9,13.2,44.5,2.6,6.9,37.4,2.5,3.1,82.1,4.1,6.0,1.3,0.1,1.5,8,0
Isaac Okoro,F,62,27.1,9.2,3.3,7.3,45.8,1.2,3.5,33.0,1.4,1.8,79.1,2.7,1.6,0.7,0.5,0.7,0,0
Isaiah Collier,G,59,25.7,11.7,4.3,8.7,49.5,0.5,1.7,27.0,2.6,3.5,72.2,2.5,7.2,1.1,0.3,2.5,10,0
Isaiah Jackson,F,55,16.5,6.7,2.7,4.3,63.7,0.0,0.1,0.0,1.2,1.9,64.8,5.3,0.9,0.7,0.9,1.1,7,0
Isaiah Joe,G,69,21.2,10.8,3.4,7.6,44.8,2.5,6.0,41.5,1.5,1.7,89.0,2.6,1.3,0.7,0.2,0.6,0,0
Isaiah Stewart,F,55,23.1,10.0,3.8,7.0,54.1,0.7,2.1,33.3,1.7,2.3,76.0,5.1,1.2,0.3,1.6,1.1,2,0
Ivica Zubac,C,48,30.1,14.1,6.0,10.0,59.8,0.0,0.0,0.0,2.1,3.0,71.1,10.6,2.2,0.4,0.8,1.8,24,0
Ja'Kobe Walter,G,68,20.1,7.3,2.5,5.5,44.3,1.4,3.6,40.2,1.0,1.2,79.8,2.5,1.2,1.0,0.2,0.5,0,0
Jabari Smith Jr.,F,74,35.0,15.7,5.7,12.6,45.2,2.3,6.2,36.6,2.0,2.6,77.8,6.9,1.9,0.8,0.9,1.4,14,0
Jabari Walker,F,62,12.1,4.3,1.5,3.4,44.8,0.5,1.5,33.0,0.8,1.0,75.0,3.0,0.5,0.4,0.2,0.4,2,0
Jaden Hardy,G,56,15.8,9.2,3.2,7.6,42.6,1.8,4.6,39.5,1.0,1.3,75.3,1.5,1.0,0.3,0.1,1.1,0,0
Jaden McDaniels,F,71,31.9,14.8,5.6,10.9,51.8,1.4,3.4,42.1,2.1,2.5,83.9,4.2,2.7,1.1,1.0,1.8,0,0
Jaime Jaquez Jr.,F,71,28.3,15.2,6.1,12.2,50.1,0.7,2.4,30.5,2.3,3.0,77.1,5.1,4.7,0.7,0.3,2.0,6,0
Jake LaRavia,F,77,24.9,8.3,3.0,6.4,46.2,0.9,3.0,32.0,1.4,1.8,76.8,3.9,1.8,1.2,0.5,1.0,1,0
Jalen Brunson,G,71,35.0,26.0,9.2,19.9,46.5,2.6,7.2,37.0,4.8,5.7,84.3,3.4,6.7,0.7,0.1,2.4,10,0
Jalen Duren,C,67,28.3,19.5,7.4,11.6,64.5,0.0,0.0,0.0,4.6,6.1,74.8,10.6,1.9,0.8,0.9,1.8,41,0
Jalen Johnson,F,69,35.2,22.8,8.4,17.1,49.3,1.7,4.8,35.1,4.2,5.4,78.4,10.3,8.0,1.3,0.4,3.4,47,13
Jalen Pickett,G,47,15.8,4.9,1.9,4.4,42.4,0.9,2.4,38.6,0.3,0.3,86.7,2.3,2.2,0.3,0.1,0.6,0,0
Jalen Smith,F,53,20.7,10.2,3.7,7.6,48.3,1.5,4.2,37.3,1.3,1.8,74.2,6.7,1.2,0.5,0.8,1.0,9,0
Jalen Suggs,G,53,27.5,13.7,4.9,11.4,43.2,2.0,6.2,32.3,1.8,2.2,85.2,3.9,5.5,1.9,0.7,2.7,3,1
Jalen Wilson,F,50,14.8,6.1,1.9,4.8,39.7,1.0,2.8,35.9,1.2,1.6,74.1,1.9,0.7,0.4,0.0,0.6,0,0
Jamal Murray,G,73,35.3,25.5,8.8,18.2,48.3,3.2,7.5,43.4,4.6,5.2,88.5,4.4,7.2,0.9,0.4,2.3,18,0
Jamal Shead,G,78,22.6,6.7,2.3,6.2,36.6,1.0,3.2,31.9,1.2,1.5,78.4,1.8,5.4,1.0,0.2,1.3,2,0
James Harden,G,68,35.0,23.7,7.0,16.0,43.7,3.1,8.2,37.5,6.6,7.5,88.1,4.9,8.1,1.1,0.4,3.5,20,2
Jamison Battle,F,57,8.8,3.2,1.2,2.4,50.7,0.6,1.5,42.2,0.1,0.2,66.7,1.5,0.4,0.1,0.1,0.3,0,0
Jarace Walker,F,73,25.6,11.5,4.0,9.5,42.1,1.7,4.6,37.6,1.8,2.4,75.3,5.1,2.4,0.8,0.3,1.8,3,0
Jared McCain,G,63,17.3,8.2,3.0,7.1,42.0,1.5,3.8,38.7,0.8,0.9,87.3,2.1,1.3,0.5,0.1,0.8,0,0
Jaren Jackson Jr.,F,48,30.3,19.4,7.1,15.0,47.6,1.8,4.9,35.7,3.4,4.2,80.3,5.7,2.0,1.1,1.4,2.2,3,0
Jarred Vanderbilt,F,60,17.5,4.5,1.7,3.7,46.6,0.5,1.5,29.7,0.6,0.9,62.3,4.5,1.2,0.9,0.3,0.8,1,0
Jarrett Allen,C,54,27.1,15.4,6.1,9.5,64.1,0.0,0.2,10.0,3.2,4.5,71.0,8.5,1.8,1.0,0.8,1.3,20,0
Jase Richardson,G,51,11.2,4.5,1.6,3.5,46.4,0.5,1.5,35.9,0.6,0.9,72.7,1.2,1.1,0.3,0.0,0.5,0,0
Javonte Green,G,78,17.6,6.8,2.2,5.0,44.3,1.1,3.0,37.3,1.2,1.5,83.6,2.7,0.7,1.2,0.3,0.6,1,0
Jaxson Hayes,C,65,18.1,7.3,2.9,3.9,75.4,0.0,0.0,100.0,1.4,2.2,64.1,4.1,0.9,0.4,0.8,0.4,1,0
Jay Huff,C,78,20.8,9.4,3.5,7.4,47.2,1.4,4.6,31.7,1.0,1.2,81.9,3.8,1.4,0.5,1.8,0.9,1,0
Jaylen Brown,G,69,34.4,28.7,10.4,21.8,47.6,2.0,5.7,34.5,6.0,7.6,79.5,7.0,5.2,1.0,0.4,3.6,14,3
Jaylen Clark,G,64,12.4,3.9,1.4,3.2,43.8,0.5,1.4,33.3,0.7,1.0,65.7,1.8,0.6,0.6,0.1,0.3,0,0
Jaylen Wells,F,69,26.4,12.5,4.4,10.1,43.1,1.9,5.3,35.3,1.9,2.5,78.4,3.2,1.6,0.9,0.1,1.1,0,0
Jaylin Williams,F,63,19.8,7.4,2.3,5.5,42.2,1.5,4.0,38.3,1.2,1.5,79.3,5.5,2.4,0.5,0.7,1.1,6,0
Jaylon Tyson,G,64,27.0,13.1,5.0,10.0,49.6,2.0,4.5,45.5,1.2,1.6,74.3,5.1,2.2,0.8,0.4,1.5,7,0
Jerami Grant,F,57,29.7,18.6,5.8,12.8,45.3,2.4,6.1,38.9,4.6,5.6,81.4,3.5,2.1,0.7,0.6,2.1,0,0
Jeremiah Fears,G,79,25.2,13.4,5.0,11.6,42.9,1.2,3.6,34.2,2.2,2.7,78.7,3.6,3.3,1.1,0.4,2.2,2,0
Jericho Sims,C,63,18.7,4.5,2.0,2.5,79.6,0.0,0.0,0.0,0.6,0.9,61.4,5.3,1.3,0.2,0.2,1.1,4,0
Jett Howard,G,55,12.6,5.5,1.9,4.6,41.8,1.0,2.6,37.2,0.7,0.7,94.9,1.6,0.8,0.2,0.2,0.3,0,0
Jevon Carter,G,49,16.3,6.5,2.3,6.0,39.4,1.5,4.2,35.4,0.3,0.4,78.9,1.7,1.6,0.7,0.2,0.7,0,0
Jock Landale,C,68,22.1,10.6,4.1,8.1,51.5,1.1,2.8,38.3,1.2,1.9,63.5,5.7,1.7,0.5,0.5,0.9,9,0
John Collins,F,65,27.4,13.7,5.3,9.6,55.6,1.3,3.2,41.8,1.8,2.2,78.6,5.2,1.0,0.9,0.7,1.3,3,0
John Konchar,G,53,19.1,4.2,1.6,3.4,46.9,0.5,1.7,27.5,0.5,0.8,70.0,4.0,1.8,1.4,0.6,0.6,1,0
Jonas Valanciunas,C,61,13.1,8.2,3.2,5.7,57.1,0.1,0.3,30.0,1.6,2.1,77.2,4.8,1.1,0.2,0.5,1.1,3,0
Jonathan Isaac,F,52,10.0,2.6,0.9,2.1,42.2,0.1,0.7,18.4,0.7,1.1,60.3,2.5,0.4,0.4,0.6,0.3,0,0
Jordan Clarkson,G,68,18.0,8.8,3.3,7.4,45.0,1.0,3.1,33.3,1.1,1.3,82.4,1.8,1.3,0.4,0.1,0.9,0,0
Jordan Goodwin,G,68,22.6,8.7,3.3,8.0,41.0,1.6,4.3,36.3,0.6,0.8,69.6,4.9,2.2,1.5,0.2,1.0,2,0
Jordan Hawkins,G,48,12.8,4.2,1.5,4.3,34.1,0.9,2.5,33.6,0.4,0.4,81.0,1.5,0.7,0.2,0.2,0.6,0,0
Jordan Miller,G,56,21.7,9.8,3.5,6.6,52.7,0.6,1.8,34.0,2.2,2.9,76.4,3.0,2.2,0.8,0.2,1.1,1,0
Jordan Walsh,G,64,17.5,5.2,2.0,3.8,51.2,0.7,1.8,38.4,0.6,0.8,75.5,4.0,0.8,0.7,0.5,0.5,2,0
Jose Alvarado,G,67,19.7,7.2,2.6,6.4,41.5,1.4,4.1,34.9,0.5,0.6,80.0,2.4,3.4,1.0,0.1,1.1,1,0
Josh Giddey,G,54,32.1,17.0,5.9,13.3,44.8,1.9,5.2,36.4,3.2,4.2,76.3,8.3,9.1,1.0,0.5,3.6,28,13
Josh Green,G,55,16.0,4.4,1.5,3.2,45.8,1.0,2.4,41.8,0.5,0.5,89.3,1.8,0.9,0.6,0.1,0.6,0,0
Josh Hart,G,63,30.1,12.1,4.6,9.1,50.7,1.5,3.7,40.9,1.4,1.9,72.3,7.6,4.9,1.1,0.3,1.9,13,2
Josh Minott,F,49,17.0,7.4,2.6,5.1,50.0,1.3,3.1,41.8,1.0,1.2,78.7,3.2,0.9,0.9,0.5,0.9,1,0
Josh Okogie,G,74,17.2,4.6,1.6,3.7,43.8,0.8,2.0,39.7,0.5,0.9,58.5,2.4,0.8,0.8,0.2,0.5,1,0
Jrue Holiday,G,49,29.1,16.3,6.1,13.2,45.8,2.6,6.8,38.9,1.6,1.9,83.0,4.5,6.1,1.1,0.1,2.8,7,0
Julian Champagnie,F,78,27.7,11.3,3.7,8.5,43.7,2.5,6.4,38.6,1.4,1.7,84.1,5.8,1.5,0.8,0.4,0.9,7,0
Julian Strawther,G,53,14.3,6.5,2.3,5.1,45.6,0.9,2.5,36.2,0.9,1.2,80.6,1.9,1.0,0.4,0.1,0.6,0,0
Julius Randle,F,78,33.1,21.1,7.4,15.3,48.2,1.4,4.3,31.3,5.0,6.3,80.0,6.8,5.1,1.1,0.2,2.8,15,3
Justin Champagnie,F,66,19.7,8.6,3.3,6.5,51.4,0.7,2.2,32.7,1.2,1.5,78.4,5.5,1.2,0.8,0.6,0.6,4,0
Justin Edwards,F,60,15.3,6.0,2.2,4.9,44.9,1.0,2.8,36.7,0.6,0.7,84.6,1.5,1.3,0.8,0.2,0.6,0,0
Karl-Anthony Towns,C,72,31.0,20.1,6.9,13.8,49.6,1.5,4.1,36.8,4.8,5.7,85.5,11.9,2.9,0.8,0.5,2.5,53,1
Karlo Matkovic,F,62,14.7,5.7,2.3,3.8,60.4,0.6,1.5,42.2,0.5,0.7,73.2,3.7,0.8,0.4,0.9,0.5,1,0
Kasparas Jakucionis,G,49,17.8,6.2,1.9,4.6,42.4,1.2,3.0,41.8,1.1,1.2,88.3,2.6,2.6,0.6,0.1,1.0,0,0
