Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
22,2014,2014-2015,North Division,4,Adirondack Flames,76,35,33,6,2,78,0.513,30,34,233,240,-7,3-7-0-0,0-2-0-0,1396,0
23,2014,2014-2015,East Division,3,Binghamton Senators,76,34,34,7,1,76,0.5,24,33,242,258,-16,6-4-0-0,1-0-0-0,1620,0
24,2014,2014-2015,Atlantic Division,5,St. John's IceCaps,76,32,33,9,2,75,0.493,18,27,183,235,-52,3-5-2-0,2-0-1-0,1215,0
25,2014,2014-2015,East Division,4,Lehigh Valley Phantoms,76,33,35,7,1,74,0.487,19,26,194,237,-43,3-6-1-0,0-3-0-0,1834,0
26,2014,2014-2015,West Division,4,Charlotte Checkers,76,31,38,6,1,69,0.454,24,26,172,231,-59,4-5-1-0,1-0-0-0,1314,0
27,2014,2014-2015,North Division,5,Rochester Americans,76,29,41,5,1,64,0.421,23,27,209,251,-42,2-8-0-0,1-0-0-0,1189,0
28,2014,2014-2015,East Division,5,Norfolk Admirals,76,27,39,6,4,64,0.421,20,27,168,219,-51,4-4-1-1,0-1-0-0,1452,0
29,2014,2014-2015,Northeast Division,5,Bridgeport Sound Tigers,76,28,40,7,1,64,0.421,21,25,213,246,-33,3-6-1-0,0-1-0-0,1726,0
30,2014,2014-2015,West Division,5,Iowa Wild,76,23,49,2,2,50,0.329,18,22,172,245,-73,2-8-0-0,0-4-0-0,1028,0
1,2013,2013-2014,West Division,1,Texas Stars,76,48,18,3,7,106,0.697,40,46,274,197,77,8-1-0-1,0-1-0-0,923,0
2,2013,2013-2014,Atlantic Division,1,Manchester Monarchs,76,48,19,3,6,105,0.691,40,43,244,188,56,7-2-1-0,5-0-1-0,1005,0
3,2013,2013-2014,Northeast Division,1,Springfield Falcons,76,47,23,1,5,100,0.658,34,37,247,212,35,7-3-0-0,0-2-0-0,1255,0
4,2013,2013-2014,Midwest Division,1,Chicago Wolves,76,45,21,5,5,100,0.658,34,37,239,191,48,6-2-0-2,4-0-0-0,1026,0
5,2013,2013-2014,Atlantic Division,2,St. John's IceCaps,76,46,23,2,5,99,0.651,40,42,258,207,51,5-2-1-2,3-0-0-0,1318,0
6,2013,2013-2014,Midwest Division,2,Grand Rapids Griffins,76,46,23,2,5,99,0.651,39,41,238,187,51,5-4-0-1,0-1-0-1,945,0
7,2013,2013-2014,North Division,1,Toronto Marlies,76,45,25,2,4,96,0.632,34,40,223,202,21,5-5-0-0,1-0-0-0,1644,0
8,2013,2013-2014,East Division,1,Binghamton Senators,76,44,24,3,5,96,0.632,32,41,276,232,44,4-3-2-1,2-0-2-0,1481,0
9,2013,2013-2014,West Division,2,Abbotsford Heat,76,43,25,5,3,94,0.618,32,38,237,215,22,8-1-0-1,6-0-0-1,966,0
10,2013,2013-2014,Northeast Division,2,Albany Devils,76,40,23,5,8,93,0.612,33,33,220,193,27,6-2-1-1,5-0-0-0,1045,0
11,2013,2013-2014,East Division,2,Wilkes-Barre/Scranton Penguins,76,42,26,3,5,92,0.605,34,38,206,185,21,6-4-0-0,0-3-0-0,1532,0
12,2013,2013-2014,Midwest Division,3,Milwaukee Admirals,76,39,24,6,7,91,0.599,30,34,215,199,16,7-3-0-0,0-1-0-0,1211,0
13,2013,2013-2014,Atlantic Division,3,Providence Bruins,76,40,25,2,9,91,0.599,25,29,233,210,23,6-2-0-2,0-1-0-0,1103,0
14,2013,2013-2014,East Division,3,Norfolk Admirals,76,40,26,3,7,90,0.592,28,30,201,192,9,6-3-1-0,0-1-0-0,1394,0
15,2013,2013-2014,East Division,4,Hershey Bears,76,39,27,5,5,88,0.579,28,32,221,213,8,6-2-1-1,1-0-0-0,1330,0
16,2013,2013-2014,North Division,2,Rochester Americans,76,37,28,6,5,85,0.559,32,34,216,217,-1,7-2-0-1,0-1-0-0,1165,0
17,2013,2013-2014,West Division,3,Oklahoma City Barons,76,36,29,2,9,83,0.546,26,32,239,256,-17,6-2-0-2,2-0-0-0,1241,0
18,2013,2013-2014,Northeast Division,3,Hartford Wolf Pack,76,37,32,1,6,81,0.533,30,31,202,220,-18,9-1-0-0,2-0-0-0,1493,0
19,2013,2013-2014,Midwest Division,4,Rockford IceHogs,76,35,32,5,4,79,0.52,28,31,234,262,-28,3-7-0-0,1-0-0-0,1159,0
20,2013,2013-2014,North Division,3,Utica Comets,76,35,32,5,4,79,0.52,23,28,187,216,-29,6-3-1-0,2-0-0-0,1092,0
21,2013,2013-2014,Atlantic Division,4,Worcester Sharks,76,36,34,4,2,78,0.513,25,26,189,226,-37,4-4-1-1,1-0-0-0,1278,0
22,2013,2013-2014,West Division,4,Charlotte Checkers,76,37,36,1,2,77,0.507,30,33,228,241,-13,4-6-0-0,0-3-0-0,1118,0
23,2013,2013-2014,East Division,5,Syracuse Crunch,76,31,32,4,9,75,0.493,25,28,198,232,-34,4-3-0-3,1-0-0-0,1751,0
24,2013,2013-2014,North Division,4,Lake Erie Monsters,76,32,33,1,10,75,0.493,22,24,197,232,-35,4-4-1-1,2-0-0-0,1622,0
25,2013,2013-2014,North Division,5,Hamilton Bulldogs,76,33,35,1,7,74,0.487,23,28,182,224,-42,4-3-0-3,0-1-0-0,1350,0
26,2013,2013-2014,West Division,5,San Antonio Rampage,76,30,37,3,6,69,0.454,17,18,206,235,-29,3-7-0-0,0-2-0-0,1082,0
27,2013,2013-2014,Northeast Division,4,Adirondack Phantoms,76,30,38,2,6,68,0.447,23,26,182,225,-43,5-2-1-2,0-1-1-0,1822,0
28,2013,2013-2014,Midwest Division,5,Iowa Wild,76,27,36,7,6,67,0.441,17,19,169,235,-66,1-6-1-2,0-3-1-2,1221,0
29,2013,2013-2014,Northeast Division,5,Bridgeport Sound Tigers,76,28,40,2,6,64,0.421,23,24,183,238,-55,1-8-0-1,0-1-0-0,1832,0
30,2013,2013-2014,Atlantic Division,5,Portland Pirates,76,24,39,3,10,61,0.401,18,19,222,284,-62,0-7-1-2,0-7-1-2,1568,0
1,2012,2012-2013,Atlantic Division,1,Providence Bruins,76,50,21,0,5,105,0.691,39,40,222,183,39,9-1-0-0,9-0-0-0,1246,0
2,2012,2012-2013,Northeast Division,1,Springfield Falcons,76,45,22,5,4,99,0.651,40,40,235,186,49,6-4-0-0,1-0-0-0,1248,0
3,2012,2012-2013,East Division,1,Syracuse Crunch,76,43,22,6,5,97,0.638,36,39,247,201,46,4-3-3-0,0-1-0-0,1612,0
4,2012,2012-2013,South Division,1,Texas Stars,76,43,22,5,6,97,0.638,33,37,235,201,34,5-5-0-0,0-2-0-0,923,0
5,2012,2012-2013,East Division,2,Binghamton Senators,76,44,24,1,7,96,0.632,38,40,227,188,39,5-3-0-2,2-0-0-0,1409,0
6,2012,2012-2013,North Division,1,Toronto Marlies,76,43,23,3,7,96,0.632,33,39,237,199,38,6-2-1-1,3-0-0-1,1194,0
7,2012,2012-2013,Midwest Division,1,Grand Rapids Griffins,76,42,26,4,4,92,0.605,32,37,234,205,29,4-4-1-1,1-0-0-0,1219,0
8,2012,2012-2013,South Division,2,Charlotte Checkers,76,42,26,4,4,92,0.605,32,39,226,202,24,4-3-2-1,1-0-0-0,914,0
9,2012,2012-2013,South Division,3,Oklahoma City Barons,76,40,25,2,9,91,0.599,34,36,240,228,12,7-2-0-1,3-0-0-0,1091,0
10,2012,2012-2013,North Division,2,Rochester Americans,76,43,29,3,1,90,0.592,31,33,234,209,25,7-3-0-0,2-0-0-0,1093,0
11,2012,2012-2013,South Division,4,Houston Aeros,76,40,26,5,5,90,0.592,30,35,212,199,13,7-3-0-0,0-1-0-0,1005,0
12,2012,2012-2013,Midwest Division,2,Milwaukee Admirals,76,41,28,4,3,89,0.586,33,38,197,200,-3,7-3-0-0,4-0-0-0,1013,0
13,2012,2012-2013,East Division,3,Wilkes-Barre/Scranton Penguins,76,42,30,2,2,88,0.579,28,35,185,178,7,7-2-0-1,0-2-0-0,1590,0
14,2012,2012-2013,Midwest Division,3,Rockford IceHogs,76,42,31,2,1,87,0.572,35,37,246,225,21,8-2-0-0,4-0-0-0,1716,0
15,2012,2012-2013,Atlantic Division,2,Portland Pirates,76,41,30,3,2,87,0.572,31,36,230,233,-3,5-5-0-0,0-1-0-0,1567,0
16,2012,2012-2013,Midwest Division,4,Chicago Wolves,76,37,30,5,4,83,0.546,29,31,204,207,-3,4-6-0-0,0-2-0-0,1090,0
17,2012,2012-2013,Atlantic Division,3,Manchester Monarchs,76,37,32,3,4,81,0.533,31,35,219,209,10,6-4-0-0,0-1-0-0,1022,0
18,2012,2012-2013,East Division,4,Hershey Bears,76,36,31,3,6,81,0.533,29,32,204,196,8,5-5-0-0,1-0-0-0,1062,0
19,2012,2012-2013,North Division,3,Lake Erie Monsters,76,35,31,3,7,80,0.526,24,29,211,220,-9,7-3-0-0,1-0-0-0,1400,0
20,2012,2012-2013,Northeast Division,2,Connecticut Whale,76,35,32,6,3,79,0.52,30,33,213,222,-9,3-6-1-0,0-5-1-0,1314,0
21,2012,2012-2013,East Division,5,Norfolk Admirals,76,37,34,4,1,79,0.52,24,30,188,207,-19,5-5-0-0,0-4-0-0,1483,0
22,2012,2012-2013,North Division,4,Abbotsford Heat,76,34,32,4,6,78,0.513,25,27,171,198,-27,5-4-1-0,0-2-0-0,1070,0
23,2012,2012-2013,Northeast Division,3,Bridgeport Sound Tigers,76,32,32,7,5,76,0.5,25,30,218,242,-24,5-4-1-0,1-0-0-0,1694,0
24,2012,2012-2013,Northeast Division,4,Albany Devils,76,31,32,1,12,75,0.493,28,28,193,225,-32,3-6-0-1,0-1-0-0,1163,0
25,2012,2012-2013,Midwest Division,5,Peoria Rivermen,76,33,35,5,3,74,0.487,23,27,183,218,-35,3-6-1-0,0-3-1-0,1014,0
26,2012,2012-2013,Atlantic Division,4,Worcester Sharks,76,31,34,4,7,73,0.48,23,25,191,228,-37,2-5-2-1,1-0-0-1,1533,0
27,2012,2012-2013,Atlantic Division,5,St. John's IceCaps,76,32,36,3,5,72,0.474,25,30,195,237,-42,4-3-2-1,1-0-0-1,1241,0
28,2012,2012-2013,Northeast Division,5,Adirondack Phantoms,76,31,38,3,4,69,0.454,23,26,187,223,-36,4-4-1-1,1-0-0-0,1472,0
29,2012,2012-2013,South Division,5,San Antonio Rampage,76,29,38,2,7,67,0.441,23,26,195,241,-46,0-8-1-1,0-9-1-1,1163,0
30,2012,2012-2013,North Division,5,Hamilton Bulldogs,76,29,41,1,5,64,0.421,26,26,159,228,-69,3-7-0-0,0-2-0-0,1447,0
1,2011,2011-2012,East Division,1,Norfolk Admirals,76,55,18,1,2,113,0.743,49,52,273,180,93,10-0-0-0,28-0-0-0,1437,0
2,2011,2011-2012,West Division,1,Oklahoma City Barons,76,45,22,4,5,99,0.651,38,40,213,176,37,5-5-0-0,0-1-0-0,1121,0
3,2011,2011-2012,North Division,1,Toronto Marlies,76,44,24,5,3,96,0.632,33,42,217,175,42,7-2-1-0,0-1-1-0,1134,0
4,2011,2011-2012,East Division,2,Wilkes-Barre/Scranton Penguins,76,44,25,2,5,95,0.625,33,37,235,215,20,6-4-0-0,0-1-0-0,1198,0
5,2011,2011-2012,Atlantic Division,1,St. John's IceCaps,76,43,25,5,3,94,0.618,37,39,240,216,24,4-6-0-0,0-2-0-0,1047,0
6,2011,2011-2012,West Division,2,Abbotsford Heat,76,42,26,3,5,92,0.605,30,36,200,201,-1,8-1-0-1,8-0-0-1,1251,0
7,2011,2011-2012,Midwest Division,1,Chicago Wolves,76,42,27,4,3,91,0.599,38,40,213,193,20,6-2-2-0,2-0-1-0,1065,0
8,2011,2011-2012,Northeast Division,1,Bridgeport Sound Tigers,76,41,26,3,6,91,0.599,31,37,233,219,14,8-2-0-0,1-0-0-0,1334,0
9,2011,2011-2012,East Division,3,Hershey Bears,76,38,26,4,8,88,0.579,30,31,244,225,19,2-6-0-2,0-6-0-2,1611,0
10,2011,2011-2012,Midwest Division,2,Milwaukee Admirals,76,40,29,2,5,87,0.572,31,36,210,190,20,6-2-0-2,2-0-0-1,1050,0
11,2011,2011-2012,West Division,3,San Antonio Rampage,76,41,30,3,2,87,0.572,31,36,197,204,-7,6-4-0-0,1-0-0-0,987,0
12,2011,2011-2012,West Division,4,Houston Aeros,76,35,25,5,11,86,0.566,29,30,202,206,-4,3-3-2-2,2-0-0-0,960,0
13,2011,2011-2012,North Division,2,Rochester Americans,76,36,26,10,4,86,0.566,26,30,224,221,3,4-3-3-0,4-0-2-0,1067,0
14,2011,2011-2012,Northeast Division,2,Connecticut Whale,76,36,26,7,7,86,0.566,25,29,210,208,2,3-3-2-2,0-1-0-2,1236,0
15,2011,2011-2012,Midwest Division,3,Charlotte Checkers,76,38,29,3,6,85,0.559,31,32,209,214,-5,5-5-0-0,0-1-0-0,1067,0
16,2011,2011-2012,North Division,3,Lake Erie Monsters,76,37,29,3,7,84,0.553,26,32,189,210,-21,5-3-0-2,0-1-0-0,1287,0
17,2011,2011-2012,East Division,4,Syracuse Crunch,76,37,29,5,5,84,0.553,25,29,238,234,4,6-2-1-1,2-0-0-0,1238,0
18,2011,2011-2012,Atlantic Division,2,Manchester Monarchs,76,39,32,2,3,83,0.546,28,33,207,208,-1,6-2-2-0,3-0-0-0,1325,0
19,2011,2011-2012,Midwest Division,4,Peoria Rivermen,76,39,33,2,2,82,0.539,31,34,217,207,10,3-6-0-1,0-3-0-0,1102,0
20,2011,2011-2012,Atlantic Division,3,Portland Pirates,76,36,31,4,5,81,0.533,29,31,223,254,-31,6-2-1-1,0-1-0-0,1296,0
21,2011,2011-2012,Midwest Division,5,Rockford IceHogs,76,35,32,2,7,79,0.52,25,28,207,228,-21,5-3-0-2,1-0-0-1,1391,0
22,2011,2011-2012,Northeast Division,3,Adirondack Phantoms,76,37,35,2,2,78,0.513,28,34,204,217,-13,5-4-0-1,0-1-0-0,1288,0
23,2011,2011-2012,Northeast Division,4,Springfield Falcons,76,36,34,3,3,78,0.513,28,31,217,231,-14,5-5-0-0,2-0-0-0,1256,0
24,2011,2011-2012,North Division,4,Grand Rapids Griffins,76,33,32,7,4,77,0.507,25,29,245,249,-4,3-6-1-0,0-3-0-0,1183,0
25,2011,2011-2012,Atlantic Division,4,Providence Bruins,76,35,34,3,4,77,0.507,25,28,193,214,-21,6-4-0-0,1-0-0-0,1097,0
26,2011,2011-2012,North Division,5,Hamilton Bulldogs,76,34,35,2,5,75,0.493,28,32,185,226,-41,5-5-0-0,2-0-0-0,1214,0
27,2011,2011-2012,Atlantic Division,5,Worcester Sharks,76,31,33,4,8,74,0.487,25,29,199,218,-19,3-6-0-1,1-0-0-0,1620,0
28,2011,2011-2012,Northeast Division,5,Albany Devils,76,31,34,6,5,73,0.48,27,29,190,226,-36,3-7-0-0,0-1-0-0,1252,0
29,2011,2011-2012,West Division,5,Texas Stars,76,31,40,3,2,67,0.441,21,28,224,251,-27,3-6-1-0,0-2-1-0,983,0
30,2011,2011-2012,East Division,5,Binghamton Senators,76,29,40,5,2,65,0.428,24,27,201,243,-42,3-5-2-0,1-0-1-0,1189,0
1,2010,2010-2011,East Division,1,Wilkes-Barre/Scranton Penguins,80,58,21,0,1,117,0.731,47,51,261,183,78,7-3-0-0,2-0-0-0,1433,0
2,2010,2010-2011,Atlantic Division,1,Portland Pirates,80,47,24,7,2,103,0.644,35,38,280,238,42,4-5-1-0,1-0-1-0,1294,0
3,2010,2010-2011,West Division,1,Milwaukee Admirals,80,44,22,6,8,102,0.638,33,36,226,194,32,6-3-1-0,2-0-0-0,1037,0
4,2010,2010-2011,East Division,2,Hershey Bears,80,46,26,3,5,100,0.625,41,43,255,214,41,4-4-2-0,0-2-0-0,1581,0
5,2010,2010-2011,Atlantic Division,2,Manchester Monarchs,80,44,26,4,6,98,0.613,40,43,255,209,46,3-5-2-0,0-1-0-0,1423,0
6,2010,2010-2011,West Division,2,Houston Aeros,80,46,28,1,5,98,0.613,31,36,240,212,28,7-3-0-0,2-0-0-0,1288,0
7,2010,2010-2011,East Division,3,Charlotte Checkers,80,44,27,2,7,97,0.606,35,39,265,243,22,6-3-0-1,2-0-0-0,1318,0
8,2010,2010-2011,North Division,1,Hamilton Bulldogs,80,44,27,2,7,97,0.606,34,38,226,193,33,8-1-0-1,3-0-0-0,1200,0
9,2010,2010-2011,North Division,2,Lake Erie Monsters,80,44,28,3,5,96,0.6,36,39,223,206,17,7-3-0-0,2-0-0-0,1202,0
10,2010,2010-2011,East Division,4,Norfolk Admirals,80,39,26,9,6,93,0.581,32,34,265,230,35,3-6-1-0,1-0-0-0,1600,0
11,2010,2010-2011,North Division,3,Manitoba Moose,80,43,30,1,6,93,0.581,32,34,220,210,10,5-4-0-1,0-2-0-0,1102,0
12,2010,2010-2011,East Division,5,Binghamton Senators,80,42,30,3,5,92,0.575,36,41,255,221,34,6-3-0-1,0-1-0-0,1225,0
13,2010,2010-2011,West Division,3,Peoria Rivermen,80,42,30,3,5,92,0.575,32,36,223,218,5,5-4-1-0,0-1-0-0,1607,0
14,2010,2010-2011,West Division,4,Texas Stars,80,41,29,4,6,92,0.575,29,35,213,210,3,5-5-0-0,0-2-0-0,1026,0
15,2010,2010-2011,West Division,5,Oklahoma City Barons,80,40,29,2,9,91,0.569,29,35,245,234,11,4-4-0-2,0-1-0-0,1351,0
16,2010,2010-2011,West Division,6,Chicago Wolves,80,39,30,5,6,89,0.556,30,33,260,262,-2,4-4-2-0,1-0-1-0,1402,0
17,2010,2010-2011,Atlantic Division,3,Connecticut Whale,80,40,32,2,6,88,0.55,28,35,221,223,-2,4-6-0-0,0-2-0-0,1749,0
18,2010,2010-2011,West Division,7,San Antonio Rampage,80,40,33,4,3,87,0.544,31,33,228,245,-17,3-5-1-1,1-0-0-0,1284,0
19,2010,2010-2011,North Division,4,Abbotsford Heat,80,38,32,4,6,86,0.538,25,27,186,212,-26,4-6-0-0,0-2-0-0,1294,0
20,2010,2010-2011,North Division,5,Toronto Marlies,80,37,32,1,10,85,0.531,31,31,228,219,9,3-6-0-1,2-0-0-0,1409,0
21,2010,2010-2011,West Division,8,Rockford IceHogs,80,38,33,4,5,85,0.531,28,34,216,245,-29,9-1-0-0,5-0-0-0,1508,0
22,2010,2010-2011,Atlantic Division,4,Worcester Sharks,80,36,31,4,9,85,0.531,28,31,210,245,-35,4-5-0-1,0-2-0-1,1226,0
23,2010,2010-2011,North Division,6,Grand Rapids Griffins,80,36,34,2,8,82,0.513,30,31,227,254,-27,2-8-0-0,0-3-0-0,1468,0
24,2010,2010-2011,Atlantic Division,5,Providence Bruins,80,38,36,3,3,82,0.513,28,31,209,252,-43,7-3-0-0,3-0-0-0,1437,0
25,2010,2010-2011,East Division,6,Syracuse Crunch,80,35,38,3,4,77,0.481,31,33,217,249,-32,8-2-0-0,3-0-0-0,1482,0
26,2010,2010-2011,Atlantic Division,6,Springfield Falcons,80,35,40,2,3,75,0.469,25,29,233,253,-20,5-5-0-0,1-0-0-0,1307,0
27,2010,2010-2011,East Division,7,Adirondack Phantoms,80,31,39,4,6,72,0.45,26,27,197,248,-51,6-4-0-0,0-1-0-0,1563,0
28,2010,2010-2011,North Division,7,Rochester Americans,80,31,39,5,5,72,0.45,25,26,218,266,-48,1-5-2-2,0-3-1-1,1360,0
29,2010,2010-2011,Atlantic Division,7,Bridgeport Sound Tigers,80,30,39,4,7,71,0.444,22,26,218,266,-48,7-3-0-0,2-0-0-0,1407,0
30,2010,2010-2011,East Division,8,Albany Devils,80,32,42,1,5,70,0.438,23,26,217,283,-66,2-7-0-1,0-3-0-1,1927,0
1,2009,2009-2010,East Division,1,Hershey Bears,80,60,17,0,3,123,0.769,54,56,342,198,144,7-3-0-0,0-1-0-0,1435,0
2,2009,2009-2010,North Division,1,Hamilton Bulldogs,80,52,17,3,8,115,0.719,41,46,271,182,89,6-2-0-2,1-0-0-1,1257,0
3,2009,2009-2010,West Division,1,Chicago Wolves,80,49,24,1,6,105,0.656,42,44,264,214,50,4-5-0-1,1-0-0-0,1112,0
4,2009,2009-2010,Atlantic Division,1,Worcester Sharks,80,49,25,3,3,104,0.65,43,46,275,239,36,5-4-1-0,0-1-0-0,1268,0
5,2009,2009-2010,Atlantic Division,2,Portland Pirates,80,45,24,7,4,101,0.631,36,38,244,214,30,7-2-1-0,1-0-0-0,1421,0
6,2009,2009-2010,West Division,2,Texas Stars,80,46,27,3,4,99,0.619,36,41,238,198,40,6-4-0-0,0-2-0-0,1113,0
7,2009,2009-2010,Atlantic Division,3,Manchester Monarchs,80,43,28,3,6,95,0.594,37,40,213,200,13,8-2-0-0,0-2-0-0,1182,0
8,2009,2009-2010,West Division,3,Rockford IceHogs,80,44,30,3,3,94,0.588,37,41,226,226,0,5-5-0-0,0-1-0-0,1395,0
9,2009,2009-2010,East Division,2,Albany River Rats,80,43,29,3,5,94,0.588,34,39,244,231,13,5-5-0-0,1-0-0-0,1515,0
10,2009,2009-2010,North Division,2,Rochester Americans,80,44,33,2,1,91,0.569,36,40,253,247,6,6-3-0-1,0-1-0-0,1352,0
11,2009,2009-2010,West Division,4,Milwaukee Admirals,80,41,30,2,7,91,0.569,33,38,237,220,17,4-4-1-1,0-1-0-0,1172,0
12,2009,2009-2010,North Division,3,Abbotsford Heat,80,39,29,5,7,90,0.563,31,32,217,231,-14,5-3-1-1,5-0-0-1,1796,0
13,2009,2009-2010,Atlantic Division,4,Lowell Devils,80,39,31,4,6,88,0.55,32,36,239,232,7,4-5-0-1,2-0-0-0,1423,0
14,2009,2009-2010,East Division,3,Wilkes-Barre/Scranton Penguins,80,41,34,2,3,87,0.544,34,37,239,229,10,5-5-0-0,1-0-0-0,1515,0
15,2009,2009-2010,North Division,4,Manitoba Moose,80,40,33,5,2,87,0.544,29,32,204,232,-28,6-3-0-1,3-0-0-0,1509,0
16,2009,2009-2010,Atlantic Division,5,Bridgeport Sound Tigers,80,38,32,4,6,86,0.538,22,31,201,220,-19,5-5-0-0,0-1-0-0,1711,0
17,2009,2009-2010,West Division,5,Peoria Rivermen,80,38,33,2,7,85,0.531,26,31,233,248,-15,5-4-0-1,0-2-0-1,1363,0
18,2009,2009-2010,East Division,4,Norfolk Admirals,80,39,35,3,3,84,0.525,30,34,208,214,-6,4-6-0-0,1-0-0-0,973,0
19,2009,2009-2010,West Division,6,San Antonio Rampage,80,36,32,5,7,84,0.525,29,34,235,244,-9,4-4-1-1,2-0-0-0,1357,0
20,2009,2009-2010,Atlantic Division,6,Hartford Wolf Pack,80,36,33,6,5,83,0.519,25,34,231,251,-20,7-3-0-0,3-0-0-0,1603,0
21,2009,2009-2010,East Division,5,Binghamton Senators,80,36,35,6,3,81,0.506,32,33,251,260,-9,6-3-1-0,0-1-0-0,1400,0
22,2009,2009-2010,West Division,7,Houston Aeros,80,34,34,7,5,80,0.5,24,31,206,224,-18,5-4-0-1,0-1-0-0,1300,0
23,2009,2009-2010,Atlantic Division,7,Providence Bruins,80,36,38,5,1,78,0.488,26,31,207,226,-19,3-5-2-0,0-2-0-0,1194,0
24,2009,2009-2010,North Division,5,Toronto Marlies,80,33,35,6,6,78,0.488,21,24,193,261,-68,4-5-0-1,0-1-0-0,1707,0
25,2009,2009-2010,North Division,6,Lake Erie Monsters,80,34,37,1,8,77,0.481,26,29,234,257,-23,3-5-1-1,0-1-0-1,1011,0
26,2009,2009-2010,North Division,7,Grand Rapids Griffins,80,34,39,3,4,75,0.469,29,30,244,265,-21,5-4-0-1,1-0-0-0,1272,0
27,2009,2009-2010,East Division,6,Syracuse Crunch,80,34,39,4,3,75,0.469,28,29,227,272,-45,4-5-1-0,2-0-1-0,1771,0
28,2009,2009-2010,East Division,7,Adirondack Phantoms,80,32,41,3,4,71,0.444,24,28,199,251,-52,2-7-0-1,0-2-0-0,1298,0
29,2009,2009-2010,Atlantic Division,8,Springfield Falcons,80,25,39,12,4,66,0.413,16,21,207,296,-89,2-5-2-1,1-0-0-0,1636,0
1,2008,2008-2009,West Division,1,Milwaukee Admirals,80,49,22,3,6,107,0.669,41,45,229,195,34,5-4-0-1,4-0-0-0,1332,0
2,2008,2008-2009,North Division,1,Manitoba Moose,80,50,23,1,6,107,0.669,40,44,239,188,51,4-4-1-1,1-0-1-0,1377,0
3,2008,2008-2009,East Division,1,Hershey Bears,80,49,23,2,6,106,0.663,40,42,296,240,56,5-4-1-0,0-1-0-0,1610,0
4,2008,2008-2009,East Division,2,Bridgeport Sound Tigers,80,49,23,3,5,106,0.663,36,42,241,212,29,7-3-0-0,5-0-0-0,1164,0
5,2008,2008-2009,East Division,3,Wilkes-Barre/Scranton Penguins,80,49,25,3,3,104,0.65,42,43,274,212,62,6-2-1-1,1-0-0-0,1422,0
6,2008,2008-2009,North Division,2,Hamilton Bulldogs,80,49,27,4,0,102,0.638,42,45,263,201,62,7-2-1-0,5-0-0-0,1360,0
7,2008,2008-2009,Atlantic Division,1,Hartford Wolf Pack,80,46,27,3,4,99,0.619,36,42,243,216,27,7-2-0-1,2-0-0-1,1690,0
8,2008,2008-2009,North Division,3,Grand Rapids Griffins,80,43,25,6,6,98,0.613,35,37,255,226,29,3-7-0-0,0-2-0-0,963,0
9,2008,2008-2009,Atlantic Division,2,Providence Bruins,80,43,29,2,6,94,0.588,32,35,238,232,6,5-4-0-1,0-2-0-0,1324,0
10,2008,2008-2009,East Division,4,Philadelphia Phantoms,80,43,30,2,5,93,0.581,33,38,234,232,2,7-2-0-1,0-1-0-0,1432,0
11,2008,2008-2009,West Division,2,Peoria Rivermen,80,43,31,2,4,92,0.575,34,37,215,211,4,7-0-0-3,7-0-0-3,1522,0
12,2008,2008-2009,East Division,5,Binghamton Senators,80,41,30,5,4,91,0.569,31,35,232,238,-6,4-5-0-1,0-2-0-0,1610,0
13,2008,2008-2009,North Division,4,Toronto Marlies,80,39,29,5,7,90,0.563,30,35,240,229,11,4-2-3-1,3-0-2-1,1547,0
14,2008,2008-2009,Atlantic Division,3,Portland Pirates,80,39,31,3,7,88,0.55,35,36,249,239,10,7-2-0-1,2-0-0-0,1209,0
15,2008,2008-2009,North Division,5,Syracuse Crunch,80,40,32,5,3,88,0.55,32,33,214,226,-12,5-3-1-1,1-0-0-0,1830,0
16,2008,2008-2009,Atlantic Division,4,Worcester Sharks,80,42,35,1,2,87,0.544,33,40,223,223,0,8-2-0-0,1-0-0-0,1446,0
17,2008,2008-2009,West Division,3,Houston Aeros,80,38,31,2,9,87,0.544,31,32,218,230,-12,2-6-1-1,1-0-0-0,1457,0
18,2008,2008-2009,West Division,4,Rockford IceHogs,80,40,34,0,6,86,0.538,28,29,229,220,9,5-5-0-0,0-1-0-0,1459,0
19,2008,2008-2009,West Division,5,Quad City Flames,80,36,31,6,7,85,0.531,25,31,212,216,-4,8-1-0-1,3-0-0-0,1417,0
20,2008,2008-2009,Atlantic Division,5,Manchester Monarchs,80,37,35,0,8,82,0.513,27,29,211,218,-7,4-6-0-0,0-1-0-0,1349,0
21,2008,2008-2009,West Division,6,Chicago Wolves,80,38,37,3,2,81,0.506,27,30,226,222,4,3-5-1-1,1-0-0-0,1288,0
22,2008,2008-2009,West Division,7,Iowa Chops,80,33,33,4,10,80,0.5,29,32,209,260,-51,3-5-0-2,0-3-0-1,1437,0
23,2008,2008-2009,Atlantic Division,6,Lowell Devils,80,35,36,2,7,79,0.494,30,31,213,243,-30,4-5-0-1,0-1-0-0,1472,0
24,2008,2008-2009,West Division,8,San Antonio Rampage,80,36,38,2,4,78,0.488,30,35,205,243,-38,8-2-0-0,0-1-0-0,1822,0
25,2008,2008-2009,North Division,6,Lake Erie Monsters,80,34,38,3,5,76,0.475,30,32,199,218,-19,3-7-0-0,0-2-0-0,1298,0
