Rank,Year,Season,Division,DivisionRank,Team,GP,W,L,OTL,SOL,PTS,PCT,RW,ROW,GF,GA,DIFF,L10,STRK,PIM,GR
28,2024,2024-2025,Pacific Division,9,San Diego Gulls,72,29,35,5,3,66,0.458,18,27,216,251,-35,4-6-0-0,1-0-0-0,799,0
29,2024,2024-2025,Pacific Division,10,Henderson Silver Knights,72,29,38,3,2,63,0.438,24,26,202,251,-49,3-6-0-1,0-2-0-0,1017,0
30,2024,2024-2025,Central Division,6,Iowa Wild,72,27,37,6,2,62,0.431,24,26,201,251,-50,5-3-1-1,0-1-1-1,841,0
31,2024,2024-2025,Central Division,7,Manitoba Moose,72,25,41,3,3,56,0.389,17,23,169,248,-79,3-6-1-0,1-0-0-0,1066,0
32,2024,2024-2025,Atlantic Division,8,Bridgeport Islanders,72,15,50,4,3,37,0.257,15,15,181,294,-113,1-9-0-0,0-7-0-0,945,0
1,2023,2023-2024,Atlantic Division,1,Hershey Bears,72,53,14,0,5,111,0.771,41,49,229,151,78,7-3-0-0,0-1-0-0,719,0
2,2023,2023-2024,Pacific Division,1,Coachella Valley Firebirds,72,46,15,6,5,103,0.715,37,42,252,182,70,7-1-1-1,1-0-0-1,794,0
3,2023,2023-2024,Central Division,1,Milwaukee Admirals,72,47,22,2,1,97,0.674,32,42,238,193,45,6-2-1-1,2-0-1-0,950,0
4,2023,2023-2024,Atlantic Division,2,Providence Bruins,72,42,21,6,3,93,0.646,32,38,239,208,31,5-3-2-0,1-0-0-0,856,0
5,2023,2023-2024,Pacific Division,2,Tucson Roadrunners,72,43,23,4,2,92,0.639,39,41,222,214,8,7-2-1-0,6-0-1-0,1280,0
6,2023,2023-2024,Pacific Division,3,Ontario Reign,72,42,23,3,4,91,0.632,33,40,231,198,33,8-2-0-0,0-1-0-0,936,0
7,2023,2023-2024,North Division,1,Cleveland Monsters,72,40,24,5,3,88,0.611,25,36,233,238,-5,5-3-2-0,3-0-0-0,912,0
