Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Andrew Copp,C,56,10,13,23,4,8,14:42,0,1,67,14.9,1100,2,317,310,50.6,0,0,0.0
Damon Severson,D,58,6,17,23,8,39,19:34,0,0,82,7.3,1273,1,0,0,0.0,2,0,0.0
Jaccob Slavin,D,62,6,17,23,16,8,21:43,0,0,83,7.2,1593,2,0,0,0.0,0,0,0.0
Charlie McAvoy,D,50,7,16,23,0,46,23:40,2,2,98,7.1,1386,2,0,0,0.0,0,0,0.0
Mikael Backlund,C,61,10,12,22,-2,26,19:06,1,5,140,7.1,1478,3,579,618,48.4,0,0,0.0
Marcus Foligno,LW,62,11,11,22,9,62,14:06,0,0,66,16.7,1058,1,3,10,23.1,0,0,0.0
Cam Fowler,D,49,7,15,22,1,14,21:53,2,1,63,11.1,1295,0,0,0,0.0,0,0,0.0
Marcus Johansson,LW,53,5,17,22,2,4,16:00,0,2,84,6.0,935,1,4,12,25.0,0,0,0.0
Justin Faulk,D,58,2,20,22,-10,16,22:20,0,8,93,2.2,1532,1,0,0,0.0,0,0,0.0
Charlie Coyle,C,63,15,7,22,-14,18,17:38,3,0,92,16.3,1513,2,264,275,49.0,1,0,0.0
Darnell Nurse,D,56,4,18,22,5,42,21:50,0,1,141,2.8,1472,1,0,0,0.0,0,0,0.0
Andre Burakovsky,LW,59,6,16,22,-2,10,14:33,0,3,93,6.5,1032,0,2,2,50.0,0,0,0.0
Connor Brown,RW,61,7,15,22,3,8,13:30,0,0,81,8.6,1052,2,13,21,38.2,0,0,0.0
Victor Olofsson,RW,39,11,11,22,10,8,14:49,6,1,73,15.1,687,3,1,6,14.3,1,0,0.0
Danton Heinen,LW,62,7,15,22,-2,31,13:38,1,1,67,10.4,1179,0,15,19,44.1,0,0,0.0
Gustav Forsling,D,62,9,13,22,31,10,22:52,0,0,157,5.7,1746,1,0,0,0.0,0,0,0.0
Tommy Novak,C,52,13,9,22,-5,4,13:14,1,4,88,14.8,919,2,92,122,43.0,0,0,0.0
Adam Gaudette,RW,59,16,6,22,10,6,10:41,3,0,73,21.9,947,3,111,109,50.5,0,0,0.0
Jesper Boqvist,C,59,12,10,22,2,14,13:00,0,0,64,18.8,1142,3,67,94,41.6,0,0,0.0
Rasmus Sandin,D,61,4,18,22,18,10,19:03,1,2,62,6.5,1325,0,0,0,0.0,0,0,0.0
Kirby Dach,C,57,10,12,22,-29,40,15:40,1,6,84,11.9,994,2,96,142,40.3,1,1,100.0
Zack Bolduc,C,52,10,12,22,14,18,12:22,1,2,73,13.7,842,0,5,7,41.7,1,0,0.0
Ryker Evans,D,55,5,17,22,-2,18,19:46,1,2,49,10.2,1158,0,0,0,0.0,0,0,0.0
Jackson Blake,RW,62,11,11,22,4,26,12:59,3,0,101,10.9,1004,5,14,15,48.3,1,0,0.0
Martin Pospisil,C,61,4,17,21,2,78,13:46,1,3,79,5.1,1178,0,66,94,41.3,0,0,0.0
Alex Turcotte,C,54,7,14,21,6,14,12:18,0,0,66,10.6,875,1,39,58,40.2,0,0,0.0
Philip Broberg,D,49,6,15,21,11,10,20:04,0,2,71,8.5,1235,1,0,0,0.0,0,0,0.0
Vasily Podkolzin,RW,61,6,15,21,6,22,12:55,0,0,86,7.0,994,2,11,38,22.4,0,0,0.0
Alex Newhook,C,61,12,9,21,-13,22,15:09,1,3,83,14.5,1060,3,171,226,43.1,1,0,0.0
Corey Perry,RW,60,13,8,21,11,34,11:30,1,2,71,18.3,848,3,11,9,55.0,0,0,0.0
Brent Burns,D,62,4,17,21,4,22,21:21,0,2,146,2.7,1608,0,0,0,0.0,0,0,0.0
Tyler Myers,D,57,4,17,21,-3,66,20:45,0,1,66,6.1,1583,0,0,0,0.0,0,0,0.0
Jeff Skinner,C,53,11,10,21,-6,10,12:27,0,2,109,10.1,838,0,9,11,45.0,0,0,0.0
Gustav Nyquist,RW,59,9,12,21,-21,12,17:36,1,0,73,12.3,1337,0,11,13,45.8,1,1,100.0
Chris Kreider,LW,48,17,4,21,-6,20,17:14,6,1,120,14.2,1028,6,22,36,37.9,0,0,0.0
Brady Skjei,D,61,7,14,21,-10,28,21:31,1,4,117,6.0,1659,1,0,0,0.0,0,0,0.0
Nic Dowd,C,61,11,10,21,9,42,15:22,0,0,66,16.7,1293,2,435,462,48.5,0,0,0.0
Brett Kulak,D,61,7,14,21,-1,10,20:05,0,0,98,7.1,1470,0,0,0,0.0,0,0,0.0
Rasmus Andersson,D,61,8,13,21,-22,50,24:05,3,4,119,6.7,1962,1,0,0,0.0,2,2,100.0
Nicolas Roy,C,49,7,14,21,-7,37,15:09,0,2,72,9.7,950,2,248,266,48.2,1,0,0.0
Mathieu Olivier,RW,61,12,9,21,-6,113,14:25,0,0,80,15.0,1134,3,11,19,36.7,0,0,0.0
Tyler Seguin,C,19,9,11,20,14,2,16:13,3,0,43,20.9,404,2,87,80,52.1,0,0,0.0
Colton Sissons,C,60,7,13,20,-9,20,14:28,0,1,69,10.1,1286,0,285,235,54.8,0,0,0.0
Esa Lindell,D,61,4,16,20,27,14,22:05,1,0,79,5.1,1446,0,0,0,0.0,0,0,0.0
Josh Anderson,RW,61,10,10,20,-8,58,14:09,0,0,85,11.8,1146,0,24,14,63.2,0,0,0.0
Christian Dvorak,C,61,6,14,20,-11,12,14:56,1,1,80,7.5,1197,0,432,327,56.9,0,0,0.0
Andrew Mangiapane,LW,60,11,9,20,7,16,13:11,0,1,70,15.7,1019,2,4,4,50.0,0,0,0.0
Alex Iafallo,LW,62,8,12,20,13,15,12:32,4,4,79,10.1,1092,0,7,8,46.7,0,0,0.0
Mathew Barzal,C,30,6,14,20,10,4,20:20,1,3,78,7.7,648,1,22,30,42.3,1,0,0.0
Anthony Beauvillier,LW,63,13,7,20,-1,14,13:00,0,1,120,10.8,1128,0,4,7,36.4,2,2,100.0
Alexandre Carrier,D,58,3,17,20,-9,26,20:17,0,0,62,4.8,1497,0,0,0,0.0,0,0,0.0
Vladislav Gavrikov,D,59,3,17,20,6,14,23:49,0,0,79,3.8,1523,0,0,0,0.0,0,0,0.0
Matt Roy,D,51,2,18,20,20,16,19:41,0,0,58,3.4,1111,0,0,0,0.0,0,0,0.0
Sam Steel,C,59,6,14,20,0,22,14:37,0,0,76,7.9,1117,1,153,139,52.4,0,0,0.0
Samuel Girard,D,59,3,17,20,3,12,21:06,0,1,73,4.1,1607,2,0,0,0.0,0,0,0.0
Justin Brazeau,RW,57,10,10,20,-6,16,12:58,4,1,78,12.8,1042,2,3,10,23.1,0,0,0.0
Eetu Luostarinen,C,61,8,12,20,11,24,15:19,0,0,68,11.8,1336,2,23,31,42.6,0,0,0.0
Joel Farabee,LW,61,9,11,20,-17,26,14:59,0,3,115,7.8,1191,0,14,27,34.1,0,0,0.0
Ross Colton,C,45,15,5,20,-6,10,15:19,5,1,96,15.6,902,3,37,51,42.0,0,0,0.0
Jordan Spence,D,58,3,17,20,10,16,17:25,0,4,63,4.8,1249,0,0,0,0.0,0,0,0.0
Ridly Greig,C,57,9,11,20,-10,43,16:28,3,3,82,11.0,1374,0,103,104,49.8,0,0,0.0
Mavrik Bourque,C,55,9,11,20,4,4,12:29,1,2,56,16.1,934,1,124,139,47.1,0,0,0.0
Drew O'Connor,LW,62,8,12,20,-14,24,14:37,1,1,99,8.1,1227,2,39,55,41.5,0,0,0.0
Mackie Samoskevich,RW,53,10,10,20,2,8,12:00,1,3,83,12.0,901,4,0,0,0.0,0,0,0.0
Andrei Kuzmenko,LW,43,6,14,20,-11,12,15:08,4,4,52,11.5,772,3,1,0,100.0,4,1,25.0
Ryan Lindgren,D,55,2,17,19,1,36,19:57,0,0,42,4.8,1380,0,0,0,0.0,0,0,0.0
Paul Cotter,C,63,13,6,19,-9,45,13:27,0,0,73,17.8,1129,2,34,29,54.0,2,2,100.0
Lukas Reichel,LW,52,6,13,19,-6,10,12:09,0,2,57,10.5,797,1,117,178,39.7,1,0,0.0
Jiri Kulich,C,46,12,7,19,1,12,14:29,0,0,98,12.2,941,3,180,211,46.0,0,0,0.0
Zach Benson,LW,54,9,10,19,-5,40,14:28,2,1,80,11.3,1065,0,3,14,17.6,0,0,0.0
Lars Eller,C,59,10,9,19,1,28,13:36,0,1,78,12.8,1074,0,287,253,53.1,0,0,0.0
Ryan McDonagh,D,61,2,17,19,35,16,20:34,0,0,57,3.5,1569,1,0,0,0.0,0,0,0.0
Brandon Saad,LW,51,9,10,19,-15,6,14:42,0,3,89,10.1,965,1,3,11,21.4,0,0,0.0
Tanner Pearson,LW,57,9,10,19,3,4,11:54,0,0,74,12.2,909,1,6,15,28.6,0,0,0.0
Rasmus Ristolainen,D,59,4,15,19,5,14,20:33,0,3,93,4.3,1630,2,0,0,0.0,0,0,0.0
Valeri Nichushkin,RW,24,12,7,19,7,4,19:25,3,1,64,18.8,548,0,3,3,50.0,1,1,100.0
Marcus Pettersson,D,56,3,16,19,-1,33,21:58,0,0,51,5.9,1464,1,0,0,0.0,0,0,0.0
Viktor Arvidsson,LW,46,7,12,19,3,16,14:40,0,2,101,6.9,824,0,12,27,30.8,0,0,0.0
Niko Mikkola,D,57,4,15,19,13,44,20:09,0,0,86,4.7,1639,0,0,0,0.0,0,0,0.0
Jonas Brodin,D,38,4,14,18,10,12,22:41,0,0,60,6.7,977,1,0,0,0.0,0,0,0.0
William Karlsson,C,38,7,11,18,7,0,17:10,0,2,89,7.9,783,3,283,197,59.0,0,0,0.0
Cody Ceci,D,64,4,14,18,-6,20,21:34,0,0,66,6.1,1598,2,0,0,0.0,0,0,0.0
Nick Jensen,D,55,3,15,18,13,6,20:20,0,0,59,5.1,1457,0,0,0,0.0,0,0,0.0
Ryan Pulock,D,54,4,14,18,5,12,21:29,0,1,77,5.2,1609,1,0,0,0.0,0,0,0.0
Ryan Hartman,RW,49,7,11,18,-7,60,14:45,1,2,112,6.3,797,0,149,171,46.6,1,0,0.0
Garnet Hathaway,RW,60,8,10,18,4,48,11:52,0,0,76,10.5,1073,1,7,11,38.9,0,0,0.0
Jake Middleton,D,51,7,11,18,13,40,21:38,0,0,73,9.6,1258,0,0,0,0.0,0,0,0.0
Mason Appleton,C,51,8,10,18,7,16,14:41,0,0,84,9.5,1016,2,8,10,44.4,0,0,0.0
Luke Kunin,C,63,11,7,18,-24,46,15:14,0,0,95,11.6,1203,0,181,202,47.3,0,0,0.0
Filip Hronek,D,39,3,15,18,2,22,23:41,0,4,52,5.8,1165,0,0,0,0.0,0,0,0.0
Jonatan Berggren,RW,59,9,9,18,-8,12,12:48,3,2,71,12.7,982,1,5,7,41.7,0,0,0.0
Matias Maccelli,LW,52,8,10,18,-13,8,13:54,0,3,83,9.6,948,0,6,6,50.0,0,0,0.0
Alexander Romanov,D,47,4,14,18,10,20,22:50,0,0,69,5.8,1336,0,0,0,0.0,1,0,0.0
Luke Evangelista,RW,48,5,13,18,-4,18,12:59,1,2,85,5.9,799,0,0,1,0.0,0,0,0.0
Martin Fehervary,D,61,3,14,17,12,21,19:01,0,0,58,5.2,1316,0,0,0,0.0,0,0,0.0
Mitchell Chaffee,RW,57,12,5,17,-2,19,12:26,4,0,59,20.3,905,2,4,6,40.0,0,0,0.0
Trevor Zegras,C,35,7,10,17,-5,12,17:05,1,0,71,9.9,682,1,59,100,37.1,2,2,100.0
Philip Tomasino,C,46,9,8,17,-6,4,12:58,3,4,72,12.5,762,5,5,8,38.5,0,0,0.0
Nicholas Robertson,LW,53,11,6,17,-2,6,12:06,2,0,86,12.8,878,1,2,3,40.0,0,0,0.0
Joel Kiviranta,LW,62,11,6,17,8,14,12:42,0,0,64,17.2,1177,2,19,23,45.2,0,0,0.0
Emil Heineman,LW,46,10,7,17,-1,16,11:19,3,1,50,20.0,684,0,0,6,0.0,1,1,100.0
Jack McBain,C,61,11,6,17,2,61,13:21,0,0,64,17.2,1188,1,127,124,50.6,0,0,0.0
Adam Henrique,C,60,8,9,17,3,12,14:20,0,1,78,10.3,1159,2,385,316,54.9,0,0,0.0
Sam Carrick,C,61,5,12,17,3,45,11:26,0,0,60,8.3,1009,2,281,244,53.5,0,0,0.0
Chris Tanev,D,57,2,15,17,26,18,19:47,0,0,30,6.7,1666,0,0,0,0.0,0,0,0.0
Kevin Hayes,RW,47,9,8,17,-14,6,12:18,4,2,79,11.4,773,1,177,153,53.6,1,0,0.0
Jake McCabe,D,52,2,15,17,21,38,21:28,0,0,58,3.4,1543,0,0,0,0.0,0,0,0.0
Teddy Blueger,C,60,5,12,17,-10,23,14:22,0,0,65,7.7,1223,0,366,367,49.9,0,0,0.0
Mattias Janmark,C,60,2,15,17,-6,16,12:59,0,0,39,5.1,1015,0,40,56,41.7,0,0,0.0
Yanni Gourde,C,36,6,11,17,-5,36,15:29,0,0,40,15.0,690,1,191,185,50.8,0,0,0.0
Brandon Tanev,LW,60,9,8,17,-12,10,13:56,0,0,85,10.6,1115,0,7,20,25.9,0,0,0.0
Erik Gustafsson,D,53,2,15,17,-17,20,16:10,1,8,61,3.3,1055,0,0,0,0.0,0,0,0.0
Adam Larsson,D,62,4,12,16,8,21,21:06,0,0,78,5.1,1386,1,0,0,0.0,0,0,0.0
Connor Murphy,D,48,1,15,16,-4,44,20:49,0,0,54,1.9,1186,0,0,0,0.0,0,0,0.0
Trevor van Riemsdyk,D,61,0,16,16,18,12,17:25,0,0,62,0.0,1244,0,0,0,0.0,0,0,0.0
Jason Dickinson,C,53,7,9,16,-7,14,15:56,0,0,52,13.5,1124,0,418,440,48.7,0,0,0.0
Alexander Kerfoot,C,61,7,9,16,-12,10,15:16,0,1,75,9.3,1286,0,200,197,50.4,0,0,0.0
Robby Fabbri,C,44,8,8,16,-6,20,16:12,0,0,65,12.3,857,0,71,85,45.5,0,0,0.0
Michael Amadio,RW,50,6,10,16,6,16,14:05,1,0,56,10.7,1057,0,46,41,52.9,0,0,0.0
Erik Cernak,D,55,3,13,16,25,33,18:31,0,0,50,6.0,1364,0,0,0,0.0,0,0,0.0
Michael Rasmussen,C,56,9,7,16,-5,15,13:17,2,1,76,11.8,1042,0,68,71,48.9,0,0,0.0
Peyton Krebs,C,59,4,12,16,-6,35,13:34,0,0,53,7.5,1165,0,227,219,50.9,0,0,0.0
Nikolai Kovalenko,RW,45,5,11,16,-8,12,12:04,2,1,40,12.5,753,0,0,6,0.0,0,0,0.0
Mikey Anderson,D,55,6,10,16,6,18,22:43,0,0,64,9.4,1398,0,0,0,0.0,0,0,0.0
Ryan Poehling,C,48,4,11,15,-3,12,13:09,0,0,44,9.1,903,0,257,242,51.5,0,0,0.0
K'Andre Miller,D,55,5,10,15,-3,12,21:45,0,2,84,6.0,1416,1,0,0,0.0,0,0,0.0
Kevin Bahl,D,52,2,13,15,-1,33,21:19,1,0,51,3.9,1515,0,0,0,0.0,0,0,0.0
Parker Kelly,C,62,5,10,15,-7,23,12:54,0,0,70,7.1,1190,0,277,372,42.7,0,0,0.0
Brett Leason,RW,51,5,10,15,0,18,13:17,1,1,72,6.9,935,0,22,55,28.6,0,0,0.0
Uvis Balinskis,D,58,4,11,15,0,21,14:50,0,4,74,5.4,1195,0,0,2,0.0,0,0,0.0
Pat Maroon,LW,55,4,11,15,-11,71,11:33,1,0,60,6.7,768,1,30,32,48.4,1,0,0.0
Tomas Tatar,LW,57,6,9,15,2,16,10:42,1,2,56,10.7,924,0,7,6,53.8,1,0,0.0
Brian Dumoulin,D,60,1,14,15,1,10,19:49,0,0,55,1.8,1502,0,0,0,0.0,0,0,0.0
Nick Bjugstad,C,53,5,10,15,-9,12,12:38,1,0,95,5.3,968,0,206,226,47.7,2,0,0.0
Nick Seeler,D,57,3,12,15,7,28,16:32,0,0,58,5.2,1371,1,0,0,0.0,0,0,0.0
Craig Smith,C,39,8,7,15,-8,28,11:35,2,0,73,11.0,562,1,7,13,35.0,1,0,0.0
Nate Schmidt,D,60,5,10,15,3,17,16:10,0,3,49,10.2,1320,0,0,0,0.0,0,0,0.0
Nikita Zadorov,D,63,3,12,15,14,119,20:27,0,0,81,3.7,1639,0,0,0,0.0,0,0,0.0
Oskar Sundqvist,C,48,5,10,15,-1,28,13:05,3,1,43,11.6,870,0,197,233,45.8,0,0,0.0
Adam Pelech,D,41,0,15,15,4,18,21:25,0,0,81,0.0,1216,0,0,0,0.0,0,0,0.0
A.J. Greer,LW,62,5,10,15,2,89,9:37,0,0,64,7.8,894,2,12,26,31.6,0,0,0.0
Logan O'Connor,RW,62,7,8,15,-6,19,14:34,0,0,71,9.9,1241,0,26,42,38.2,0,0,0.0
Trent Frederic,C,57,8,7,15,-14,44,13:50,1,2,76,10.5,1084,0,93,119,43.9,0,0,0.0
Brandon Duhaime,RW,61,7,8,15,3,47,13:36,0,0,68,10.3,1225,1,17,18,48.6,0,0,0.0
Cody Glass,C,51,4,11,15,-9,12,13:25,1,1,78,5.1,1007,1,178,160,52.7,1,0,0.0
Joel Edmundson,D,55,5,9,14,18,16,20:44,0,1,70,7.1,1453,1,0,0,0.0,0,0,0.0
Dylan DeMelo,D,62,3,11,14,24,32,21:28,0,0,56,5.4,1682,2,0,0,0.0,0,0,0.0
Olli Maatta,D,58,2,12,14,7,14,20:05,0,0,55,3.6,1546,0,0,0,0.0,0,0,0.0
Kevin Stenlund,C,61,7,7,14,-14,26,14:15,0,0,73,9.6,1302,0,434,304,58.8,0,0,0.0
Steven Lorentz,C,59,5,9,14,4,4,10:25,0,0,52,9.6,913,2,11,17,39.3,0,0,0.0
Zachary Aston-Reese,C,60,4,10,14,-10,23,13:41,0,0,77,5.2,1071,1,2,6,25.0,0,0,0.0
Dante Fabbro,D,48,4,10,14,14,28,20:45,0,0,56,7.1,1089,1,0,0,0.0,0,0,0.0
Jalen Chatfield,D,62,5,9,14,17,26,18:53,0,0,90,5.6,1471,1,0,0,0.0,0,0,0.0
Blake Lizotte,C,45,9,5,14,-4,24,12:00,1,0,41,22.0,794,0,129,133,49.2,0,0,0.0
Egor Zamula,D,44,3,11,14,-10,4,16:49,0,0,27,11.1,986,1,0,0,0.0,0,0,0.0
Nick Perbix,D,54,4,10,14,5,18,14:58,0,0,51,7.8,1074,1,0,0,0.0,0,0,0.0
Johnathan Kovacevic,D,63,1,13,14,11,49,19:42,0,0,58,1.7,1513,1,0,0,0.0,0,0,0.0
Pontus Holmberg,RW,49,6,8,14,0,25,13:21,0,1,50,12.0,881,0,112,120,48.3,0,0,0.0
Jamie Drysdale,D,50,3,11,14,-18,14,19:30,2,5,42,7.1,1240,0,0,0,0.0,0,0,0.0
Kaiden Guhle,D,44,4,10,14,2,27,21:14,0,0,58,6.9,1072,0,0,0,0.0,0,0,0.0
Braden Schneider,D,61,3,11,14,6,10,17:27,0,0,78,3.8,1313,0,0,0,0.0,0,0,0.0
Yegor Chinakhov,RW,22,7,7,14,0,2,16:51,2,3,57,12.3,436,1,0,0,0.0,0,0,0.0
Olen Zellweger,D,43,5,9,14,4,12,18:50,1,4,88,5.7,937,0,0,0,0.0,0,0,0.0
Justin Danforth,RW,40,6,8,14,-7,10,14:48,0,1,66,9.1,780,1,221,229,49.1,0,0,0.0
Frank Nazar,C,32,4,10,14,-6,10,15:02,0,1,49,8.2,586,1,78,100,43.8,1,0,0.0
Emil Lilleberg,D,56,0,14,14,-6,80,15:31,0,0,34,0.0,1149,0,0,0,0.0,0,0,0.0
Dylan Samberg,D,40,4,9,13,23,22,21:14,0,0,58,6.9,1073,1,0,0,0.0,0,0,0.0
Nico Sturm,C,47,7,6,13,-4,13,10:07,0,0,38,18.4,685,1,175,104,62.7,0,0,0.0
Jack Drury,C,52,7,6,13,-1,14,13:00,0,1,81,8.6,907,2,307,233,56.9,0,0,0.0
Cam York,D,48,4,9,13,-3,22,21:17,0,0,55,7.3,1373,1,0,0,0.0,0,0,0.0
Nils Hoglander,LW,56,5,8,13,-1,28,11:38,0,0,63,7.9,947,1,0,0,0.0,0,0,0.0
Mark Kastelic,C,54,4,9,13,-2,95,10:50,0,0,62,6.5,892,0,174,142,55.1,0,0,0.0
Zachary L'Heureux,LW,45,4,9,13,-6,52,11:38,0,1,56,7.1,732,0,0,1,0.0,0,0,0.0
Oskar Back,C,55,3,10,13,4,6,11:51,0,0,31,9.7,898,0,81,66,55.1,0,0,0.0
Max Pacioretty,LW,37,5,8,13,-2,16,13:29,0,0,70,7.1,674,1,6,5,54.5,0,0,0.0
Ian Cole,D,61,1,12,13,-8,53,20:36,0,0,54,1.9,1673,0,0,0,0.0,0,0,0.0
Jordan Eberle,RW,22,6,7,13,0,8,15:32,1,1,33,18.2,403,1,4,7,36.4,1,1,100.0
Brayden McNabb,D,60,4,9,13,30,22,20:18,0,0,73,5.5,1469,0,0,0,0.0,0,0,0.0
Radko Gudas,D,59,1,12,13,11,68,19:22,0,0,70,1.4,1379,0,0,0,0.0,0,0,0.0
Jamie Oleksiak,D,62,4,9,13,-8,16,18:58,0,0,57,7.0,1313,1,0,0,0.0,0,0,0.0
Nick Cousins,C,47,5,8,13,-2,39,11:53,0,0,63,7.9,859,0,1,6,14.3,0,0,0.0
Sean Kuraly,C,61,5,8,13,0,22,11:37,0,0,56,8.9,883,0,230,212,52.0,0,0,0.0
Josh Manson,D,43,1,12,13,-9,26,18:12,0,1,57,1.8,1059,0,0,0,0.0,0,0,0.0
Colin Blackwell,C,50,5,8,13,2,10,11:41,0,1,55,9.1,834,0,117,118,49.8,0,0,0.0
Lawson Crouse,LW,60,9,4,13,-8,28,14:12,1,0,96,9.4,1228,2,10,16,38.5,0,0,0.0
Yakov Trenin,C,56,6,7,13,2,33,13:00,0,0,59,10.2,864,2,12,23,34.3,0,0,0.0
Michael Carcone,LW,41,5,8,13,-7,29,11:39,0,2,64,7.8,683,0,4,3,57.1,0,0,0.0
Andrew Peeke,D,57,1,12,13,-5,8,18:07,0,0,55,1.8,1341,0,0,0,0.0,0,0,0.0
Ryan Suter,D,62,1,11,12,5,20,20:14,0,0,45,2.2,1550,0,0,0,0.0,0,0,0.0
Alec Martinez,D,34,5,7,12,-9,4,19:51,0,2,34,14.7,795,0,0,0,0.0,0,0,0.0
Zach Bogosian,D,61,4,8,12,-1,33,16:30,0,0,62,6.5,1214,0,0,0,0.0,0,0,0.0
Casey Cizikas,C,61,5,7,12,-12,38,12:47,0,1,67,7.5,1107,1,204,172,54.3,0,0,0.0
David Savard,D,55,1,11,12,-7,26,17:42,0,0,37,2.7,1141,0,0,0,0.0,0,0,0.0
Brenden Dillon,D,63,2,10,12,15,65,18:25,0,0,34,5.9,1500,0,0,0,0.0,0,0,0.0
Jacob Trouba,D,59,0,12,12,-1,47,20:24,0,0,86,0.0,1470,0,0,0,0.0,0,0,0.0
Brett Pesce,D,54,2,10,12,-5,15,20:53,0,0,73,2.7,1348,0,0,0,0.0,0,0,0.0
Kevin Labanc,RW,34,2,10,12,1,12,10:29,0,0,35,5.7,455,0,0,3,0.0,0,0,0.0
Timothy Liljegren,D,49,6,6,12,-15,28,18:04,2,1,75,8.0,1108,0,0,0,0.0,0,0,0.0
Ilya Lyubushkin,D,59,1,11,12,12,20,17:00,0,0,36,2.8,1312,0,0,0,0.0,0,0,0.0
Isac Lundestrom,C,57,4,8,12,-2,6,13:58,0,1,49,8.2,1076,1,332,370,47.3,0,0,0.0
Cole Koepke,LW,54,7,5,12,7,12,10:38,0,0,62,11.3,873,1,0,2,0.0,0,0,0.0
Jakob Pelletier,LW,29,4,8,12,9,6,12:12,0,0,36,11.1,494,1,7,10,41.2,0,0,0.0
Declan Chisholm,D,53,2,10,12,-3,8,17:19,1,1,57,3.5,1057,1,0,0,0.0,0,0,0.0
Pavel Mintyukov,D,48,4,8,12,-11,16,18:32,0,3,54,7.4,1119,0,0,0,0.0,0,0,0.0
Conor Geekie,C,49,6,6,12,-3,14,12:08,1,1,54,11.1,834,2,71,98,42.0,0,0,0.0
Mario Ferraro,D,63,5,6,11,-22,41,21:05,0,0,61,8.2,1534,1,0,0,0.0,0,0,0.0
Sean Walker,D,62,2,9,11,-1,36,16:11,0,0,102,2.0,1245,0,0,0,0.0,0,0,0.0
Alexander Holtz,RW,49,3,8,11,-3,8,11:31,0,1,62,4.8,726,0,3,9,25.0,1,0,0.0
Juuso Parssinen,C,39,4,7,11,-6,8,10:49,0,1,26,15.4,583,0,69,71,49.3,0,0,0.0
Josh Doan,RW,30,4,7,11,-4,6,13:53,2,0,50,8.0,573,0,26,45,36.6,0,0,0.0
Matthew Poitras,C,32,1,10,11,-4,6,13:05,0,0,27,3.7,554,1,56,65,46.3,0,0,0.0
Dmitry Kulikov,D,62,3,8,11,11,34,19:36,0,1,58,5.2,1679,0,0,0,0.0,0,0,0.0
Erik Haula,LW,51,5,6,11,-11,33,14:20,1,2,82,6.1,1044,0,310,274,53.1,0,0,0.0
Radek Faksa,C,50,3,8,11,-6,28,13:01,0,0,46,6.5,920,1,298,233,56.1,1,1,100.0
Jonny Brodzinski,C,30,6,5,11,8,4,10:56,0,0,35,17.1,458,1,47,55,46.1,0,0,0.0
Nathan Walker,LW,53,7,4,11,-4,36,11:45,0,0,48,14.6,886,0,77,63,55.0,1,0,0.0
Jakub Vrana,LW,26,7,4,11,6,6,9:49,3,0,28,25.0,338,3,4,10,28.6,0,0,0.0
Kasperi Kapanen,RW,47,6,5,11,-15,10,11:28,0,0,49,12.2,672,2,8,14,36.4,0,0,0.0
TJ Brodie,D,54,2,8,10,-18,18,15:37,0,0,23,8.7,1049,0,0,0,0.0,0,0,0.0
Colin Miller,D,45,2,8,10,11,30,13:52,0,0,47,4.3,829,0,0,0,0.0,0,0,0.0
Mathieu Joseph,RW,43,3,7,10,-5,14,12:00,0,0,52,5.8,726,0,32,26,55.2,1,0,0.0
Dennis Cholowski,D,33,3,7,10,1,10,12:47,0,2,26,11.5,582,0,0,0,0.0,0,0,0.0
Cole Smith,RW,50,4,6,10,-7,55,13:13,0,0,46,8.7,968,0,5,5,50.0,0,0,0.0
Urho Vaakanainen,D,34,2,8,10,2,14,15:33,0,0,25,8.0,701,0,0,0,0.0,0,0,0.0
Michael Eyssimont,C,57,5,5,10,0,44,10:40,0,0,98,5.1,875,1,1,7,12.5,0,0,0.0
Zach Whitecloud,D,53,4,6,10,2,18,16:28,0,0,53,7.5,1065,0,0,0,0.0,0,0,0.0
Joe Veleno,C,56,5,5,10,-14,13,11:57,0,0,50,10.0,890,0,136,152,47.2,0,0,0.0
Alexey Toropchenko,RW,60,1,9,10,-1,19,12:26,0,0,62,1.6,1065,0,4,5,44.4,0,0,0.0
Philipp Kurashev,C,42,6,4,10,-29,14,14:18,1,0,48,12.5,718,1,95,107,47.0,0,0,0.0
Ty Emberson,D,59,0,10,10,-1,18,15:03,0,0,51,0.0,1133,0,0,0,0.0,0,0,0.0
Janis Moser,D,33,2,8,10,15,16,19:37,0,1,33,6.1,814,0,0,0,0.0,0,0,0.0
Henry Thrun,D,51,1,9,10,-16,28,16:59,0,0,44,2.3,1072,0,0,0,0.0,0,0,0.0
Nicolas Hague,D,49,4,5,9,-6,35,16:14,0,0,58,6.9,994,1,0,0,0.0,0,0,0.0
Alexandre Texier,C,27,4,5,9,-3,8,12:35,0,1,45,8.9,435,0,0,2,0.0,0,0,0.0
David Kampf,C,48,4,5,9,-2,12,12:27,0,0,41,9.8,844,0,233,222,51.2,0,0,0.0
Scott Perunovich,D,33,2,7,9,-2,10,15:51,0,0,18,11.1,667,0,0,0,0.0,0,0,0.0
Adam Boqvist,D,27,3,6,9,-6,8,13:49,0,4,35,8.6,495,0,0,0,0.0,0,0,0.0
Mattias Samuelsson,D,40,3,6,9,0,8,18:37,0,0,40,7.5,974,0,0,0,0.0,0,0,0.0
