Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Noah Juulsen,D,35,0,0,0,-12,21,16:17,0,0,26,0.0,861,0,0,0,0.0,0,0,0.0
Travis Dermott,D,19,0,0,0,-3,2,12:16,0,0,8,0.0,302,0,0,0,0.0,0,0,0.0
Kyle Capobianco,D,1,0,0,0,-2,4,11:23,0,0,0,0.0,20,0,0,0,0.0,0,0,0.0
Bokondji Imama,LW,7,0,0,0,1,9,5:18,0,0,3,0.0,56,0,0,0,0.0,0,0,0.0
Caleb Jones,D,5,0,0,0,-2,2,12:48,0,0,6,0.0,87,0,0,0,0.0,0,0,0.0
Dominic Toninato,C,4,0,0,0,0,0,8:03,0,0,2,0.0,51,0,1,0,100.0,0,0,0.0
Guillaume Brisebois,D,3,0,0,0,0,0,15:48,0,0,2,0.0,72,0,0,0,0.0,0,0,0.0
Alexander Nylander,LW,5,0,0,0,-1,4,9:53,0,0,4,0.0,68,0,3,1,75.0,0,0,0.0
Kieffer Bellows,LW,5,0,0,0,-3,2,10:55,0,0,7,0.0,70,0,0,0,0.0,0,0,0.0
Julien Gauthier,RW,1,0,0,0,0,0,7:42,0,0,0,0.0,12,0,0,0,0.0,0,0,0.0
Max Jones,LW,7,0,0,0,-4,8,10:00,0,0,2,0.0,109,0,0,0,0.0,0,0,0.0
Riley Tufte,LW,5,0,0,0,-3,4,8:04,0,0,0,0.0,61,0,1,1,50.0,0,0,0.0
Rasmus Asplund,C,2,0,0,0,0,0,7:31,0,0,1,0.0,26,0,0,1,0.0,0,0,0.0
Dryden Hunt,LW,1,0,0,0,-1,0,12:33,0,0,2,0.0,22,0,0,0,0.0,0,0,0.0
Riley Stillman,D,2,0,0,0,-1,5,4:46,0,0,1,0.0,14,0,0,0,0.0,0,0,0.0
Givani Smith,RW,13,0,0,0,-3,18,6:19,0,0,5,0.0,120,0,0,0,0.0,0,0,0.0
Dylan Coghlan,D,6,0,0,0,1,4,15:21,0,0,9,0.0,121,0,0,0,0.0,0,0,0.0
Corey Schueneman,D,4,0,0,0,0,0,14:03,0,0,4,0.0,74,0,0,0,0.0,0,0,0.0
Jake Lucchini,C,2,0,0,0,-3,0,10:56,0,0,2,0.0,30,0,1,1,50.0,0,0,0.0
Kailer Yamamoto,RW,3,0,0,0,-1,0,10:40,0,0,1,0.0,47,0,2,0,100.0,0,0,0.0
Shane Bowers,C,4,0,0,0,-1,0,8:15,0,0,2,0.0,48,0,1,0,100.0,0,0,0.0
Ben Jones,C,26,0,0,0,-3,10,8:22,0,0,24,0.0,290,0,12,13,48.0,0,0,0.0
Alex Barre-Boulet,C,2,0,0,0,-2,2,10:09,0,0,0,0.0,29,0,0,0,0.0,0,0,0.0
Nathan Clurman,D,1,0,0,0,0,2,11:05,0,0,4,0.0,17,0,0,0,0.0,0,0,0.0
Ian Mitchell,D,2,0,0,0,-1,0,13:24,0,0,0,0.0,37,0,0,0,0.0,0,0,0.0
Connor Mackey,D,2,0,0,0,0,5,16:07,0,0,1,0.0,38,0,0,0,0.0,0,0,0.0
Grigori Denisenko,LW,1,0,0,0,0,2,8:27,0,0,0,0.0,12,0,0,1,0.0,0,0,0.0
Liam Foudy,C,2,0,0,0,-1,0,7:27,0,0,1,0.0,23,0,0,0,0.0,0,0,0.0
Alexander Alexeyev,D,5,0,0,0,4,0,13:13,0,0,4,0.0,93,0,0,0,0.0,0,0,0.0
