Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,SHG,OTG,GWG,S,S%,EVG,EVP,FO%,Season
Rostislav Klesla,PHX,D,4,0,0,0,-2,7,1063.0,0,0,0,0,0,7,0.0,0,0,nan,2010-2011
Rostislav Klesla,"CBJ,PHX",D,61,4,7,11,4,38,1144.4262,0,0,0,0,0,67,0.0597,4,11,1.0,2010-2011
Rostislav Olesz,FLA,L,44,6,11,17,-1,8,832.7272,1,0,0,1,1,71,0.0845,5,16,0.2,2010-2011
Ruslan Fedotenko,NYR,L,71,10,17,27,8,29,924.7746,0,2,1,0,0,125,0.08,9,24,0.39393,2010-2011
Ruslan Salei,DET,D,86,3,8,11,6,48,1068.0,0,0,0,0,0,92,0.0326,3,11,nan,2010-2011
Ryan Callahan,NYR,R,60,23,25,48,-7,46,1194.0166,10,5,0,1,5,179,0.12849,13,31,0.11764,2010-2011
Ryan Carter,"ANA,CAR,FLA",L,62,3,6,9,-1,66,601.1612,0,0,0,0,0,63,0.04761,3,8,0.50627,2010-2011
Ryan Craig,PIT,C,6,0,0,0,-3,22,589.3333,0,0,0,0,0,7,0.0,0,0,0.6,2010-2011
Ryan Getzlaf,ANA,C,73,21,61,82,14,44,1321.8904,7,23,0,2,5,134,0.15671,14,52,0.45974,2010-2011
Ryan Hollweg,PHX,L,3,0,0,0,-1,0,393.3333,0,0,0,0,0,0,nan,0,0,nan,2010-2011
Ryan Johnson,CHI,C,40,1,6,7,-3,10,617.225,0,0,0,0,1,27,0.03703,1,7,0.62573,2010-2011
Ryan Jones,EDM,L,81,18,7,25,-5,34,830.2222,2,2,1,0,2,126,0.14285,15,20,0.34482,2010-2011
Ryan Kesler,VAN,C,107,48,44,92,24,113,1258.9345,19,19,3,2,9,336,0.14285,26,49,0.56463,2010-2011
Ryan Malone,TBL,L,72,17,27,44,-6,75,955.2361,10,10,0,1,2,182,0.0934,7,24,0.39156,2010-2011
Ryan McDonagh,NYR,D,45,1,8,9,16,18,1151.5777,0,0,0,0,1,31,0.03225,1,7,nan,2010-2011
Ryan O'Byrne,"MTL,COL",D,67,0,10,10,-7,75,1209.4179,0,0,0,0,0,45,0.0,0,10,nan,2010-2011
Ryan O'Marra,EDM,C,21,1,4,5,-2,13,661.0952,0,1,0,0,0,13,0.07692,1,4,0.42134,2010-2011
Ryan O'Reilly,COL,C,74,13,13,26,-7,16,963.4324,2,2,1,0,0,119,0.10924,10,20,0.51804,2010-2011
Ryan Parent,VAN,D,4,0,0,0,-3,0,833.5,0,0,0,0,0,3,0.0,0,0,nan,2010-2011
Ryan Potulny,"CHI,OTT",C,10,0,0,0,-1,0,473.9,0,0,0,0,0,7,0.0,0,0,0.38461,2010-2011
Ryan Reaves,STL,R,28,2,2,4,-1,78,408.3214,0,0,0,0,1,16,0.125,2,4,0.0,2010-2011
Ryan Shannon,OTT,R,79,11,16,27,3,24,775.7341,5,4,1,0,1,118,0.09322,5,17,0.42028,2010-2011
Ryan Smyth,LAK,L,88,25,27,52,2,35,1083.5454,9,6,0,0,2,209,0.11961,16,37,0.45,2010-2011
Ryan Stoa,COL,C,25,2,2,4,-4,20,800.52,0,2,0,0,1,45,0.04444,2,2,0.4,2010-2011
Ryan Suter,NSH,D,82,5,40,45,22,60,1544.1585,1,17,0,0,1,138,0.03623,4,25,0.0,2010-2011
Ryan White,MTL,C,34,2,3,5,5,40,506.4411,0,0,0,0,0,33,0.0606,2,5,0.45454,2010-2011
Ryan Whitney,EDM,D,35,2,25,27,13,33,1520.2857,0,7,0,0,0,43,0.04651,2,18,nan,2010-2011
Ryan Wilson,COL,D,67,3,13,16,-8,68,1188.3582,1,1,0,0,0,62,0.04838,2,14,nan,2010-2011
Ryane Clowe,SJS,L,92,30,47,77,18,132,1094.2065,8,9,0,1,2,224,0.13392,22,60,0.40909,2010-2011
Saku Koivu,ANA,C,81,16,36,52,-10,42,1144.5308,4,14,0,0,3,111,0.14414,12,34,0.52715,2010-2011
Sam Gagner,EDM,C,68,15,27,42,-17,37,1064.9852,3,6,1,0,2,138,0.10869,11,32,0.4385,2010-2011
Sami Lepisto,"PHX,CBJ",D,70,4,12,16,10,55,1053.3285,0,0,0,0,0,56,0.07142,4,16,1.0,2010-2011
Sami Salo,VAN,D,48,6,6,12,-7,16,1191.0625,4,4,0,0,1,72,0.08333,2,4,nan,2010-2011
